"Import help:"
"Comma-delimited data"
"First column is date: MDY"
"Decimal separator: ."
"Thousand separator: ,"
"","System:","3889 (1156255) [Krios G4]"
"06/22/2021","12:28:32.506","Close (1)"
"06/22/2021","12:53:52.605","Unknown (0)"
"06/22/2021","12:53:54.952","Open (2)"
"06/22/2021","12:54:00.877","Unknown (0)"
"06/22/2021","12:54:01.949","Close (1)"
"06/22/2021","12:57:33.036","Unknown (0)"
"06/22/2021","12:57:33.455","Open (2)"
"06/22/2021","12:58:09.605","Unknown (0)"
"06/22/2021","12:58:10.453","Close (1)"
"06/22/2021","13:25:16.677","Unknown (0)"
"06/22/2021","13:25:16.978","Open (2)"
"06/22/2021","13:56:12.745","Unknown (0)"
"06/22/2021","13:56:14.000","Close (1)"
"06/22/2021","14:09:33.037","Unknown (0)"
"06/22/2021","14:09:33.514","Open (2)"
"06/22/2021","14:49:16.909","Unknown (0)"
"06/22/2021","14:49:18.043","Close (1)"
"06/22/2021","14:53:31.606","Unknown (0)"
"06/22/2021","14:53:32.051","Open (2)"
"06/22/2021","17:06:27.529","Unknown (0)"
"06/22/2021","17:06:28.656","Close (1)"
"06/23/2021","05:06:28.656","Close (1)"
"06/23/2021","10:02:52.898","Unknown (0)"
"06/23/2021","10:02:53.506","Open (2)"
"06/23/2021","10:21:56.728","Unknown (0)"
"06/23/2021","10:21:57.521","Close (1)"
"06/23/2021","10:40:40.586","Unknown (0)"
"06/23/2021","10:40:41.039","Open (2)"
"06/23/2021","12:14:18.605","Unknown (0)"
"06/23/2021","12:14:19.614","Close (1)"
"06/23/2021","13:07:37.765","Unknown (0)"
"06/23/2021","13:08:03.430","Close (1)"
"06/23/2021","13:08:04.800","Close (1)"
"06/23/2021","13:15:55.315","Unknown (0)"
"06/23/2021","13:15:55.827","Open (2)"
"06/23/2021","13:25:04.549","Unknown (0)"
"06/23/2021","13:25:05.331","Close (1)"
"06/23/2021","13:52:36.962","Unknown (0)"
"06/23/2021","13:52:37.353","Open (2)"
"06/23/2021","13:53:01.351","Unknown (0)"
"06/23/2021","13:53:02.350","Close (1)"
"06/23/2021","15:14:03.549","Unknown (0)"
"06/23/2021","15:14:03.914","Open (2)"
"06/23/2021","15:32:56.344","Unknown (0)"
"06/23/2021","15:32:57.424","Close (1)"
"06/23/2021","15:38:06.648","Unknown (0)"
"06/23/2021","15:38:06.932","Open (2)"
"06/23/2021","16:51:44.789","Unknown (0)"
"06/23/2021","16:51:45.982","Close (1)"
"06/23/2021","16:53:49.111","Unknown (0)"
"06/23/2021","16:53:49.488","Open (2)"
"06/23/2021","17:00:52.777","Unknown (0)"
"06/23/2021","17:00:53.989","Close (1)"
"06/23/2021","17:01:52.322","Unknown (0)"
"06/23/2021","17:01:52.992","Open (2)"
"06/23/2021","18:32:37.461","Unknown (0)"
"06/23/2021","18:32:38.557","Close (1)"
"06/23/2021","18:33:04.004","Unknown (0)"
"06/23/2021","18:33:04.561","Open (2)"
"06/24/2021","06:33:04.562","Open (2)"
"06/24/2021","07:31:33.868","Unknown (0)"
"06/24/2021","07:31:35.133","Close (1)"
"06/24/2021","10:22:37.546","Unknown (0)"
"06/24/2021","10:22:37.765","Open (2)"
"06/24/2021","12:50:56.637","Unknown (0)"
"06/24/2021","12:50:57.871","Close (1)"
"06/24/2021","13:08:41.756","Unknown (0)"
"06/24/2021","13:08:42.387","Open (2)"
"06/24/2021","15:46:36.317","Unknown (0)"
"06/24/2021","15:46:37.503","Close (1)"
"06/24/2021","16:00:46.879","Unknown (0)"
"06/24/2021","16:00:47.515","Open (2)"
"06/24/2021","16:22:51.387","Unknown (0)"
"06/24/2021","16:22:52.529","Close (1)"
"06/24/2021","16:51:18.204","Unknown (0)"
"06/24/2021","16:51:18.554","Open (2)"
"06/24/2021","17:41:02.377","Unknown (0)"
"06/24/2021","17:41:03.588","Close (1)"
"06/24/2021","19:52:17.628","Unknown (0)"
"06/24/2021","19:52:18.189","Open (2)"
"06/24/2021","19:59:23.639","Unknown (0)"
"06/24/2021","19:59:24.692","Close (1)"
"06/24/2021","20:00:39.793","Unknown (0)"
"06/24/2021","20:00:40.196","Open (2)"
"06/24/2021","20:13:11.639","Unknown (0)"
"06/24/2021","20:13:12.702","Close (1)"
"06/24/2021","20:15:05.112","Unknown (0)"
"06/24/2021","20:15:05.705","Open (2)"
"06/24/2021","20:35:08.136","Unknown (0)"
"06/24/2021","20:35:09.218","Close (1)"
"06/24/2021","20:40:27.137","Unknown (0)"
"06/24/2021","20:40:27.726","Open (2)"
"06/24/2021","20:56:11.318","Unknown (0)"
"06/24/2021","20:56:12.235","Close (1)"
"06/24/2021","20:57:08.537","Unknown (0)"
"06/24/2021","20:57:08.738","Open (2)"
"06/25/2021","08:57:08.738","Open (2)"
"06/25/2021","13:00:12.615","Unknown (0)"
"06/25/2021","13:00:13.947","Close (1)"
"06/25/2021","14:26:21.560","Unknown (0)"
"06/25/2021","14:26:22.014","Open (2)"
"06/26/2021","02:26:22.015","Open (2)"
"06/26/2021","14:26:22.015","Open (2)"
"06/27/2021","02:26:22.015","Open (2)"
"06/27/2021","03:29:07.724","Unknown (0)"
"06/27/2021","03:29:08.657","Close (1)"
"06/27/2021","15:29:08.657","Close (1)"
"06/28/2021","03:29:08.658","Close (1)"
"06/28/2021","09:25:52.268","Unknown (0)"
"06/28/2021","09:26:17.895","Close (1)"
"06/28/2021","09:26:19.290","Close (1)"
"06/28/2021","11:32:21.313","Unknown (0)"
"06/28/2021","11:32:21.762","Open (2)"
"06/28/2021","12:45:08.264","Unknown (0)"
"06/28/2021","12:45:09.313","Close (1)"
"06/28/2021","12:46:53.979","Unknown (0)"
"06/28/2021","12:46:54.318","Open (2)"
"06/29/2021","00:46:54.318","Open (2)"
"06/29/2021","10:24:07.105","Unknown (0)"
"06/29/2021","10:24:08.275","Close (1)"
"06/29/2021","10:24:22.038","Unknown (0)"
"06/29/2021","10:24:22.278","Open (2)"
"06/29/2021","10:26:25.933","Unknown (0)"
"06/29/2021","10:26:26.778","Close (1)"
"06/29/2021","10:26:34.654","Unknown (0)"
"06/29/2021","11:44:10.746","Close (1)"
"06/29/2021","11:44:33.223","Unknown (0)"
"06/29/2021","11:44:33.864","Close (1)"
"06/29/2021","11:44:51.861","Unknown (0)"
"06/29/2021","11:45:07.137","Unknown (0)"
"06/29/2021","11:45:08.513","Close (1)"
"06/29/2021","12:21:09.677","Unknown (0)"
"06/29/2021","12:21:10.120","Close (1)"
"06/29/2021","12:22:08.695","Close (1)"
"06/29/2021","12:22:19.754","Unknown (0)"
"06/29/2021","12:23:02.446","Close (1)"
"06/29/2021","12:23:02.924","Close (1)"
"06/29/2021","12:23:30.183","Close (1)"
"06/29/2021","14:35:22.115","Unknown (0)"
"06/29/2021","14:46:43.342","Close (1)"
"06/29/2021","14:48:08.380","Close (1)"
"06/29/2021","14:48:35.393","Unknown (0)"
"06/29/2021","14:49:18.556","Close (1)"
"06/29/2021","14:49:18.768","Close (1)"
"06/29/2021","14:50:02.070","Unknown (0)"
"06/29/2021","14:50:13.557","Close (1)"
"06/29/2021","15:16:58.281","Unknown (0)"
"06/29/2021","15:17:23.881","Close (1)"
"06/29/2021","15:17:24.253","Close (1)"
"06/29/2021","23:43:21.287","Unknown (0)"
"06/29/2021","23:43:21.924","Open (2)"
"06/29/2021","23:44:25.348","Unknown (0)"
"06/29/2021","23:44:26.423","Close (1)"
"06/30/2021","11:29:07.931","Unknown (0)"
"06/30/2021","11:29:08.445","Open (2)"
"06/30/2021","11:29:14.764","Unknown (0)"
"06/30/2021","11:29:15.941","Close (1)"
"06/30/2021","11:31:24.342","Unknown (0)"
"06/30/2021","11:31:24.945","Open (2)"
"06/30/2021","11:55:43.382","Unknown (0)"
"06/30/2021","11:55:44.462","Close (1)"
"06/30/2021","11:59:52.468","Unknown (0)"
"06/30/2021","11:59:52.968","Open (2)"
"06/30/2021","12:06:13.381","Unknown (0)"
"06/30/2021","12:06:14.469","Close (1)"
"07/07/2021","13:39:10.766","Unknown (0)"
"07/07/2021","15:42:21.928","Close (1)"
"07/07/2021","15:57:52.595","Unknown (0)"
"07/08/2021","03:57:52.595","Unknown (0)"
"07/08/2021","09:47:02.793","Close (1)"
"07/08/2021","12:59:59.630","Close (1)"
"07/08/2021","15:12:16.159","Unknown (0)"
"07/08/2021","15:24:09.616","Unknown (0)"
"07/08/2021","15:24:23.622","Unknown (0)"
"07/08/2021","15:35:58.483","Close (1)"
"07/08/2021","15:38:07.120","Close (1)"
"07/08/2021","15:41:29.463","Unknown (0)"
"07/08/2021","15:45:16.835","Close (1)"
"07/08/2021","19:01:25.511","Unknown (0)"
"07/08/2021","19:01:25.891","Open (2)"
"07/08/2021","19:05:06.491","Unknown (0)"
"07/08/2021","19:05:07.391","Close (1)"
"07/09/2021","07:05:07.391","Close (1)"
"07/09/2021","19:05:07.392","Close (1)"
"07/10/2021","07:05:07.393","Close (1)"
"07/10/2021","19:05:07.394","Close (1)"
"07/11/2021","07:05:07.394","Close (1)"
"07/14/2021","16:16:10.502","Unknown (0)"
"07/15/2021","04:16:10.505","Unknown (0)"
"07/15/2021","09:56:25.146","Unknown (0)"
"07/15/2021","09:59:11.930","Close (1)"
"07/15/2021","10:00:19.047","Unknown (0)"
"07/15/2021","11:02:20.630","Close (1)"
"07/15/2021","23:02:20.630","Close (1)"
"07/16/2021","10:44:37.766","Unknown (0)"
"07/16/2021","10:45:03.253","Close (1)"
"07/16/2021","10:45:03.328","Close (1)"
"07/16/2021","22:45:03.329","Close (1)"
"07/17/2021","10:45:03.329","Close (1)"
"07/17/2021","22:45:03.329","Close (1)"
"07/18/2021","10:45:03.330","Close (1)"
"07/18/2021","22:45:03.331","Close (1)"
"07/19/2021","10:45:03.331","Close (1)"
"07/19/2021","15:51:54.404","Unknown (0)"
"07/19/2021","15:51:55.455","Open (2)"
"07/20/2021","03:51:55.456","Open (2)"
"07/20/2021","10:31:29.734","Unknown (0)"
"07/20/2021","10:31:30.886","Close (1)"
"07/20/2021","11:23:44.488","Unknown (0)"
"07/20/2021","11:23:44.933","Open (2)"
"07/20/2021","13:02:12.676","Unknown (0)"
"07/20/2021","13:02:13.512","Close (1)"
"07/20/2021","13:02:13.792","Unknown (0)"
"07/20/2021","13:02:14.014","Open (2)"
"07/20/2021","13:02:42.784","Unknown (0)"
"07/20/2021","13:02:44.011","Close (1)"
"07/20/2021","13:56:22.614","Unknown (0)"
"07/20/2021","13:56:23.060","Open (2)"
"07/20/2021","14:45:50.542","Unknown (0)"
"07/20/2021","14:45:51.597","Close (1)"
"07/20/2021","14:54:42.432","Unknown (0)"
"07/20/2021","14:54:42.608","Open (2)"
"07/20/2021","14:55:27.882","Unknown (0)"
"07/20/2021","14:55:29.105","Close (1)"
"07/20/2021","15:00:55.772","Unknown (0)"
"07/20/2021","15:00:56.113","Open (2)"
"07/20/2021","15:03:21.595","Unknown (0)"
"07/20/2021","15:03:22.612","Close (1)"
"07/20/2021","15:13:11.699","Unknown (0)"
"07/20/2021","15:13:12.123","Open (2)"
"07/20/2021","15:36:09.304","Unknown (0)"
"07/20/2021","15:36:10.140","Close (1)"
"07/20/2021","15:40:02.985","Unknown (0)"
"07/20/2021","15:40:03.644","Open (2)"
"07/20/2021","17:05:48.136","Unknown (0)"
"07/20/2021","17:05:49.214","Close (1)"
"07/20/2021","17:26:59.011","Unknown (0)"
"07/20/2021","17:26:59.234","Open (2)"
"07/21/2021","05:26:59.235","Open (2)"
"07/21/2021","07:08:40.851","Unknown (0)"
"07/21/2021","07:08:41.908","Close (1)"
"07/21/2021","09:46:28.719","Unknown (0)"
"07/21/2021","09:46:29.041","Open (2)"
"07/21/2021","09:49:19.445","Unknown (0)"
"07/21/2021","09:49:20.540","Close (1)"
"07/21/2021","09:50:14.160","Unknown (0)"
"07/21/2021","09:50:14.544","Open (2)"
"07/21/2021","09:51:36.400","Unknown (0)"
"07/21/2021","09:51:37.542","Close (1)"
"07/21/2021","09:56:28.040","Unknown (0)"
"07/21/2021","09:56:28.550","Open (2)"
"07/21/2021","10:09:14.172","Unknown (0)"
"07/21/2021","10:09:15.058","Close (1)"
"07/21/2021","10:20:15.919","Unknown (0)"
"07/21/2021","10:20:16.567","Open (2)"
"07/21/2021","11:33:56.275","Unknown (0)"
"07/21/2021","11:33:57.127","Close (1)"
"07/21/2021","11:37:17.517","Unknown (0)"
"07/21/2021","11:37:18.130","Open (2)"
"07/21/2021","12:30:25.493","Unknown (0)"
"07/21/2021","12:30:26.673","Close (1)"
"07/21/2021","14:38:13.099","Unknown (0)"
"07/21/2021","14:38:13.281","Open (2)"
"07/21/2021","14:41:51.443","Unknown (0)"
"07/21/2021","14:41:52.282","Close (1)"
"07/21/2021","14:44:52.165","Unknown (0)"
"07/21/2021","14:44:52.785","Open (2)"
"07/21/2021","14:55:33.731","Unknown (0)"
"07/21/2021","14:55:34.792","Close (1)"
"07/22/2021","02:55:34.793","Close (1)"
"07/22/2021","10:33:19.224","Unknown (0)"
"07/22/2021","10:33:19.766","Open (2)"
"07/22/2021","10:38:01.039","Unknown (0)"
"07/22/2021","10:38:02.266","Close (1)"
"07/22/2021","10:43:34.590","Unknown (0)"
"07/22/2021","10:43:34.775","Open (2)"
"07/22/2021","11:17:30.052","Unknown (0)"
"07/22/2021","11:17:31.299","Close (1)"
"07/22/2021","13:15:39.560","Unknown (0)"
"07/22/2021","13:15:39.900","Open (2)"
"07/22/2021","13:33:32.570","Unknown (0)"
"07/22/2021","13:33:33.412","Close (1)"
"07/22/2021","13:44:25.845","Unknown (0)"
"07/22/2021","13:44:26.423","Open (2)"
"07/22/2021","13:49:20.111","Unknown (0)"
"07/22/2021","13:49:20.924","Close (1)"
"07/22/2021","13:52:33.659","Unknown (0)"
"07/22/2021","13:52:33.930","Open (2)"
"07/22/2021","14:01:38.767","Unknown (0)"
"07/22/2021","14:01:39.934","Close (1)"
"07/22/2021","14:36:30.213","Unknown (0)"
"07/22/2021","14:36:30.466","Open (2)"
"07/22/2021","14:43:34.514","Unknown (0)"
"07/22/2021","14:43:35.469","Close (1)"
"07/22/2021","14:46:57.434","Unknown (0)"
"07/22/2021","14:46:57.974","Open (2)"
"07/22/2021","14:53:33.054","Unknown (0)"
"07/22/2021","14:53:33.977","Close (1)"
"07/22/2021","14:54:53.536","Unknown (0)"
"07/22/2021","14:54:53.981","Open (2)"
"07/22/2021","15:11:52.751","Unknown (0)"
"07/22/2021","15:11:53.992","Close (1)"
"07/22/2021","15:12:59.142","Unknown (0)"
"07/22/2021","15:12:59.496","Open (2)"
"07/22/2021","15:52:13.824","Unknown (0)"
"07/22/2021","15:52:15.025","Close (1)"
"07/23/2021","03:52:15.026","Close (1)"
"07/23/2021","09:58:33.221","Unknown (0)"
"07/23/2021","09:58:33.422","Open (2)"
"07/23/2021","10:01:28.301","Unknown (0)"
"07/23/2021","10:01:29.420","Close (1)"
"07/23/2021","10:03:07.488","Unknown (0)"
"07/23/2021","10:03:07.925","Open (2)"
"07/23/2021","10:28:40.737","Unknown (0)"
"07/23/2021","10:28:41.943","Close (1)"
"07/23/2021","10:33:04.297","Unknown (0)"
"07/23/2021","10:33:04.948","Open (2)"
"07/23/2021","12:21:44.481","Unknown (0)"
"07/23/2021","12:21:45.536","Close (1)"
"07/23/2021","13:01:03.944","Unknown (0)"
"07/23/2021","13:01:04.570","Open (2)"
"07/23/2021","14:14:37.731","Unknown (0)"
"07/23/2021","14:14:38.630","Close (1)"
"07/23/2021","14:22:54.493","Unknown (0)"
"07/23/2021","14:22:55.137","Open (2)"
"07/23/2021","14:26:46.343","Unknown (0)"
"07/23/2021","14:26:47.140","Close (1)"
"07/23/2021","14:31:41.250","Unknown (0)"
"07/23/2021","14:31:41.646","Open (2)"
"07/23/2021","14:53:32.004","Unknown (0)"
"07/23/2021","14:53:33.161","Close (1)"
"07/23/2021","14:55:27.430","Unknown (0)"
"07/23/2021","14:55:27.666","Open (2)"
"07/23/2021","15:31:09.548","Unknown (0)"
"07/23/2021","15:31:10.691","Close (1)"
"07/23/2021","15:31:57.630","Unknown (0)"
"07/23/2021","15:31:58.196","Open (2)"
"07/23/2021","15:39:13.105","Unknown (0)"
"07/23/2021","15:39:14.198","Close (1)"
"07/24/2021","03:39:14.198","Close (1)"
"07/24/2021","15:39:14.199","Close (1)"
"07/25/2021","03:39:14.199","Close (1)"
"07/25/2021","15:39:14.200","Close (1)"
"07/26/2021","03:39:14.200","Close (1)"
"07/26/2021","09:57:13.694","Unknown (0)"
"07/26/2021","09:57:13.983","Open (2)"
"07/26/2021","10:14:55.349","Unknown (0)"
"07/26/2021","10:14:56.494","Close (1)"
"07/26/2021","10:27:50.619","Unknown (0)"
"07/26/2021","10:27:51.008","Open (2)"
"07/26/2021","11:24:33.758","Unknown (0)"
"07/26/2021","11:24:34.553","Close (1)"
"07/26/2021","11:28:08.948","Unknown (0)"
"07/26/2021","11:28:09.556","Open (2)"
"07/26/2021","11:28:54.683","Unknown (0)"
"07/26/2021","11:28:55.556","Close (1)"
"07/26/2021","11:32:07.959","Unknown (0)"
"07/26/2021","11:32:08.559","Open (2)"
"07/26/2021","12:12:51.641","Unknown (0)"
"07/26/2021","12:12:52.592","Close (1)"
"07/26/2021","12:16:51.211","Unknown (0)"
"07/26/2021","12:16:51.599","Open (2)"
"07/26/2021","13:50:53.187","Unknown (0)"
"07/26/2021","13:50:54.174","Close (1)"
"07/26/2021","13:53:25.354","Unknown (0)"
"07/26/2021","13:53:25.678","Open (2)"
"07/27/2021","01:53:25.679","Open (2)"
"07/27/2021","13:53:25.680","Open (2)"
"07/28/2021","01:53:25.680","Open (2)"
"07/28/2021","11:16:35.007","Unknown (0)"
"07/28/2021","11:16:35.924","Close (1)"
"07/28/2021","12:30:08.031","Unknown (0)"
"07/28/2021","12:30:08.487","Open (2)"
"07/28/2021","12:38:04.241","Unknown (0)"
"07/28/2021","12:38:05.490","Close (1)"
"07/28/2021","12:44:47.304","Unknown (0)"
"07/28/2021","12:44:47.499","Open (2)"
"07/28/2021","12:53:58.907","Unknown (0)"
"07/28/2021","12:54:00.004","Close (1)"
"07/28/2021","12:58:11.973","Unknown (0)"
"07/28/2021","12:58:12.510","Open (2)"
"07/28/2021","16:09:19.084","Unknown (0)"
"07/28/2021","16:09:20.164","Close (1)"
"07/28/2021","16:15:53.091","Close (1)"
"07/28/2021","16:16:17.784","Unknown (0)"
"07/28/2021","16:17:00.540","Close (1)"
"07/28/2021","16:17:00.947","Close (1)"
"07/28/2021","16:24:24.826","Unknown (0)"
"07/28/2021","16:24:25.181","Open (2)"
"07/28/2021","16:43:40.093","Unknown (0)"
"07/28/2021","16:43:41.193","Close (1)"
"07/29/2021","04:43:41.194","Close (1)"
"07/29/2021","09:51:08.175","Unknown (0)"
"07/29/2021","09:51:08.547","Open (2)"
"07/29/2021","09:52:32.616","Unknown (0)"
"07/29/2021","09:52:33.547","Close (1)"
"07/29/2021","09:59:03.943","Unknown (0)"
"07/29/2021","09:59:04.552","Open (2)"
"07/29/2021","10:00:14.696","Unknown (0)"
"07/29/2021","10:00:15.552","Close (1)"
"07/29/2021","10:21:50.034","Unknown (0)"
"07/29/2021","10:21:50.573","Open (2)"
"07/29/2021","10:21:52.724","Unknown (0)"
"07/29/2021","10:21:53.571","Close (1)"
"07/29/2021","10:27:09.964","Unknown (0)"
"07/29/2021","10:27:10.575","Open (2)"
"07/29/2021","10:27:29.738","Unknown (0)"
"07/29/2021","10:27:30.575","Close (1)"
"07/29/2021","11:18:48.715","Unknown (0)"
"07/29/2021","11:18:49.120","Open (2)"
"07/29/2021","11:19:33.155","Unknown (0)"
"07/29/2021","11:19:34.118","Close (1)"
"07/29/2021","12:34:20.554","Unknown (0)"
"07/29/2021","12:34:21.181","Open (2)"
"07/29/2021","12:43:29.390","Unknown (0)"
"07/29/2021","12:43:30.188","Close (1)"
"07/29/2021","13:15:20.801","Unknown (0)"
"07/29/2021","13:15:21.217","Open (2)"
"07/29/2021","13:38:39.001","Unknown (0)"
"07/29/2021","13:38:40.233","Close (1)"
"07/29/2021","13:42:25.296","Unknown (0)"
"07/29/2021","13:42:25.739","Open (2)"
"07/29/2021","14:04:41.296","Unknown (0)"
"07/29/2021","14:04:42.255","Close (1)"
"07/29/2021","14:06:04.745","Unknown (0)"
"07/29/2021","14:06:05.259","Open (2)"
"07/29/2021","14:21:43.359","Unknown (0)"
"07/29/2021","14:21:44.269","Close (1)"
"07/29/2021","14:27:25.536","Unknown (0)"
"07/29/2021","14:27:25.776","Open (2)"
"07/29/2021","15:32:43.672","Unknown (0)"
"07/29/2021","15:32:44.827","Close (1)"
"07/30/2021","03:32:44.828","Close (1)"
"07/30/2021","10:05:47.616","Unknown (0)"
"07/30/2021","10:05:48.250","Open (2)"
"07/30/2021","10:06:04.264","Unknown (0)"
"07/30/2021","10:06:05.249","Close (1)"
"07/30/2021","10:06:53.793","Close (1)"
"07/30/2021","10:07:11.703","Unknown (0)"
"07/30/2021","10:07:54.559","Close (1)"
"07/30/2021","10:07:55.090","Close (1)"
"07/30/2021","10:11:17.478","Unknown (0)"
"07/30/2021","10:11:17.756","Open (2)"
"07/30/2021","10:57:44.132","Unknown (0)"
"07/30/2021","10:57:45.291","Close (1)"
"07/30/2021","11:19:09.258","Unknown (0)"
"07/30/2021","11:19:09.812","Open (2)"
"07/30/2021","11:30:53.097","Unknown (0)"
"07/30/2021","11:30:54.319","Close (1)"
"07/30/2021","11:31:13.749","Close (1)"
"07/30/2021","11:32:09.254","Unknown (0)"
"07/30/2021","11:32:52.150","Close (1)"
"07/30/2021","11:32:53.363","Close (1)"
"07/30/2021","11:49:51.348","Unknown (0)"
"07/30/2021","11:49:51.837","Open (2)"
"07/30/2021","12:09:31.785","Unknown (0)"
"07/30/2021","12:09:32.850","Close (1)"
"07/30/2021","13:36:43.748","Unknown (0)"
"07/30/2021","13:36:43.926","Open (2)"
"07/30/2021","13:46:58.371","Unknown (0)"
"07/30/2021","13:46:59.431","Close (1)"
"07/30/2021","13:48:06.245","Unknown (0)"
"07/30/2021","13:48:06.436","Open (2)"
"07/30/2021","14:27:36.940","Unknown (0)"
"07/30/2021","14:27:37.965","Close (1)"
"07/30/2021","14:31:33.735","Unknown (0)"
"07/30/2021","14:56:47.202","Unknown (0)"
"07/31/2021","02:56:47.204","Unknown (0)"
"07/31/2021","14:56:47.204","Unknown (0)"
"08/01/2021","02:56:47.205","Unknown (0)"
"08/01/2021","14:56:47.206","Unknown (0)"
"08/02/2021","02:56:47.206","Unknown (0)"
"08/02/2021","09:41:00.153","Close (1)"
"08/02/2021","09:42:15.867","Unknown (0)"
"08/02/2021","09:42:18.150","Open (2)"
"08/02/2021","09:44:52.489","Unknown (0)"
"08/02/2021","09:44:53.649","Close (1)"
"08/02/2021","09:47:11.053","Unknown (0)"
"08/02/2021","09:47:11.651","Open (2)"
"08/02/2021","09:55:52.066","Unknown (0)"
"08/02/2021","09:55:53.156","Close (1)"
"08/02/2021","10:20:58.111","Unknown (0)"
"08/02/2021","10:20:58.679","Open (2)"
"08/02/2021","10:41:35.877","Unknown (0)"
"08/02/2021","10:41:36.692","Close (1)"
"08/02/2021","10:45:47.230","Unknown (0)"
"08/02/2021","10:45:47.697","Open (2)"
"08/02/2021","11:53:11.737","Unknown (0)"
"08/02/2021","11:53:12.743","Close (1)"
"08/02/2021","15:23:05.927","Unknown (0)"
"08/02/2021","15:23:05.972","Close (1)"
"08/02/2021","15:28:02.887","Unknown (0)"
"08/02/2021","15:28:22.464","Close (1)"
"08/02/2021","16:24:56.018","Unknown (0)"
"08/02/2021","16:24:57.102","Close (1)"
