"Import help:"
"Comma-delimited data"
"First column is date: MDY"
"Decimal separator: ."
"Thousand separator: ,"
"","System:","3889 (1156255) [Krios G4]"
"06/20/2021","19:32:31.921","107.13"
"06/20/2021","19:32:38.616","107.54"
"06/20/2021","19:32:45.321","107.97"
"06/20/2021","19:32:52.019","108.38"
"06/20/2021","19:32:58.713","108.79"
"06/20/2021","19:33:05.414","109.22"
"06/20/2021","19:33:12.115","109.63"
"06/20/2021","19:33:18.813","110.06"
"06/20/2021","19:33:25.517","110.47"
"06/20/2021","19:33:32.218","110.88"
"06/20/2021","19:33:38.915","111.32"
"06/20/2021","19:33:45.620","111.73"
"06/20/2021","19:33:52.319","112.17"
"06/20/2021","19:33:59.010","112.57"
"06/20/2021","19:34:05.708","112.98"
"06/20/2021","19:34:12.408","113.42"
"06/20/2021","19:34:19.114","113.83"
"06/20/2021","19:34:25.811","114.27"
"06/20/2021","19:34:32.507","114.68"
"06/20/2021","19:34:39.206","115.09"
"06/20/2021","19:34:45.913","115.53"
"06/20/2021","19:34:52.606","115.93"
"06/20/2021","19:34:59.310","116.37"
"06/20/2021","19:35:06.004","116.77"
"06/20/2021","19:35:12.711","117.18"
"06/20/2021","19:35:19.408","117.62"
"06/20/2021","19:35:26.110","118.02"
"06/20/2021","19:35:32.807","118.44"
"06/20/2021","19:35:39.501","118.84"
"06/20/2021","19:35:46.199","119.23"
"06/20/2021","19:35:52.908","119.66"
"06/20/2021","19:35:59.599","120.05"
"06/20/2021","19:36:06.298","120.47"
"06/20/2021","19:36:12.998","120.86"
"06/20/2021","19:36:19.704","121.25"
"06/20/2021","19:36:26.405","121.67"
"06/20/2021","19:36:33.108","122.06"
"06/20/2021","19:36:39.803","122.48"
"06/20/2021","19:36:46.503","122.87"
"06/20/2021","19:36:53.202","123.25"
"06/20/2021","19:36:59.901","123.67"
"06/20/2021","19:37:06.609","124.05"
"06/20/2021","19:37:13.306","124.44"
"06/20/2021","19:37:20.007","124.85"
"06/20/2021","19:37:26.699","125.24"
"06/20/2021","19:37:33.392","125.64"
"06/20/2021","19:37:40.092","126.03"
"06/20/2021","19:37:46.796","126.41"
"06/20/2021","19:37:53.491","126.82"
"06/20/2021","19:38:00.190","127.19"
"06/20/2021","19:38:06.889","127.6"
"06/20/2021","19:38:13.588","127.97"
"06/20/2021","19:38:20.305","128.34"
"06/20/2021","19:38:26.996","128.74"
"06/20/2021","19:38:33.696","129.11"
"06/20/2021","19:38:40.394","129.5"
"06/20/2021","19:38:47.096","129.87"
"06/20/2021","19:38:53.790","130.24"
"06/20/2021","19:39:00.486","130.63"
"06/20/2021","19:39:07.189","131"
"06/20/2021","19:39:13.904","131.39"
"06/20/2021","19:39:20.595","131.75"
"06/20/2021","19:39:27.285","132.11"
"06/20/2021","19:39:33.993","132.5"
"06/20/2021","19:39:40.683","132.87"
"06/20/2021","19:39:47.383","133.25"
"06/20/2021","19:39:54.101","133.61"
"06/20/2021","19:40:00.789","133.97"
"06/20/2021","19:40:07.481","134.36"
"06/20/2021","19:40:14.186","134.72"
"06/20/2021","19:40:20.880","135.1"
"06/20/2021","19:40:27.581","135.46"
"06/20/2021","19:40:34.292","135.81"
"06/20/2021","19:40:40.978","136.2"
"06/20/2021","19:40:47.678","136.55"
"06/20/2021","19:40:54.377","136.9"
"06/20/2021","19:41:01.090","137.29"
"06/20/2021","19:41:07.794","137.64"
"06/20/2021","19:41:14.475","138.01"
"06/20/2021","19:41:21.175","138.36"
"06/20/2021","19:41:27.874","138.7"
"06/20/2021","19:41:34.588","139.07"
"06/20/2021","19:41:41.273","139.42"
"06/20/2021","19:41:47.978","139.79"
"06/20/2021","19:41:54.676","140.13"
"06/20/2021","19:42:01.376","140.47"
"06/20/2021","19:42:08.086","140.84"
"06/20/2021","19:42:14.770","141.18"
"06/20/2021","19:42:21.474","141.55"
"06/20/2021","19:42:28.175","141.89"
"06/20/2021","19:42:34.875","142.23"
"06/20/2021","19:42:41.568","142.59"
"06/20/2021","19:42:48.267","142.93"
"06/20/2021","19:42:54.971","143.3"
"06/20/2021","19:43:01.673","143.64"
"06/20/2021","19:43:08.366","143.97"
"06/20/2021","19:43:15.065","144.34"
"06/20/2021","19:43:21.775","144.67"
"06/20/2021","19:43:28.469","145.03"
"06/20/2021","19:43:35.165","145.37"
"06/20/2021","19:43:41.868","145.7"
"06/20/2021","19:43:48.569","146.06"
"06/20/2021","19:43:55.263","146.4"
"06/20/2021","19:44:01.962","146.76"
"06/20/2021","19:44:08.683","147.09"
"06/20/2021","19:44:15.373","147.42"
"06/20/2021","19:44:22.061","147.78"
"06/20/2021","19:44:28.773","148.11"
"06/20/2021","19:44:35.460","148.46"
"06/20/2021","19:44:42.161","148.79"
"06/20/2021","19:44:48.866","149.11"
"06/20/2021","19:44:55.558","149.46"
"06/20/2021","19:45:02.262","149.78"
"06/20/2021","19:45:08.964","150.13"
"06/20/2021","19:45:15.671","150.45"
"06/20/2021","19:45:22.362","150.78"
"06/20/2021","19:45:29.066","151.12"
"06/20/2021","19:45:35.754","151.45"
"06/20/2021","19:45:42.460","151.77"
"06/20/2021","19:45:49.162","152.12"
"06/20/2021","19:45:55.853","152.43"
"06/20/2021","19:46:02.557","152.78"
"06/20/2021","19:46:09.251","153.1"
"06/20/2021","19:46:15.957","153.42"
"06/20/2021","19:46:22.655","153.76"
"06/20/2021","19:46:29.350","154.08"
"06/20/2021","19:46:36.056","154.42"
"06/20/2021","19:46:42.753","154.74"
"06/20/2021","19:46:49.448","155.06"
"06/20/2021","19:46:56.149","155.4"
"06/20/2021","19:47:02.847","155.72"
"06/20/2021","19:47:09.546","156.06"
"06/20/2021","19:47:16.245","156.37"
"06/20/2021","19:47:22.954","156.69"
"06/20/2021","19:47:29.645","157.03"
"06/20/2021","19:47:36.348","157.34"
"06/20/2021","19:47:43.043","157.68"
"06/20/2021","19:47:49.744","158"
"06/20/2021","19:47:56.444","158.31"
"06/20/2021","19:48:03.145","158.65"
"06/20/2021","19:48:09.856","158.96"
"06/20/2021","19:48:16.546","159.3"
"06/20/2021","19:48:23.254","159.61"
"06/20/2021","19:48:29.946","159.92"
"06/20/2021","19:48:36.642","160.25"
"06/20/2021","19:48:43.344","160.55"
"06/20/2021","19:48:50.044","160.88"
"06/20/2021","19:48:56.745","161.19"
"06/20/2021","19:49:03.442","161.5"
"06/20/2021","19:49:10.139","161.83"
"06/20/2021","19:49:16.841","162.13"
"06/20/2021","19:49:23.536","162.46"
"06/20/2021","19:49:30.247","162.76"
"06/20/2021","19:49:36.949","163.07"
"06/20/2021","19:49:43.643","163.39"
"06/20/2021","19:49:50.339","163.7"
"06/20/2021","19:49:57.043","164.02"
"06/20/2021","19:50:03.738","164.33"
"06/20/2021","19:50:10.442","164.63"
"06/20/2021","19:50:17.146","164.95"
"06/20/2021","19:50:23.842","165.25"
"06/20/2021","19:50:30.550","165.58"
"06/20/2021","19:50:37.241","165.88"
"06/20/2021","19:50:43.941","166.18"
"06/20/2021","19:50:50.644","166.51"
"06/20/2021","19:50:57.339","166.81"
"06/20/2021","19:51:04.040","167.13"
"06/20/2021","19:51:10.738","167.43"
"06/20/2021","19:51:17.439","167.73"
"06/20/2021","19:51:24.138","168.05"
"06/20/2021","19:51:30.838","168.35"
"06/20/2021","19:51:37.552","168.65"
"06/20/2021","19:51:44.236","168.97"
"06/20/2021","19:51:50.934","169.27"
"06/20/2021","19:51:57.640","169.59"
"06/20/2021","19:52:04.335","169.89"
"06/20/2021","19:52:11.035","170.18"
"06/20/2021","19:52:17.732","170.5"
"06/20/2021","19:52:24.433","170.8"
"06/20/2021","19:52:31.135","171.12"
"06/20/2021","19:52:37.832","171.41"
"06/20/2021","19:52:44.541","171.71"
"06/20/2021","19:52:51.230","172.02"
"06/20/2021","19:52:57.929","172.31"
"06/20/2021","19:53:04.631","172.63"
"06/20/2021","19:53:11.328","172.92"
"06/20/2021","19:53:18.027","173.21"
"06/20/2021","19:53:24.726","173.52"
"06/20/2021","19:53:31.427","173.81"
"06/20/2021","19:53:38.132","174.12"
"06/20/2021","19:53:44.826","174.41"
"06/20/2021","19:53:51.526","174.7"
"06/20/2021","19:53:58.224","175.01"
"06/20/2021","19:54:04.923","175.3"
"06/20/2021","19:54:11.628","175.61"
"06/20/2021","19:54:18.323","175.9"
"06/20/2021","19:54:25.022","176.18"
"06/20/2021","19:54:31.721","176.49"
"06/20/2021","19:54:38.423","176.78"
"06/20/2021","19:54:45.125","177.09"
"06/20/2021","19:54:51.822","177.38"
"06/20/2021","19:54:58.519","177.67"
"06/20/2021","19:55:05.220","177.98"
"06/20/2021","19:55:11.917","178.26"
"06/20/2021","19:55:18.622","178.57"
"06/20/2021","19:55:25.318","178.85"
"06/20/2021","19:55:32.019","179.14"
"06/20/2021","19:55:38.717","179.45"
"06/20/2021","19:55:45.418","179.73"
"06/20/2021","19:55:52.122","180.02"
"06/20/2021","19:55:58.819","180.32"
"06/20/2021","19:56:05.518","180.61"
"06/20/2021","19:56:12.219","180.91"
"06/20/2021","19:56:18.916","181.2"
"06/20/2021","19:56:25.620","181.48"
"06/20/2021","19:56:32.315","181.79"
"06/20/2021","19:56:39.016","182.07"
"06/20/2021","19:56:45.713","182.37"
"06/20/2021","19:56:52.414","182.66"
"06/20/2021","19:56:59.114","182.94"
"06/20/2021","19:57:05.813","183.24"
"06/20/2021","19:57:12.511","183.53"
"06/20/2021","19:57:19.214","183.83"
"06/20/2021","19:57:25.911","184.11"
"06/20/2021","19:57:32.617","184.39"
"06/20/2021","19:57:39.312","184.7"
"06/20/2021","19:57:46.012","184.98"
"06/20/2021","19:57:52.709","185.27"
"06/20/2021","19:57:59.410","185.55"
"06/20/2021","19:58:06.114","185.83"
"06/20/2021","19:58:12.808","186.13"
"06/20/2021","19:58:19.508","186.4"
"06/20/2021","19:58:26.207","186.7"
"06/20/2021","19:58:32.907","186.98"
"06/20/2021","19:58:39.611","187.26"
"06/20/2021","19:58:46.306","187.55"
"06/20/2021","19:58:53.005","187.83"
"06/20/2021","19:58:59.704","188.1"
"06/20/2021","19:59:06.405","188.4"
"06/20/2021","19:59:13.111","188.68"
"06/20/2021","19:59:19.803","188.97"
"06/20/2021","19:59:26.504","189.25"
"06/20/2021","19:59:33.202","189.52"
"06/20/2021","19:59:39.902","189.82"
"06/20/2021","19:59:46.601","190.09"
"06/20/2021","19:59:53.302","190.39"
"06/20/2021","20:00:00.000","190.66"
"06/20/2021","20:00:06.700","190.94"
"06/20/2021","20:00:13.398","191.23"
"06/20/2021","20:00:20.104","191.5"
"06/20/2021","20:00:26.798","191.8"
"06/20/2021","20:00:33.498","192.07"
"06/20/2021","20:00:40.196","192.34"
"06/20/2021","20:00:46.897","192.64"
"06/20/2021","20:00:53.603","192.91"
"06/20/2021","20:01:00.296","193.2"
"06/20/2021","20:01:06.994","193.47"
"06/20/2021","20:01:13.695","193.75"
"06/20/2021","20:01:20.394","194.04"
"06/20/2021","20:01:27.100","194.31"
"06/20/2021","20:01:33.793","194.6"
"06/20/2021","20:01:40.494","194.87"
"06/20/2021","20:01:47.193","195.14"
"06/20/2021","20:01:53.891","195.44"
"06/20/2021","20:02:00.596","195.7"
"06/20/2021","20:02:07.292","196"
"06/20/2021","20:02:13.989","196.27"
"06/20/2021","20:02:20.691","196.54"
"06/20/2021","20:02:27.389","196.83"
"06/20/2021","20:02:34.093","197.1"
"06/20/2021","20:02:40.789","197.38"
"06/20/2021","20:02:47.488","197.66"
"06/20/2021","20:02:54.192","197.93"
"06/20/2021","20:03:00.886","198.21"
"06/20/2021","20:03:07.589","198.48"
"06/20/2021","20:03:14.284","198.75"
"06/20/2021","20:03:20.986","199.03"
"06/20/2021","20:03:27.689","199.3"
"06/20/2021","20:03:34.384","199.58"
"06/20/2021","20:03:41.084","199.85"
"06/20/2021","20:03:47.787","200.11"
"06/20/2021","20:03:54.481","200.39"
"06/20/2021","20:04:01.188","200.66"
"06/20/2021","20:04:07.882","200.94"
"06/20/2021","20:04:14.581","201.21"
"06/20/2021","20:04:21.281","201.47"
"06/20/2021","20:04:27.980","201.76"
"06/20/2021","20:04:34.692","202.02"
"06/20/2021","20:04:41.380","202.32"
"06/20/2021","20:04:48.079","202.58"
"06/20/2021","20:04:54.788","202.85"
"06/20/2021","20:05:01.477","203.14"
"06/20/2021","20:05:08.185","203.4"
"06/20/2021","20:05:14.876","203.69"
"06/20/2021","20:05:21.576","203.96"
"06/20/2021","20:05:28.275","204.22"
"06/20/2021","20:05:34.975","204.51"
"06/20/2021","20:05:41.690","204.77"
"06/20/2021","20:05:48.372","205.06"
"06/20/2021","20:05:55.073","205.33"
"06/20/2021","20:06:01.777","205.59"
"06/20/2021","20:06:08.471","205.87"
"06/20/2021","20:06:15.175","206.14"
"06/20/2021","20:06:21.870","206.4"
"06/20/2021","20:06:28.569","206.69"
"06/20/2021","20:06:35.269","206.95"
"06/20/2021","20:06:41.968","207.23"
"06/20/2021","20:06:48.690","207.5"
"06/20/2021","20:06:55.367","207.76"
"06/20/2021","20:07:02.070","208.04"
"06/20/2021","20:07:08.768","208.3"
"06/20/2021","20:07:15.466","208.59"
"06/20/2021","20:07:22.168","208.85"
"06/20/2021","20:07:28.866","209.11"
"06/20/2021","20:07:35.565","209.39"
"06/20/2021","20:07:42.264","209.66"
"06/20/2021","20:07:48.963","209.94"
"06/20/2021","20:07:55.691","210.2"
"06/20/2021","20:08:02.363","210.46"
"06/20/2021","20:08:09.062","210.74"
"06/20/2021","20:08:15.762","211"
"06/20/2021","20:08:22.461","211.26"
"06/20/2021","20:08:29.164","211.54"
"06/20/2021","20:08:35.859","211.8"
"06/20/2021","20:08:42.559","212.08"
"06/20/2021","20:08:49.259","212.34"
"06/20/2021","20:08:55.961","212.6"
"06/20/2021","20:09:02.689","212.87"
"06/20/2021","20:09:09.358","213.13"
"06/20/2021","20:09:16.060","213.41"
"06/20/2021","20:09:22.756","213.66"
"06/20/2021","20:09:29.456","213.92"
"06/20/2021","20:09:36.159","214.19"
"06/20/2021","20:09:42.856","214.45"
"06/20/2021","20:09:49.554","214.72"
"06/20/2021","20:09:56.254","214.97"
"06/20/2021","20:10:02.954","215.23"
"06/20/2021","20:10:09.665","215.5"
"06/20/2021","20:10:16.353","215.76"
"06/20/2021","20:10:23.051","216.03"
"06/20/2021","20:10:29.751","216.28"
"06/20/2021","20:10:36.452","216.54"
"06/20/2021","20:10:43.155","216.81"
"06/20/2021","20:10:49.849","217.06"
"06/20/2021","20:10:56.554","217.34"
"06/20/2021","20:11:03.249","217.59"
"06/20/2021","20:11:09.948","217.84"
"06/20/2021","20:11:16.657","218.12"
"06/20/2021","20:11:23.348","218.37"
"06/20/2021","20:11:30.047","218.62"
"06/20/2021","20:11:36.747","218.89"
"06/20/2021","20:11:43.446","219.15"
"06/20/2021","20:11:50.148","219.42"
"06/20/2021","20:11:56.845","219.67"
"06/20/2021","20:12:03.550","219.92"
"06/20/2021","20:12:10.243","220.19"
"06/20/2021","20:12:16.944","220.45"
"06/20/2021","20:12:23.647","220.72"
"06/20/2021","20:12:30.342","220.97"
"06/20/2021","20:12:37.042","221.22"
"06/20/2021","20:12:43.741","221.49"
"06/20/2021","20:12:50.441","221.74"
"06/20/2021","20:12:57.147","222.01"
"06/20/2021","20:13:03.841","222.26"
"06/20/2021","20:13:10.549","222.52"
"06/20/2021","20:13:17.239","222.79"
"06/20/2021","20:13:23.939","223.04"
"06/20/2021","20:13:30.644","223.31"
"06/20/2021","20:13:37.337","223.56"
"06/20/2021","20:13:44.037","223.81"
"06/20/2021","20:13:50.736","224.08"
"06/20/2021","20:13:57.435","224.33"
"06/20/2021","20:14:04.140","224.58"
"06/20/2021","20:14:10.836","224.85"
"06/20/2021","20:14:17.543","225.1"
"06/20/2021","20:14:24.235","225.37"
"06/20/2021","20:14:30.932","225.62"
"06/20/2021","20:14:37.634","225.87"
"06/20/2021","20:14:44.332","226.14"
"06/20/2021","20:14:51.033","226.39"
"06/20/2021","20:14:57.730","226.66"
"06/20/2021","20:15:04.431","226.91"
"06/20/2021","20:15:11.132","227.15"
"06/20/2021","20:15:17.830","227.42"
"06/20/2021","20:15:24.533","227.67"
"06/20/2021","20:15:31.228","227.94"
"06/20/2021","20:15:37.928","228.19"
"06/20/2021","20:15:44.630","228.43"
"06/20/2021","20:15:51.326","228.7"
"06/20/2021","20:15:58.025","228.94"
"06/20/2021","20:16:04.727","229.21"
"06/20/2021","20:16:11.425","229.45"
"06/20/2021","20:16:18.129","229.7"
"06/20/2021","20:16:24.825","229.96"
"06/20/2021","20:16:31.523","230.21"
"06/20/2021","20:16:38.222","230.47"
"06/20/2021","20:16:44.921","230.72"
"06/20/2021","20:16:51.624","230.96"
"06/20/2021","20:16:58.320","231.23"
"06/20/2021","20:17:05.022","231.48"
"06/20/2021","20:17:11.720","231.74"
"06/20/2021","20:17:18.419","231.99"
"06/20/2021","20:17:25.124","232.24"
"06/20/2021","20:17:31.820","232.5"
"06/20/2021","20:17:38.519","232.75"
"06/20/2021","20:17:45.219","233"
"06/20/2021","20:17:51.916","233.26"
"06/20/2021","20:17:58.621","233.5"
"06/20/2021","20:18:05.317","233.77"
"06/20/2021","20:18:12.017","234.01"
"06/20/2021","20:18:18.714","234.26"
"06/20/2021","20:18:25.417","234.52"
"06/20/2021","20:18:32.120","234.76"
"06/20/2021","20:18:38.815","235.02"
"06/20/2021","20:18:45.513","235.27"
"06/20/2021","20:18:52.211","235.51"
"06/20/2021","20:18:58.911","235.77"
"06/20/2021","20:19:05.620","236.01"
"06/20/2021","20:19:12.312","236.27"
"06/20/2021","20:19:19.015","236.51"
"06/20/2021","20:19:25.712","236.75"
"06/20/2021","20:19:32.412","237.01"
"06/20/2021","20:19:39.114","237.26"
"06/20/2021","20:19:45.811","237.52"
"06/20/2021","20:19:52.512","237.76"
"06/20/2021","20:19:59.211","238"
"06/20/2021","20:20:05.909","238.26"
"06/20/2021","20:20:12.617","238.5"
"06/20/2021","20:20:19.308","238.76"
"06/20/2021","20:20:26.009","239"
"06/20/2021","20:20:32.708","239.24"
"06/20/2021","20:20:39.407","239.5"
"06/20/2021","20:20:46.114","239.74"
"06/20/2021","20:20:52.805","240"
"06/20/2021","20:20:59.504","240.24"
"06/20/2021","20:21:06.204","240.48"
"06/20/2021","20:21:12.904","240.73"
"06/20/2021","20:21:19.612","240.97"
"06/20/2021","20:21:26.303","241.23"
"06/20/2021","20:21:33.003","241.47"
"06/20/2021","20:21:39.705","241.71"
"06/20/2021","20:21:46.400","241.97"
"06/20/2021","20:21:53.105","242.21"
"06/20/2021","20:21:59.799","242.47"
"06/20/2021","20:22:06.499","242.71"
"06/20/2021","20:22:13.203","242.95"
"06/20/2021","20:22:19.899","243.2"
"06/20/2021","20:22:26.596","243.44"
"06/20/2021","20:22:33.296","243.7"
"06/20/2021","20:22:39.995","243.94"
"06/20/2021","20:22:46.701","244.17"
"06/20/2021","20:22:53.395","244.43"
"06/20/2021","20:23:00.096","244.66"
"06/20/2021","20:23:06.795","244.92"
"06/20/2021","20:23:13.495","245.15"
"06/20/2021","20:23:20.199","245.39"
"06/20/2021","20:23:26.893","245.64"
"06/20/2021","20:23:33.594","245.88"
"06/20/2021","20:23:40.293","246.12"
"06/20/2021","20:23:46.992","246.37"
"06/20/2021","20:23:53.698","246.6"
"06/20/2021","20:24:00.391","246.86"
"06/20/2021","20:24:07.090","247.09"
"06/20/2021","20:24:13.790","247.33"
"06/20/2021","20:24:20.490","247.58"
"06/20/2021","20:24:27.196","247.81"
"06/20/2021","20:24:33.888","248.07"
"06/20/2021","20:24:40.588","248.3"
"06/20/2021","20:24:47.287","248.54"
"06/20/2021","20:24:53.986","248.79"
"06/20/2021","20:25:00.693","249.02"
"06/20/2021","20:25:07.386","249.28"
"06/20/2021","20:25:14.086","249.51"
"06/20/2021","20:25:20.786","249.74"
"06/20/2021","20:25:27.483","249.99"
"06/20/2021","20:25:34.189","250.21"
"06/20/2021","20:25:40.881","250.46"
"06/20/2021","20:25:47.583","250.68"
"06/20/2021","20:25:54.281","250.9"
"06/20/2021","20:26:00.982","251.13"
"06/20/2021","20:26:07.697","251.34"
"06/20/2021","20:26:14.382","251.57"
"06/20/2021","20:26:21.078","251.78"
"06/20/2021","20:26:27.788","251.99"
"06/20/2021","20:26:34.478","252.2"
"06/20/2021","20:26:41.182","252.4"
"06/20/2021","20:26:47.877","252.59"
"06/20/2021","20:26:54.577","252.8"
"06/20/2021","20:27:01.277","252.98"
"06/20/2021","20:27:07.976","253.18"
"06/20/2021","20:27:14.690","253.35"
"06/20/2021","20:27:21.376","253.53"
"06/20/2021","20:27:28.076","253.71"
"06/20/2021","20:27:34.780","253.87"
"06/20/2021","20:27:41.476","254.05"
"06/20/2021","20:27:48.178","254.2"
"06/20/2021","20:27:54.875","254.36"
"06/20/2021","20:28:01.574","254.52"
"06/20/2021","20:28:08.274","254.67"
"06/20/2021","20:28:14.975","254.83"
"06/20/2021","20:28:21.687","254.97"
"06/20/2021","20:28:28.373","255.11"
"06/20/2021","20:28:35.073","255.26"
