"Import help:"
"Comma-delimited data"
"First column is date: MDY"
"Decimal separator: ."
"Thousand separator: ,"
"","System:","3846 (1137337) [Titan Krios G3i (3.1)]"
"06/20/2021","16:53:41.298","109.32"
"06/20/2021","16:53:47.998","109.77"
"06/20/2021","16:53:54.699","110.18"
"06/20/2021","16:54:01.397","110.63"
"06/20/2021","16:54:08.095","111.05"
"06/20/2021","16:54:14.801","111.46"
"06/20/2021","16:54:21.497","111.9"
"06/20/2021","16:54:28.194","112.32"
"06/20/2021","16:54:34.896","112.76"
"06/20/2021","16:54:41.596","113.18"
"06/20/2021","16:54:48.293","113.59"
"06/20/2021","16:54:54.998","114.03"
"06/20/2021","16:55:01.691","114.44"
"06/20/2021","16:55:08.393","114.88"
"06/20/2021","16:55:15.090","115.29"
"06/20/2021","16:55:21.789","115.7"
"06/20/2021","16:55:28.489","116.14"
"06/20/2021","16:55:35.188","116.55"
"06/20/2021","16:55:41.889","116.99"
"06/20/2021","16:55:48.588","117.4"
"06/20/2021","16:55:55.286","117.8"
"06/20/2021","16:56:01.986","118.23"
"06/20/2021","16:56:08.685","118.63"
"06/20/2021","16:56:15.385","119.03"
"06/20/2021","16:56:22.085","119.45"
"06/20/2021","16:56:28.784","119.85"
"06/20/2021","16:56:35.484","120.27"
"06/20/2021","16:56:42.182","120.66"
"06/20/2021","16:56:48.882","121.05"
"06/20/2021","16:56:55.582","121.47"
"06/20/2021","16:57:02.281","121.87"
"06/20/2021","16:57:08.991","122.29"
"06/20/2021","16:57:15.679","122.68"
"06/20/2021","16:57:22.381","123.06"
"06/20/2021","16:57:29.078","123.48"
"06/20/2021","16:57:35.779","123.87"
"06/20/2021","16:57:42.485","124.28"
"06/20/2021","16:57:49.176","124.67"
"06/20/2021","16:57:55.876","125.05"
"06/20/2021","16:58:02.576","125.47"
"06/20/2021","16:58:09.292","125.85"
"06/20/2021","16:58:15.988","126.26"
"06/20/2021","16:58:22.683","126.65"
"06/20/2021","16:58:29.382","127.03"
"06/20/2021","16:58:36.080","127.44"
"06/20/2021","16:58:42.777","127.82"
"06/20/2021","16:58:49.473","128.22"
"06/20/2021","16:58:56.173","128.59"
"06/20/2021","16:59:02.886","128.96"
"06/20/2021","16:59:09.571","129.36"
"06/20/2021","16:59:16.274","129.73"
"06/20/2021","16:59:22.970","130.13"
"06/20/2021","16:59:29.680","130.5"
"06/20/2021","16:59:36.378","130.87"
"06/20/2021","16:59:43.070","131.26"
"06/20/2021","16:59:49.773","131.63"
"06/20/2021","16:59:56.468","132.03"
"06/20/2021","17:00:03.168","132.39"
"06/20/2021","17:00:09.868","132.76"
"06/20/2021","17:00:16.566","133.15"
"06/20/2021","17:00:23.266","133.52"
"06/20/2021","17:00:29.968","133.91"
"06/20/2021","17:00:36.664","134.27"
"06/20/2021","17:00:43.370","134.63"
"06/20/2021","17:00:50.063","135.02"
"06/20/2021","17:00:56.764","135.39"
"06/20/2021","17:01:03.464","135.75"
"06/20/2021","17:01:10.161","136.14"
"06/20/2021","17:01:16.865","136.5"
"06/20/2021","17:01:23.560","136.88"
"06/20/2021","17:01:30.272","137.24"
"06/20/2021","17:01:36.962","137.6"
"06/20/2021","17:01:43.665","137.98"
"06/20/2021","17:01:50.361","138.33"
"06/20/2021","17:01:57.058","138.71"
"06/20/2021","17:02:03.761","139.06"
"06/20/2021","17:02:10.461","139.41"
"06/20/2021","17:02:17.164","139.79"
"06/20/2021","17:02:23.863","140.13"
"06/20/2021","17:02:30.557","140.51"
"06/20/2021","17:02:37.259","140.86"
"06/20/2021","17:02:43.960","141.21"
"06/20/2021","17:02:50.661","141.58"
"06/20/2021","17:02:57.359","141.93"
"06/20/2021","17:03:04.056","142.3"
"06/20/2021","17:03:10.757","142.64"
"06/20/2021","17:03:17.459","142.99"
"06/20/2021","17:03:24.160","143.36"
"06/20/2021","17:03:30.855","143.71"
"06/20/2021","17:03:37.556","144.08"
"06/20/2021","17:03:44.252","144.42"
"06/20/2021","17:03:50.962","144.76"
"06/20/2021","17:03:57.658","145.13"
"06/20/2021","17:04:04.359","145.48"
"06/20/2021","17:04:11.050","145.84"
"06/20/2021","17:04:17.749","146.19"
"06/20/2021","17:04:24.449","146.53"
"06/20/2021","17:04:31.148","146.89"
"06/20/2021","17:04:37.847","147.24"
"06/20/2021","17:04:44.551","147.6"
"06/20/2021","17:04:51.253","147.94"
"06/20/2021","17:04:57.945","148.28"
"06/20/2021","17:05:04.646","148.63"
"06/20/2021","17:05:11.346","148.97"
"06/20/2021","17:05:18.045","149.33"
"06/20/2021","17:05:24.755","149.66"
"06/20/2021","17:05:31.454","149.99"
"06/20/2021","17:05:38.144","150.35"
"06/20/2021","17:05:44.845","150.68"
"06/20/2021","17:05:51.542","151.01"
"06/20/2021","17:05:58.241","151.36"
"06/20/2021","17:06:04.940","151.69"
"06/20/2021","17:06:11.641","152.05"
"06/20/2021","17:06:18.343","152.38"
"06/20/2021","17:06:25.038","152.7"
"06/20/2021","17:06:31.738","153.06"
"06/20/2021","17:06:38.443","153.39"
"06/20/2021","17:06:45.143","153.74"
"06/20/2021","17:06:51.840","154.07"
"06/20/2021","17:06:58.536","154.39"
"06/20/2021","17:07:05.236","154.75"
"06/20/2021","17:07:11.943","155.07"
"06/20/2021","17:07:18.633","155.42"
"06/20/2021","17:07:25.333","155.75"
"06/20/2021","17:07:32.032","156.07"
"06/20/2021","17:07:38.741","156.43"
"06/20/2021","17:07:45.434","156.75"
"06/20/2021","17:07:52.130","157.1"
"06/20/2021","17:07:58.830","157.42"
"06/20/2021","17:08:05.529","157.74"
"06/20/2021","17:08:12.235","158.09"
"06/20/2021","17:08:18.933","158.42"
"06/20/2021","17:08:25.627","158.76"
"06/20/2021","17:08:32.333","159.09"
"06/20/2021","17:08:39.033","159.41"
"06/20/2021","17:08:45.732","159.75"
"06/20/2021","17:08:52.431","160.06"
"06/20/2021","17:08:59.128","160.41"
"06/20/2021","17:09:05.831","160.72"
"06/20/2021","17:09:12.524","161.04"
"06/20/2021","17:09:19.224","161.38"
"06/20/2021","17:09:25.933","161.69"
"06/20/2021","17:09:32.627","162.03"
"06/20/2021","17:09:39.328","162.34"
"06/20/2021","17:09:46.026","162.66"
"06/20/2021","17:09:52.730","163"
"06/20/2021","17:09:59.419","163.31"
"06/20/2021","17:10:06.119","163.65"
"06/20/2021","17:10:12.817","163.96"
"06/20/2021","17:10:19.518","164.27"
"06/20/2021","17:10:26.216","164.61"
"06/20/2021","17:10:32.917","164.92"
"06/20/2021","17:10:39.621","165.24"
"06/20/2021","17:10:46.314","165.57"
"06/20/2021","17:10:53.020","165.88"
"06/20/2021","17:10:59.726","166.22"
"06/20/2021","17:11:06.412","166.53"
"06/20/2021","17:11:13.115","166.84"
"06/20/2021","17:11:19.812","167.17"
"06/20/2021","17:11:26.514","167.48"
"06/20/2021","17:11:33.212","167.81"
"06/20/2021","17:11:39.909","168.12"
"06/20/2021","17:11:46.613","168.43"
"06/20/2021","17:11:53.316","168.76"
"06/20/2021","17:12:00.008","169.07"
"06/20/2021","17:12:06.710","169.41"
"06/20/2021","17:12:13.412","169.71"
"06/20/2021","17:12:20.106","170.02"
"06/20/2021","17:12:26.808","170.35"
"06/20/2021","17:12:33.505","170.66"
"06/20/2021","17:12:40.213","170.99"
"06/20/2021","17:12:46.903","171.3"
"06/20/2021","17:12:53.613","171.6"
"06/20/2021","17:13:00.302","171.93"
"06/20/2021","17:13:07.010","172.23"
"06/20/2021","17:13:13.702","172.55"
"06/20/2021","17:13:20.401","172.85"
"06/20/2021","17:13:27.100","173.15"
"06/20/2021","17:13:33.809","173.48"
"06/20/2021","17:13:40.512","173.78"
"06/20/2021","17:13:47.206","174.1"
"06/20/2021","17:13:53.898","174.4"
"06/20/2021","17:14:00.609","174.7"
"06/20/2021","17:14:07.316","175.03"
"06/20/2021","17:14:14.015","175.32"
"06/20/2021","17:14:20.713","175.65"
"06/20/2021","17:14:27.411","175.95"
"06/20/2021","17:14:34.112","176.24"
"06/20/2021","17:14:40.816","176.57"
"06/20/2021","17:14:47.513","176.87"
"06/20/2021","17:14:54.209","177.16"
"06/20/2021","17:15:00.907","177.49"
"06/20/2021","17:15:07.625","177.78"
"06/20/2021","17:15:14.313","178.1"
"06/20/2021","17:15:21.014","178.4"
"06/20/2021","17:15:27.714","178.7"
"06/20/2021","17:15:34.408","179.02"
"06/20/2021","17:15:41.104","179.32"
"06/20/2021","17:15:47.809","179.64"
"06/20/2021","17:15:54.510","179.94"
"06/20/2021","17:16:01.206","180.23"
"06/20/2021","17:16:07.907","180.55"
"06/20/2021","17:16:14.617","180.85"
"06/20/2021","17:16:21.308","181.16"
"06/20/2021","17:16:28.009","181.46"
"06/20/2021","17:16:34.705","181.75"
"06/20/2021","17:16:41.403","182.07"
"06/20/2021","17:16:48.100","182.37"
"06/20/2021","17:16:54.806","182.69"
"06/20/2021","17:17:01.504","182.98"
"06/20/2021","17:17:08.197","183.28"
"06/20/2021","17:17:14.900","183.6"
"06/20/2021","17:17:21.603","183.89"
"06/20/2021","17:17:28.300","184.18"
"06/20/2021","17:17:35.001","184.5"
"06/20/2021","17:17:41.694","184.79"
"06/20/2021","17:17:48.398","185.1"
"06/20/2021","17:17:55.093","185.39"
"06/20/2021","17:18:01.793","185.68"
"06/20/2021","17:18:08.497","185.99"
"06/20/2021","17:18:15.193","186.28"
"06/20/2021","17:18:21.896","186.59"
"06/20/2021","17:18:28.592","186.88"
"06/20/2021","17:18:35.294","187.17"
"06/20/2021","17:18:41.996","187.48"
"06/20/2021","17:18:48.693","187.77"
"06/20/2021","17:18:55.396","188.08"
"06/20/2021","17:19:02.092","188.37"
"06/20/2021","17:19:08.791","188.66"
"06/20/2021","17:19:15.494","188.97"
"06/20/2021","17:19:22.190","189.25"
"06/20/2021","17:19:28.892","189.56"
"06/20/2021","17:19:35.594","189.85"
"06/20/2021","17:19:42.289","190.14"
"06/20/2021","17:19:48.993","190.44"
"06/20/2021","17:19:55.690","190.73"
"06/20/2021","17:20:02.391","191.04"
"06/20/2021","17:20:09.087","191.33"
"06/20/2021","17:20:15.795","191.61"
"06/20/2021","17:20:22.495","191.92"
"06/20/2021","17:20:29.187","192.2"
"06/20/2021","17:20:35.893","192.51"
"06/20/2021","17:20:42.582","192.8"
"06/20/2021","17:20:49.284","193.08"
"06/20/2021","17:20:55.984","193.39"
"06/20/2021","17:21:02.687","193.67"
"06/20/2021","17:21:09.386","193.98"
"06/20/2021","17:21:16.080","194.26"
"06/20/2021","17:21:22.780","194.55"
"06/20/2021","17:21:29.482","194.85"
"06/20/2021","17:21:36.187","195.14"
"06/20/2021","17:21:42.888","195.42"
"06/20/2021","17:21:49.577","195.73"
"06/20/2021","17:21:56.278","196.01"
"06/20/2021","17:22:02.973","196.32"
"06/20/2021","17:22:09.679","196.6"
"06/20/2021","17:22:16.378","196.88"
"06/20/2021","17:22:23.075","197.19"
"06/20/2021","17:22:29.784","197.47"
"06/20/2021","17:22:36.476","197.78"
"06/20/2021","17:22:43.173","198.06"
"06/20/2021","17:22:49.888","198.34"
"06/20/2021","17:22:56.572","198.64"
"06/20/2021","17:23:03.274","198.92"
"06/20/2021","17:23:09.973","199.22"
"06/20/2021","17:23:16.672","199.5"
"06/20/2021","17:23:23.373","199.78"
"06/20/2021","17:23:30.072","200.08"
"06/20/2021","17:23:36.770","200.36"
"06/20/2021","17:23:43.471","200.63"
"06/20/2021","17:23:50.168","200.93"
"06/20/2021","17:23:56.888","201.21"
"06/20/2021","17:24:03.566","201.51"
"06/20/2021","17:24:10.268","201.78"
"06/20/2021","17:24:16.969","202.06"
"06/20/2021","17:24:23.665","202.36"
"06/20/2021","17:24:30.367","202.64"
"06/20/2021","17:24:37.064","202.93"
"06/20/2021","17:24:43.764","203.21"
"06/20/2021","17:24:50.470","203.49"
"06/20/2021","17:24:57.164","203.79"
"06/20/2021","17:25:03.878","204.06"
"06/20/2021","17:25:10.561","204.36"
"06/20/2021","17:25:17.263","204.64"
"06/20/2021","17:25:23.964","204.91"
"06/20/2021","17:25:30.668","205.21"
"06/20/2021","17:25:37.365","205.49"
"06/20/2021","17:25:44.059","205.78"
"06/20/2021","17:25:50.762","206.06"
"06/20/2021","17:25:57.462","206.33"
"06/20/2021","17:26:04.160","206.63"
"06/20/2021","17:26:10.869","206.9"
"06/20/2021","17:26:17.555","207.2"
"06/20/2021","17:26:24.261","207.47"
"06/20/2021","17:26:30.961","207.75"
"06/20/2021","17:26:37.659","208.04"
"06/20/2021","17:26:44.356","208.32"
"06/20/2021","17:26:51.055","208.59"
"06/20/2021","17:26:57.763","208.89"
"06/20/2021","17:27:04.457","209.16"
"06/20/2021","17:27:11.157","209.46"
"06/20/2021","17:27:17.855","209.73"
"06/20/2021","17:27:24.552","210"
"06/20/2021","17:27:31.261","210.3"
"06/20/2021","17:27:37.957","210.57"
"06/20/2021","17:27:44.655","210.87"
"06/20/2021","17:27:51.351","211.14"
"06/20/2021","17:27:58.049","211.41"
"06/20/2021","17:28:04.756","211.71"
"06/20/2021","17:28:11.450","211.98"
"06/20/2021","17:28:18.153","212.27"
"06/20/2021","17:28:24.862","212.55"
"06/20/2021","17:28:31.549","212.82"
"06/20/2021","17:28:38.252","213.11"
"06/20/2021","17:28:44.951","213.38"
"06/20/2021","17:28:51.651","213.67"
"06/20/2021","17:28:58.347","213.94"
"06/20/2021","17:29:05.050","214.2"
"06/20/2021","17:29:11.756","214.49"
"06/20/2021","17:29:18.443","214.76"
"06/20/2021","17:29:25.147","215.03"
"06/20/2021","17:29:31.849","215.32"
"06/20/2021","17:29:38.543","215.59"
"06/20/2021","17:29:45.249","215.88"
"06/20/2021","17:29:51.947","216.14"
"06/20/2021","17:29:58.647","216.41"
"06/20/2021","17:30:05.345","216.7"
"06/20/2021","17:30:12.041","216.97"
"06/20/2021","17:30:18.756","217.25"
"06/20/2021","17:30:25.444","217.52"
"06/20/2021","17:30:32.146","217.79"
"06/20/2021","17:30:38.844","218.08"
"06/20/2021","17:30:45.541","218.34"
"06/20/2021","17:30:52.244","218.63"
"06/20/2021","17:30:58.940","218.9"
"06/20/2021","17:31:05.645","219.16"
"06/20/2021","17:31:12.341","219.45"
"06/20/2021","17:31:19.040","219.72"
"06/20/2021","17:31:25.754","220"
"06/20/2021","17:31:32.439","220.27"
"06/20/2021","17:31:39.144","220.54"
"06/20/2021","17:31:45.844","220.82"
"06/20/2021","17:31:52.542","221.09"
"06/20/2021","17:31:59.242","221.37"
"06/20/2021","17:32:05.938","221.64"
"06/20/2021","17:32:12.643","221.9"
"06/20/2021","17:32:19.337","222.19"
"06/20/2021","17:32:26.038","222.45"
"06/20/2021","17:32:32.761","222.74"
"06/20/2021","17:32:39.436","223"
"06/20/2021","17:32:46.139","223.27"
"06/20/2021","17:32:52.839","223.55"
"06/20/2021","17:32:59.535","223.81"
"06/20/2021","17:33:06.240","224.1"
"06/20/2021","17:33:12.934","224.36"
"06/20/2021","17:33:19.643","224.63"
"06/20/2021","17:33:26.335","224.91"
"06/20/2021","17:33:33.038","225.17"
"06/20/2021","17:33:39.753","225.44"
"06/20/2021","17:33:46.434","225.72"
"06/20/2021","17:33:53.134","225.98"
"06/20/2021","17:33:59.839","226.27"
"06/20/2021","17:34:06.528","226.53"
"06/20/2021","17:34:13.231","226.8"
"06/20/2021","17:34:19.931","227.08"
"06/20/2021","17:34:26.633","227.34"
"06/20/2021","17:34:33.335","227.62"
"06/20/2021","17:34:40.026","227.89"
"06/20/2021","17:34:46.753","228.15"
"06/20/2021","17:34:53.429","228.43"
"06/20/2021","17:35:00.137","228.69"
"06/20/2021","17:35:06.832","228.97"
"06/20/2021","17:35:13.525","229.23"
"06/20/2021","17:35:20.226","229.48"
"06/20/2021","17:35:26.936","229.77"
"06/20/2021","17:35:33.635","230.02"
"06/20/2021","17:35:40.328","230.3"
"06/20/2021","17:35:47.022","230.56"
"06/20/2021","17:35:53.735","230.82"
"06/20/2021","17:36:00.426","231.1"
"06/20/2021","17:36:07.119","231.36"
"06/20/2021","17:36:13.829","231.64"
"06/20/2021","17:36:20.524","231.9"
"06/20/2021","17:36:27.218","232.15"
"06/20/2021","17:36:33.922","232.43"
"06/20/2021","17:36:40.631","232.69"
"06/20/2021","17:36:47.321","232.95"
"06/20/2021","17:36:54.017","233.22"
"06/20/2021","17:37:00.721","233.48"
"06/20/2021","17:37:07.421","233.76"
"06/20/2021","17:37:14.117","234.02"
"06/20/2021","17:37:20.825","234.28"
"06/20/2021","17:37:27.516","234.55"
"06/20/2021","17:37:34.218","234.81"
"06/20/2021","17:37:40.917","235.09"
"06/20/2021","17:37:47.631","235.34"
"06/20/2021","17:37:54.314","235.6"
"06/20/2021","17:38:01.012","235.88"
"06/20/2021","17:38:07.725","236.14"
"06/20/2021","17:38:14.415","236.41"
"06/20/2021","17:38:21.111","236.67"
"06/20/2021","17:38:27.810","236.93"
"06/20/2021","17:38:34.517","237.2"
"06/20/2021","17:38:41.211","237.46"
"06/20/2021","17:38:47.913","237.74"
"06/20/2021","17:38:54.626","237.99"
"06/20/2021","17:39:01.309","238.25"
"06/20/2021","17:39:08.012","238.52"
"06/20/2021","17:39:14.709","238.78"
"06/20/2021","17:39:21.409","239.05"
"06/20/2021","17:39:28.106","239.31"
"06/20/2021","17:39:34.808","239.57"
"06/20/2021","17:39:41.504","239.84"
"06/20/2021","17:39:48.205","240.1"
"06/20/2021","17:39:54.902","240.37"
"06/20/2021","17:40:01.619","240.63"
"06/20/2021","17:40:08.307","240.88"
"06/20/2021","17:40:15.002","241.16"
"06/20/2021","17:40:21.704","241.42"
"06/20/2021","17:40:28.401","241.69"
"06/20/2021","17:40:35.103","241.95"
"06/20/2021","17:40:41.800","242.2"
"06/20/2021","17:40:48.499","242.48"
"06/20/2021","17:40:55.204","242.73"
"06/20/2021","17:41:01.899","242.99"
"06/20/2021","17:41:08.617","243.26"
"06/20/2021","17:41:15.300","243.52"
"06/20/2021","17:41:21.997","243.79"
"06/20/2021","17:41:28.702","244.04"
"06/20/2021","17:41:35.404","244.3"
"06/20/2021","17:41:42.095","244.57"
"06/20/2021","17:41:48.798","244.82"
"06/20/2021","17:41:55.494","245.09"
"06/20/2021","17:42:02.199","245.34"
"06/20/2021","17:42:08.895","245.59"
"06/20/2021","17:42:15.592","245.86"
"06/20/2021","17:42:22.294","246.11"
"06/20/2021","17:42:28.991","246.38"
"06/20/2021","17:42:35.698","246.63"
"06/20/2021","17:42:42.393","246.87"
"06/20/2021","17:42:49.090","247.13"
"06/20/2021","17:42:55.793","247.37"
"06/20/2021","17:43:02.488","247.62"
"06/20/2021","17:43:09.193","247.84"
"06/20/2021","17:43:15.889","248.06"
"06/20/2021","17:43:22.587","248.29"
"06/20/2021","17:43:29.288","248.5"
"06/20/2021","17:43:35.987","248.72"
"06/20/2021","17:43:42.687","248.92"
"06/20/2021","17:43:49.387","249.11"
"06/20/2021","17:43:56.091","249.31"
"06/20/2021","17:44:02.789","249.5"
"06/20/2021","17:44:09.483","249.69"
"06/20/2021","17:44:16.184","249.86"
"06/20/2021","17:44:22.887","250.03"
"06/20/2021","17:44:29.583","250.21"
"06/20/2021","17:44:36.288","250.37"
"06/20/2021","17:44:42.982","250.53"
"06/20/2021","17:44:49.681","250.69"
"06/20/2021","17:44:56.384","250.84"
"06/20/2021","17:45:03.079","251"
"06/20/2021","17:45:09.784","251.15"
"06/20/2021","17:45:16.478","251.29"
"06/20/2021","17:45:23.181","251.43"
"06/20/2021","17:45:29.890","251.57"
"06/20/2021","17:45:36.585","251.71"
"06/20/2021","17:45:43.281","251.85"
"06/20/2021","17:45:49.977","251.98"
"06/20/2021","17:45:56.676","252.12"
"06/20/2021","17:46:03.376","252.24"
"06/20/2021","17:46:10.074","252.37"
"06/20/2021","17:46:16.780","252.49"
"06/20/2021","17:46:23.474","252.61"
"06/20/2021","17:46:30.175","252.74"
"06/20/2021","17:46:36.892","252.86"
"06/20/2021","17:46:43.575","252.98"
"06/20/2021","17:46:50.276","253.1"
"06/20/2021","17:46:56.973","253.21"
"06/20/2021","17:47:03.669","253.33"
"06/20/2021","17:47:10.372","253.44"
"06/20/2021","17:47:17.067","253.56"
"06/20/2021","17:47:23.768","253.67"
"06/20/2021","17:47:30.465","253.78"
"06/20/2021","17:47:37.171","253.89"
"06/20/2021","17:47:43.887","254"
"06/20/2021","17:47:50.565","254.11"
"06/20/2021","17:47:57.267","254.22"
"06/20/2021","17:48:03.964","254.33"
"06/20/2021","17:48:10.672","254.44"
"06/20/2021","17:48:24.062","254.65"
"06/20/2021","17:48:30.776","254.76"
"06/20/2021","17:48:37.465","254.86"
"06/20/2021","17:48:44.168","254.97"
"06/20/2021","17:48:50.877","255.08"
"06/20/2021","17:49:04.260","255.29"
"06/20/2021","17:49:17.660","255.5"
"06/20/2021","17:49:31.056","255.7"
"06/20/2021","17:49:37.772","255.81"
"06/20/2021","17:49:51.156","256.02"
"06/20/2021","17:49:57.863","256.12"
"06/20/2021","17:50:04.554","256.22"
"06/20/2021","17:50:11.251","256.33"
"06/20/2021","17:50:17.953","256.43"
