"Import help:"
"Comma-delimited data"
"First column is date: MDY"
"Decimal separator: ."
"Thousand separator: ,"
"","System:","3663 (1063996) [Titan Krios G2]","3663 (1063996) [Titan Krios G2]"
"06/14/2021","11:18:05.457","80742.017",""
"06/14/2021","11:18:06.504","46974.741",""
"06/14/2021","11:20:01.394","80742.017",""
"06/14/2021","11:20:35.762","","Open (2)"
"06/14/2021","11:20:42.121","-1",""
"06/14/2021","11:21:03.072","80742.017",""
"06/14/2021","11:27:47.509","102611.634",""
"06/14/2021","11:40:03.886","3638.589",""
"06/14/2021","11:41:18.069","2259.761",""
"06/14/2021","11:41:42.082","938.645",""
"06/14/2021","11:43:41.973","3638.589",""
"06/14/2021","11:44:25.998","938.645",""
"06/14/2021","11:44:47.983","3638.589",""
"06/14/2021","11:45:50.702","102611.634",""
"06/14/2021","11:58:37.571","1527.128",""
"06/14/2021","11:59:14.384","3638.589",""
"06/14/2021","12:00:48.988","2259.761",""
"06/14/2021","12:01:03.706","938.645",""
"06/14/2021","12:01:57.552","1527.128",""
"06/14/2021","12:02:39.786","102611.634",""
"06/14/2021","12:02:53.898","","Close (1)"
"06/14/2021","12:08:18.063","1527.128",""
"06/14/2021","12:08:28.522","","Open (2)"
"06/14/2021","12:08:58.031","938.645",""
"06/14/2021","12:10:19.226","3638.589",""
"06/14/2021","12:11:18.865","938.645",""
"06/14/2021","12:12:06.196","3638.589",""
"06/14/2021","12:13:19.794","938.645",""
"06/14/2021","12:13:54.399","3638.589",""
"06/14/2021","12:14:51.572","1527.128",""
"06/14/2021","12:22:27.425","102611.634",""
"06/14/2021","12:22:40.350","","Close (1)"
"06/14/2021","12:59:14.742","938.645",""
"06/14/2021","13:00:35.828","","Open (2)"
"06/14/2021","13:01:33.586","3638.589",""
"06/14/2021","13:02:18.876","938.645",""
"06/14/2021","13:02:37.183","3638.589",""
"06/14/2021","13:07:08.278","2259.761",""
"06/14/2021","13:08:33.434","938.645",""
"06/14/2021","13:09:09.794","3638.589",""
"06/14/2021","13:09:52.516","2259.761",""
"06/14/2021","13:11:41.164","3638.589",""
"06/14/2021","13:18:57.374","102611.634",""
"06/14/2021","13:25:22.244","2259.761",""
"06/14/2021","13:26:44.501","3638.589",""
"06/14/2021","13:27:32.306","2259.761",""
"06/14/2021","13:27:52.258","102611.634",""
"06/14/2021","13:28:09.960","2259.761",""
"06/14/2021","13:28:39.389","102611.634",""
"06/14/2021","13:31:45.429","2259.761",""
"06/14/2021","13:36:59.897","3638.589",""
"06/14/2021","13:37:44.578","2259.761",""
"06/14/2021","13:47:03.044","3638.589",""
"06/14/2021","14:09:30.341","102611.634",""
"06/14/2021","14:13:01.674","2259.761",""
"06/14/2021","14:13:58.258","3638.589",""
"06/14/2021","14:14:48.067","2259.761",""
"06/14/2021","14:15:25.457","3638.589",""
"06/14/2021","14:16:14.227","102611.634",""
"06/14/2021","14:20:43.309","","Close (1)"
"06/14/2021","14:25:51.824","1527.128",""
"06/14/2021","14:26:01.758","","Open (2)"
"06/14/2021","14:26:21.673","2259.761",""
"06/14/2021","14:28:17.930","3638.589",""
"06/14/2021","14:29:12.743","2259.761",""
"06/14/2021","14:29:47.739","3638.589",""
"06/14/2021","14:32:00.868","1527.128",""
"06/14/2021","14:39:35.969","102611.634",""
"06/14/2021","14:39:46.157","","Close (1)"
"06/14/2021","14:41:56.899","2259.761",""
"06/14/2021","14:43:08.958","","Open (2)"
"06/14/2021","14:44:14.321","3638.589",""
"06/14/2021","14:45:03.568","2259.761",""
"06/14/2021","14:47:28.409","3638.589",""
"06/14/2021","14:48:12.027","2259.761",""
"06/14/2021","14:49:17.717","3638.589",""
"06/14/2021","14:50:00.889","2259.761",""
"06/14/2021","14:51:05.424","3638.589",""
"06/14/2021","14:51:48.768","2259.761",""
"06/14/2021","14:52:33.826","3638.589",""
"06/14/2021","15:01:18.425","102611.634",""
"06/14/2021","15:07:09.934","3638.589",""
"06/14/2021","15:12:10.285","102611.634",""
"06/14/2021","15:17:16.689","3638.589",""
"06/14/2021","15:38:47.657","2259.761",""
"06/14/2021","15:44:25.695","3638.589",""
"06/14/2021","15:45:08.619","2259.761",""
"06/14/2021","15:47:01.781","3638.589",""
"06/14/2021","15:49:29.988","102611.634",""
"06/14/2021","15:51:13.300","3638.589",""
"06/14/2021","15:51:29.108","102611.634",""
"06/14/2021","15:54:55.593","2259.761",""
"06/14/2021","15:55:11.006","3638.589",""
"06/14/2021","15:55:56.749","102611.634",""
"06/14/2021","15:56:18.599","-1",""
"06/14/2021","15:56:24.890","102611.634",""
"06/14/2021","15:56:48.997","2259.761",""
"06/14/2021","15:57:29.340","102611.634",""
"06/14/2021","16:21:44.441","3638.589",""
"06/14/2021","16:22:03.792","102611.634",""
"06/14/2021","16:23:34.512","2259.761",""
"06/14/2021","16:23:50.323","3638.589",""
"06/14/2021","16:25:09.117","102611.634",""
"06/14/2021","16:29:41.554","3638.589",""
"06/14/2021","16:41:28.723","2259.761",""
"06/14/2021","16:56:27.546","3638.589",""
"06/14/2021","16:57:03.073","2259.761",""
"06/14/2021","16:58:16.854","3638.589",""
"06/14/2021","16:58:58.860","2259.761",""
"06/14/2021","17:00:02.235","3638.589",""
"06/14/2021","17:00:41.242","2259.761",""
"06/14/2021","17:01:52.953","3638.589",""
"06/14/2021","17:02:32.210","2259.761",""
"06/14/2021","17:03:36.034","3638.589",""
"06/14/2021","17:04:17.739","2259.761",""
"06/14/2021","17:05:29.926","3638.589",""
"06/14/2021","17:06:07.988","2259.761",""
"06/14/2021","17:07:16.585","3638.589",""
"06/14/2021","17:07:59.825","2259.761",""
"06/14/2021","17:09:09.980","3638.589",""
"06/14/2021","17:09:52.218","2259.761",""
"06/14/2021","17:11:01.917","3638.589",""
"06/14/2021","17:11:40.959","2259.761",""
"06/14/2021","17:12:56.687","3638.589",""
"06/14/2021","17:13:39.328","2259.761",""
"06/14/2021","17:14:45.162","3638.589",""
"06/14/2021","17:15:27.634","2259.761",""
"06/14/2021","17:16:38.847","3638.589",""
"06/14/2021","17:17:18.041","2259.761",""
"06/14/2021","17:18:24.795","3638.589",""
"06/14/2021","17:19:11.404","2259.761",""
"06/14/2021","17:20:26.164","3638.589",""
"06/14/2021","17:21:09.301","2259.761",""
"06/14/2021","17:22:13.263","3638.589",""
"06/14/2021","17:22:52.142","2259.761",""
"06/14/2021","17:24:01.345","3638.589",""
"06/14/2021","17:24:42.014","2259.761",""
"06/14/2021","17:25:41.811","3638.589",""
"06/14/2021","17:26:25.306","2259.761",""
"06/14/2021","17:27:26.849","3638.589",""
"06/14/2021","17:28:10.160","2259.761",""
"06/14/2021","17:29:19.963","3638.589",""
"06/14/2021","17:29:59.769","2259.761",""
"06/14/2021","17:31:10.545","3638.589",""
"06/14/2021","17:31:46.863","2259.761",""
"06/14/2021","17:32:55.536","3638.589",""
"06/14/2021","17:33:39.365","2259.761",""
"06/14/2021","17:34:39.775","3638.589",""
"06/14/2021","17:35:19.655","2259.761",""
"06/14/2021","17:36:29.796","3638.589",""
"06/14/2021","17:37:10.054","2259.761",""
"06/14/2021","17:38:20.264","3638.589",""
"06/14/2021","17:38:59.247","2259.761",""
"06/14/2021","17:40:11.836","3638.589",""
"06/14/2021","17:40:55.688","2259.761",""
"06/14/2021","17:42:08.075","3638.589",""
"06/14/2021","17:42:48.267","2259.761",""
"06/14/2021","17:43:59.814","3638.589",""
"06/14/2021","17:44:43.997","2259.761",""
"06/14/2021","17:45:53.333","3638.589",""
"06/14/2021","17:46:35.879","2259.761",""
"06/14/2021","17:47:41.319","3638.589",""
"06/14/2021","17:48:22.025","2259.761",""
"06/14/2021","17:49:30.201","3638.589",""
"06/14/2021","17:50:09.850","2259.761",""
"06/14/2021","17:51:19.202","3638.589",""
"06/14/2021","17:51:58.499","2259.761",""
"06/14/2021","17:53:06.146","3638.589",""
"06/14/2021","17:53:45.762","2259.761",""
"06/14/2021","17:54:52.148","3638.589",""
"06/14/2021","17:55:38.675","2259.761",""
"06/14/2021","17:56:47.542","3638.589",""
"06/14/2021","17:57:24.129","2259.761",""
"06/14/2021","17:58:32.680","3638.589",""
"06/14/2021","17:59:13.202","2259.761",""
"06/14/2021","18:00:20.467","3638.589",""
"06/14/2021","18:01:08.240","2259.761",""
"06/14/2021","18:02:16.337","3638.589",""
"06/14/2021","18:03:00.368","2259.761",""
"06/14/2021","18:04:04.092","3638.589",""
"06/14/2021","18:04:51.697","2259.761",""
"06/14/2021","18:06:02.292","3638.589",""
"06/14/2021","18:06:45.547","2259.761",""
"06/14/2021","18:07:51.878","3638.589",""
"06/14/2021","18:08:38.666","2259.761",""
"06/14/2021","18:09:40.177","3638.589",""
"06/14/2021","18:10:26.869","2259.761",""
"06/14/2021","18:11:36.060","3638.589",""
"06/14/2021","18:12:19.716","2259.761",""
"06/14/2021","18:13:26.294","3638.589",""
"06/14/2021","18:14:09.881","2259.761",""
"06/14/2021","18:15:26.776","3638.589",""
"06/14/2021","18:16:11.244","2259.761",""
"06/14/2021","18:17:24.730","3638.589",""
"06/14/2021","18:18:09.047","2259.761",""
"06/14/2021","18:19:20.169","3638.589",""
"06/14/2021","18:20:04.641","2259.761",""
"06/14/2021","18:21:18.695","3638.589",""
"06/14/2021","18:22:02.902","2259.761",""
"06/14/2021","18:23:10.298","3638.589",""
"06/14/2021","18:23:54.774","2259.761",""
"06/14/2021","18:25:06.647","3638.589",""
"06/14/2021","18:25:47.444","2259.761",""
"06/14/2021","18:26:54.405","3638.589",""
"06/14/2021","18:27:38.481","2259.761",""
"06/14/2021","18:28:50.944","3638.589",""
"06/14/2021","18:29:38.462","2259.761",""
"06/14/2021","18:30:51.741","3638.589",""
"06/14/2021","18:31:28.779","2259.761",""
"06/14/2021","18:32:44.340","3638.589",""
"06/14/2021","18:33:25.262","2259.761",""
"06/14/2021","18:34:34.423","3638.589",""
"06/14/2021","18:40:22.055","102611.634",""
"06/14/2021","18:42:16.912","3638.589",""
"06/14/2021","18:42:34.638","102611.634",""
"06/14/2021","18:43:52.473","938.645",""
"06/14/2021","18:44:44.410","3638.589",""
"06/14/2021","18:45:03.224","102611.634",""
"06/14/2021","18:46:42.543","3638.589",""
"06/14/2021","18:46:58.628","102611.634",""
"06/14/2021","18:49:07.592","3638.589",""
"06/14/2021","18:49:24.021","102611.634",""
"06/14/2021","18:52:00.870","2259.761",""
"06/14/2021","18:52:23.862","3638.589",""
"06/14/2021","18:59:32.040","102611.634",""
"06/14/2021","19:02:08.278","3638.589",""
"06/14/2021","19:05:28.192","102611.634",""
"06/14/2021","19:07:24.757","3638.589",""
"06/14/2021","19:17:34.841","102611.634",""
"06/14/2021","19:20:11.202","3638.589",""
"06/14/2021","19:20:49.014","102611.634",""
"06/14/2021","19:24:21.439","2259.761",""
"06/14/2021","19:24:41.828","3638.589",""
"06/14/2021","19:29:17.064","102611.634",""
"06/14/2021","19:32:20.434","3638.589",""
"06/14/2021","19:33:07.126","102611.634",""
"06/14/2021","19:36:22.199","3638.589",""
"06/14/2021","19:37:05.236","102611.634",""
"06/14/2021","19:39:03.138","3638.589",""
"06/14/2021","19:43:36.663","102611.634",""
"06/14/2021","19:46:57.772","2259.761",""
"06/14/2021","19:47:18.816","3638.589",""
"06/14/2021","19:48:44.903","102611.634",""
"06/14/2021","19:50:30.856","3638.589",""
"06/14/2021","19:50:46.835","102611.634",""
"06/14/2021","19:53:17.282","2259.761",""
"06/14/2021","19:53:36.509","3638.589",""
"06/14/2021","20:01:01.177","102611.634",""
"06/14/2021","20:03:52.580","3638.589",""
"06/14/2021","20:13:32.482","102611.634",""
"06/14/2021","20:16:38.116","3638.589",""
"06/14/2021","20:40:13.924","102611.634",""
"06/14/2021","20:43:26.040","2259.761",""
"06/14/2021","20:43:44.062","3638.589",""
"06/14/2021","20:43:59.988","102611.634",""
"06/14/2021","20:46:50.170","3638.589",""
"06/14/2021","20:47:07.780","102611.634",""
"06/14/2021","20:51:02.933","3638.589",""
"06/14/2021","20:51:19.298","102611.634",""
"06/14/2021","20:52:17.732","2259.761",""
"06/14/2021","20:52:37.104","3638.589",""
"06/14/2021","20:52:53.369","102611.634",""
"06/14/2021","20:55:44.834","3638.589",""
"06/14/2021","20:56:02.701","102611.634",""
"06/14/2021","20:58:46.294","2259.761",""
"06/14/2021","20:59:07.118","3638.589",""
"06/14/2021","20:59:23.156","102611.634",""
"06/14/2021","21:02:13.113","3638.589",""
"06/14/2021","21:02:30.167","102611.634",""
"06/14/2021","21:06:12.847","3638.589",""
"06/14/2021","21:06:30.536","102611.634",""
"06/14/2021","21:09:46.905","3638.589",""
"06/14/2021","21:10:03.817","102611.634",""
"06/14/2021","21:12:07.074","2259.761",""
"06/14/2021","21:12:24.073","3638.589",""
"06/14/2021","21:12:43.628","102611.634",""
"06/14/2021","21:15:46.772","3638.589",""
"06/14/2021","21:16:04.223","102611.634",""
"06/14/2021","21:19:21.139","3638.589",""
"06/14/2021","21:19:38.895","102611.634",""
"06/14/2021","21:21:37.514","3638.589",""
"06/14/2021","21:21:55.451","102611.634",""
"06/14/2021","21:24:55.143","2259.761",""
"06/14/2021","21:25:12.487","3638.589",""
"06/14/2021","21:25:27.396","102611.634",""
"06/14/2021","21:27:14.532","3638.589",""
"06/14/2021","21:27:32.491","102611.634",""
"06/14/2021","21:29:38.788","2259.761",""
"06/14/2021","21:29:56.158","3638.589",""
"06/14/2021","21:30:11.987","102611.634",""
"06/14/2021","21:31:43.404","3638.589",""
"06/14/2021","21:32:00.822","102611.634",""
"06/14/2021","21:33:58.933","3638.589",""
"06/14/2021","21:34:16.805","102611.634",""
"06/14/2021","21:37:08.009","3638.589",""
"06/14/2021","21:37:25.616","102611.634",""
"06/14/2021","21:39:56.003","2259.761",""
"06/14/2021","21:40:13.316","3638.589",""
"06/14/2021","21:40:32.705","102611.634",""
"06/14/2021","21:42:19.655","3638.589",""
"06/14/2021","21:42:36.889","102611.634",""
"06/14/2021","21:45:15.182","3638.589",""
"06/14/2021","21:45:32.868","102611.634",""
"06/14/2021","21:47:30.601","3638.589",""
"06/14/2021","21:47:47.753","102611.634",""
"06/14/2021","21:49:28.940","2259.761",""
"06/14/2021","21:49:49.047","3638.589",""
"06/14/2021","21:50:04.949","102611.634",""
"06/14/2021","21:51:50.987","3638.589",""
"06/14/2021","21:52:06.973","102611.634",""
"06/14/2021","21:54:15.754","2259.761",""
"06/14/2021","21:54:31.193","3638.589",""
"06/14/2021","21:54:46.810","102611.634",""
"06/14/2021","21:57:49.967","3638.589",""
"06/14/2021","21:58:07.470","102611.634",""
"06/14/2021","22:01:25.226","3638.589",""
"06/14/2021","22:01:42.209","102611.634",""
"06/14/2021","22:03:46.666","2259.761",""
"06/14/2021","22:04:05.749","3638.589",""
"06/14/2021","22:04:25.053","102611.634",""
"06/14/2021","22:06:48.489","3638.589",""
"06/14/2021","22:07:05.288","102611.634",""
"06/14/2021","22:09:54.471","3638.589",""
"06/14/2021","22:10:12.243","102611.634",""
"06/14/2021","22:13:03.225","3638.589",""
"06/14/2021","22:13:20.180","102611.634",""
"06/14/2021","22:16:16.719","2259.761",""
"06/14/2021","22:16:35.933","3638.589",""
"06/14/2021","22:16:55.658","102611.634",""
"06/14/2021","22:19:22.100","3638.589",""
"06/14/2021","22:19:39.186","102611.634",""
"06/14/2021","22:22:45.278","3638.589",""
"06/14/2021","22:23:03.099","102611.634",""
"06/14/2021","22:26:09.895","3638.589",""
"06/14/2021","22:26:40.525","102611.634",""
"06/14/2021","22:29:51.015","2259.761",""
"06/14/2021","22:30:13.319","3638.589",""
"06/14/2021","22:30:29.257","102611.634",""
"06/14/2021","22:32:27.611","3638.589",""
"06/14/2021","22:32:45.141","102611.634",""
"06/14/2021","22:34:31.257","3638.589",""
"06/14/2021","22:35:52.511","102611.634",""
"06/14/2021","22:38:02.376","3638.589",""
"06/14/2021","22:39:46.332","102611.634",""
"06/14/2021","22:43:36.540","2259.761",""
"06/14/2021","22:43:59.472","3638.589",""
"06/14/2021","22:44:19.004","102611.634",""
"06/14/2021","22:45:50.973","3638.589",""
"06/14/2021","22:46:09.019","102611.634",""
"06/14/2021","22:47:17.008","3638.589",""
"06/14/2021","22:47:33.890","102611.634",""
"06/14/2021","22:48:53.527","3638.589",""
"06/14/2021","22:49:11.673","102611.634",""
"06/14/2021","22:50:35.433","2259.761",""
"06/14/2021","22:50:52.648","3638.589",""
"06/14/2021","22:51:22.342","102611.634",""
"06/14/2021","22:53:05.465","3638.589",""
"06/14/2021","22:53:21.240","102611.634",""
"06/14/2021","22:55:54.684","2259.761",""
"06/14/2021","22:56:10.038","3638.589",""
"06/14/2021","22:56:25.221","102611.634",""
"06/14/2021","22:57:44.692","3638.589",""
"06/14/2021","22:58:01.457","102611.634",""
"06/14/2021","22:59:42.110","2259.761",""
"06/14/2021","22:59:56.537","3638.589",""
"06/14/2021","23:00:15.199","102611.634",""
"06/14/2021","23:01:46.978","3638.589",""
"06/14/2021","23:02:04.069","102611.634",""
"06/14/2021","23:03:22.673","3638.589",""
"06/14/2021","23:03:40.325","102611.634",""
"06/14/2021","23:05:25.887","3638.589",""
"06/14/2021","23:05:43.489","102611.634",""
"06/14/2021","23:08:00.677","2259.761",""
"06/14/2021","23:08:17.694","3638.589",""
"06/14/2021","23:08:36.966","102611.634",""
"06/14/2021","23:11:13.068","3638.589",""
"06/14/2021","23:11:30.475","102611.634",""
"06/14/2021","23:13:14.981","3638.589",""
"06/14/2021","23:13:32.562","102611.634",""
"06/14/2021","23:16:34.036","3638.589",""
"06/14/2021","23:16:51.836","102611.634",""
"06/14/2021","23:18:14.581","2259.761",""
"06/14/2021","23:18:32.454","3638.589",""
"06/14/2021","23:18:51.348","102611.634",""
"06/14/2021","23:21:14.535","3638.589",""
"06/14/2021","23:21:31.984","102611.634",""
"06/14/2021","23:22:23.638","3638.589",""
"06/14/2021","23:22:42.116","102611.634",""
"06/14/2021","23:23:47.768","3638.589",""
"06/14/2021","23:24:05.565","102611.634",""
"06/14/2021","23:25:28.641","2259.761",""
"06/14/2021","23:25:51.713","3638.589",""
"06/14/2021","23:26:11.107","102611.634",""
"06/14/2021","23:27:55.666","3638.589",""
"06/14/2021","23:28:12.958","102611.634",""
"06/14/2021","23:30:29.464","3638.589",""
"06/14/2021","23:34:23.636","102611.634",""
"06/14/2021","23:37:26.440","3638.589",""
"06/14/2021","23:39:14.875","102611.634",""
"06/14/2021","23:41:57.075","2259.761",""
"06/14/2021","23:42:17.450","3638.589",""
"06/14/2021","23:42:40.859","102611.634",""
"06/14/2021","23:45:17.432","3638.589",""
"06/14/2021","23:47:33.200","102611.634",""
"06/14/2021","23:50:14.697","2259.761",""
"06/14/2021","23:50:33.005","3638.589",""
"06/14/2021","23:58:04.904","102611.634",""
"06/14/2021","23:59:51.374","3638.589",""
"06/15/2021","00:00:07.281","102611.634",""
"06/15/2021","00:02:11.751","2259.761",""
"06/15/2021","00:02:27.366","3638.589",""
"06/15/2021","00:02:59.408","102611.634",""
"06/15/2021","00:06:01.410","3638.589",""
"06/15/2021","00:06:18.795","102611.634",""
"06/15/2021","00:08:20.878","2259.761",""
"06/15/2021","00:08:42.786","3638.589",""
"06/15/2021","00:08:58.400","102611.634",""
"06/15/2021","00:11:08.301","3638.589",""
"06/15/2021","00:11:25.266","102611.634",""
"06/15/2021","00:13:48.615","3638.589",""
"06/15/2021","00:14:05.756","102611.634",""
"06/15/2021","00:16:28.838","3638.589",""
"06/15/2021","00:16:45.774","102611.634",""
"06/15/2021","00:18:39.737","2259.761",""
"06/15/2021","00:19:02.099","3638.589",""
"06/15/2021","00:19:18.329","102611.634",""
"06/15/2021","00:21:55.599","3638.589",""
"06/15/2021","00:22:13.112","102611.634",""
"06/15/2021","00:24:22.347","3638.589",""
"06/15/2021","00:24:39.855","102611.634",""
"06/15/2021","00:27:02.620","3638.589",""
"06/15/2021","00:27:20.069","102611.634",""
"06/15/2021","00:29:37.804","2259.761",""
"06/15/2021","00:29:51.328","3638.589",""
"06/15/2021","00:30:10.687","102611.634",""
"06/15/2021","00:32:07.298","3638.589",""
"06/15/2021","00:32:24.299","102611.634",""
"06/15/2021","00:34:59.770","3638.589",""
"06/15/2021","00:35:17.388","102611.634",""
"06/15/2021","00:37:40.076","3638.589",""
"06/15/2021","00:37:56.976","102611.634",""
"06/15/2021","00:40:39.829","2259.761",""
"06/15/2021","00:41:01.970","3638.589",""
"06/15/2021","00:41:21.354","102611.634",""
"06/15/2021","00:43:31.245","3638.589",""
"06/15/2021","00:43:48.227","102611.634",""
"06/15/2021","00:45:58.054","3638.589",""
"06/15/2021","00:46:16.025","102611.634",""
"06/15/2021","00:48:13.710","3638.589",""
"06/15/2021","00:48:30.966","102611.634",""
"06/15/2021","00:50:32.799","2259.761",""
"06/15/2021","00:50:50.960","3638.589",""
"06/15/2021","00:51:09.739","102611.634",""
"06/15/2021","00:53:33.927","3638.589",""
"06/15/2021","00:53:51.212","102611.634",""
"06/15/2021","00:56:35.603","2259.761",""
"06/15/2021","00:56:52.812","3638.589",""
"06/15/2021","00:57:08.403","102611.634",""
"06/15/2021","01:00:06.443","3638.589",""
"06/15/2021","01:00:22.247","102611.634",""
"06/15/2021","01:01:07.627","2259.761",""
"06/15/2021","01:01:23.202","3638.589",""
"06/15/2021","01:01:42.272","102611.634",""
"06/15/2021","01:05:25.655","3638.589",""
"06/15/2021","01:05:43.342","102611.634",""
"06/15/2021","01:09:30.129","3638.589",""
"06/15/2021","01:09:47.834","102611.634",""
"06/15/2021","01:13:29.016","2259.761",""
"06/15/2021","01:13:53.103","3638.589",""
"06/15/2021","01:14:08.775","102611.634",""
"06/15/2021","01:17:17.093","3638.589",""
"06/15/2021","01:17:34.156","102611.634",""
"06/15/2021","01:20:37.260","3638.589",""
"06/15/2021","01:20:55.408","102611.634",""
"06/15/2021","01:23:58.338","3638.589",""
"06/15/2021","01:24:15.298","102611.634",""
"06/15/2021","01:25:49.922","2259.761",""
"06/15/2021","01:26:11.916","3638.589",""
"06/15/2021","01:26:28.017","102611.634",""
"06/15/2021","01:28:39.382","3638.589",""
"06/15/2021","01:28:56.209","102611.634",""
"06/15/2021","01:31:20.758","3638.589",""
"06/15/2021","01:31:51.411","102611.634",""
"06/15/2021","01:34:40.795","3638.589",""
"06/15/2021","01:34:57.688","102611.634",""
"06/15/2021","01:37:12.305","2259.761",""
"06/15/2021","01:37:32.357","3638.589",""
"06/15/2021","01:37:51.919","102611.634",""
"06/15/2021","01:40:02.638","3638.589",""
"06/15/2021","01:40:20.170","102611.634",""
"06/15/2021","01:42:42.644","3638.589",""
"06/15/2021","01:43:00.168","102611.634",""
"06/15/2021","01:44:44.317","3638.589",""
"06/15/2021","01:45:01.730","102611.634",""
"06/15/2021","01:47:33.033","2259.761",""
"06/15/2021","01:47:47.546","3638.589",""
"06/15/2021","01:48:06.598","102611.634",""
"06/15/2021","01:50:04.206","3638.589",""
"06/15/2021","01:50:21.183","102611.634",""
"06/15/2021","01:52:13.642","2259.761",""
"06/15/2021","01:52:30.891","3638.589",""
"06/15/2021","01:52:46.656","102611.634",""
"06/15/2021","01:54:19.185","3638.589",""
"06/15/2021","01:54:36.651","102611.634",""
"06/15/2021","01:57:25.680","3638.589",""
"06/15/2021","01:57:43.129","102611.634",""
"06/15/2021","02:00:27.252","3638.589",""
"06/15/2021","02:00:43.320","102611.634",""
"06/15/2021","02:01:15.476","2259.761",""
"06/15/2021","02:01:31.167","3638.589",""
"06/15/2021","02:01:50.109","102611.634",""
"06/15/2021","02:04:08.886","2259.761",""
"06/15/2021","02:04:24.238","3638.589",""
"06/15/2021","02:04:43.923","102611.634",""
"06/15/2021","02:06:42.550","3638.589",""
"06/15/2021","02:06:59.412","102611.634",""
"06/15/2021","02:09:36.038","3638.589",""
"06/15/2021","02:09:53.952","102611.634",""
"06/15/2021","02:13:07.089","2259.761",""
"06/15/2021","02:13:27.320","3638.589",""
"06/15/2021","02:13:43.223","102611.634",""
"06/15/2021","02:16:16.353","3638.589",""
"06/15/2021","02:16:33.325","102611.634",""
"06/15/2021","02:18:31.698","3638.589",""
"06/15/2021","02:18:49.118","102611.634",""
"06/15/2021","02:21:02.119","3638.589",""
"06/15/2021","02:21:19.361","102611.634",""
"06/15/2021","02:24:03.061","2259.761",""
"06/15/2021","02:24:20.145","3638.589",""
"06/15/2021","02:24:39.732","102611.634",""
"06/15/2021","02:27:16.291","3638.589",""
"06/15/2021","02:27:33.237","102611.634",""
"06/15/2021","02:29:43.487","3638.589",""
"06/15/2021","02:30:01.185","102611.634",""
"06/15/2021","02:32:12.173","3638.589",""
"06/15/2021","02:32:29.561","102611.634",""
"06/15/2021","02:34:34.145","2259.761",""
"06/15/2021","02:34:58.585","3638.589",""
"06/15/2021","02:35:14.521","102611.634",""
"06/15/2021","02:37:11.823","3638.589",""
"06/15/2021","02:37:28.691","102611.634",""
"06/15/2021","02:39:13.845","3638.589",""
"06/15/2021","02:39:31.237","102611.634",""
"06/15/2021","02:41:29.051","3638.589",""
"06/15/2021","02:41:46.333","102611.634",""
"06/15/2021","02:43:08.959","","Open (2)"
"06/15/2021","02:43:47.979","2259.761",""
"06/15/2021","02:44:06.548","3638.589",""
"06/15/2021","02:44:25.498","102611.634",""
"06/15/2021","02:46:36.297","3638.589",""
"06/15/2021","02:47:06.005","102611.634",""
"06/15/2021","02:49:41.955","3638.589",""
"06/15/2021","02:50:00.427","102611.634",""
"06/15/2021","02:51:18.794","3638.589",""
"06/15/2021","02:51:36.791","102611.634",""
"06/15/2021","02:54:21.635","2259.761",""
