"Import help:"
"Comma-delimited data"
"First column is date: MDY"
"Decimal separator: ."
"Thousand separator: ,"
"","System:","9953149 (1139918) [Glacios]"
"06/14/2021","14:06:18.455","Unknown (0)"
"06/14/2021","14:06:19.648","Close (1)"
"06/14/2021","14:08:21.143","Unknown (0)"
"06/14/2021","14:08:21.653","Open (2)"
"06/14/2021","14:16:21.882","Unknown (0)"
"06/14/2021","14:16:22.649","Close (1)"
"06/14/2021","14:18:35.139","Unknown (0)"
"06/14/2021","14:18:35.652","Open (2)"
"06/14/2021","14:51:10.375","Unknown (0)"
"06/14/2021","14:51:11.151","Close (1)"
"06/14/2021","15:03:41.434","Unknown (0)"
"06/14/2021","15:03:41.658","Open (2)"
"06/14/2021","15:26:59.084","Unknown (0)"
"06/14/2021","15:27:00.155","Close (1)"
"06/14/2021","15:33:21.856","Unknown (0)"
"06/14/2021","15:33:22.161","Open (2)"
"06/14/2021","16:09:21.086","Unknown (0)"
"06/14/2021","16:09:22.159","Close (1)"
"06/14/2021","16:16:24.643","Unknown (0)"
"06/14/2021","16:16:25.162","Open (2)"
"06/14/2021","16:43:43.779","Unknown (0)"
"06/14/2021","16:43:44.662","Close (1)"
"06/14/2021","16:50:00.381","Unknown (0)"
"06/14/2021","16:50:00.667","Open (2)"
"06/14/2021","17:50:00.668","Open (2)"
"06/14/2021","18:50:00.669","Open (2)"
"06/14/2021","19:50:00.670","Open (2)"
"06/14/2021","20:50:00.671","Open (2)"
"06/14/2021","21:50:00.672","Open (2)"
"06/14/2021","22:50:00.673","Open (2)"
"06/14/2021","23:50:00.674","Open (2)"
"06/15/2021","00:50:00.674","Open (2)"
"06/15/2021","01:50:00.675","Open (2)"
"06/15/2021","02:35:20.732","Unknown (0)"
"06/15/2021","02:35:21.712","Close (1)"
"06/15/2021","03:35:21.713","Close (1)"
"06/15/2021","04:35:21.714","Close (1)"
"06/15/2021","05:35:21.715","Close (1)"
"06/15/2021","06:35:21.716","Close (1)"
"06/15/2021","07:35:21.717","Close (1)"
"06/15/2021","08:35:21.717","Close (1)"
"06/15/2021","09:35:21.718","Close (1)"
"06/15/2021","09:43:19.009","Unknown (0)"
"06/15/2021","09:43:19.259","Open (2)"
"06/15/2021","09:59:48.113","Unknown (0)"
"06/15/2021","09:59:49.253","Close (1)"
"06/15/2021","10:59:49.254","Close (1)"
"06/15/2021","11:59:49.255","Close (1)"
"06/15/2021","12:53:14.203","Unknown (0)"
"06/15/2021","12:53:14.771","Open (2)"
"06/15/2021","13:01:48.917","Unknown (0)"
"06/15/2021","13:01:49.770","Close (1)"
"06/15/2021","13:05:29.019","Unknown (0)"
"06/15/2021","13:05:29.275","Open (2)"
"06/15/2021","13:15:15.886","Unknown (0)"
"06/15/2021","13:15:16.771","Close (1)"
"06/15/2021","13:20:06.681","Unknown (0)"
"06/15/2021","13:20:07.274","Open (2)"
"06/15/2021","13:48:21.206","Unknown (0)"
"06/15/2021","13:48:22.274","Close (1)"
"06/15/2021","13:53:02.663","Unknown (0)"
"06/15/2021","13:53:03.277","Open (2)"
"06/15/2021","14:38:30.019","Unknown (0)"
"06/15/2021","14:38:30.778","Close (1)"
"06/15/2021","14:43:16.045","Unknown (0)"
"06/15/2021","14:43:16.284","Open (2)"
"06/15/2021","15:29:04.208","Unknown (0)"
"06/15/2021","15:29:05.282","Close (1)"
"06/15/2021","15:29:10.106","Unknown (0)"
"06/15/2021","15:29:10.785","Open (2)"
"06/15/2021","15:50:53.242","Unknown (0)"
"06/15/2021","15:50:54.284","Close (1)"
"06/15/2021","15:56:06.522","Unknown (0)"
"06/15/2021","15:56:06.797","Open (2)"
"06/15/2021","16:26:34.167","Unknown (0)"
"06/15/2021","16:26:35.287","Close (1)"
"06/15/2021","16:45:35.224","Unknown (0)"
"06/15/2021","17:45:35.225","Unknown (0)"
"06/15/2021","18:45:35.226","Unknown (0)"
"06/15/2021","19:45:35.227","Unknown (0)"
"06/15/2021","20:45:35.227","Unknown (0)"
"06/15/2021","21:45:35.228","Unknown (0)"
"06/15/2021","22:45:35.229","Unknown (0)"
"06/15/2021","23:45:35.230","Unknown (0)"
"06/16/2021","00:45:35.231","Unknown (0)"
"06/16/2021","01:45:35.232","Unknown (0)"
"06/16/2021","02:45:35.233","Unknown (0)"
"06/16/2021","03:45:35.234","Unknown (0)"
"06/16/2021","04:45:35.235","Unknown (0)"
"06/16/2021","04:47:16.394","Close (1)"
"06/16/2021","05:47:16.395","Close (1)"
"06/16/2021","06:47:16.396","Close (1)"
"06/16/2021","07:47:16.397","Close (1)"
"06/16/2021","08:47:16.398","Close (1)"
"06/16/2021","09:47:16.399","Close (1)"
"06/16/2021","10:47:16.400","Close (1)"
"06/16/2021","11:47:16.401","Close (1)"
"06/16/2021","12:47:16.402","Close (1)"
"06/16/2021","13:47:16.403","Close (1)"
"06/16/2021","14:47:16.404","Close (1)"
"06/16/2021","15:47:16.404","Close (1)"
"06/16/2021","16:47:16.405","Close (1)"
"06/16/2021","17:47:16.406","Close (1)"
"06/16/2021","18:47:16.407","Close (1)"
"06/16/2021","19:47:16.408","Close (1)"
"06/16/2021","20:47:16.409","Close (1)"
"06/16/2021","21:47:16.410","Close (1)"
"06/16/2021","22:47:16.411","Close (1)"
"06/16/2021","23:47:16.412","Close (1)"
"06/17/2021","00:47:16.413","Close (1)"
"06/17/2021","01:47:16.414","Close (1)"
"06/17/2021","02:47:16.414","Close (1)"
"06/17/2021","03:47:16.415","Close (1)"
"06/17/2021","04:47:16.416","Close (1)"
"06/17/2021","05:47:16.417","Close (1)"
"06/17/2021","06:47:16.418","Close (1)"
"06/17/2021","07:47:16.419","Close (1)"
"06/17/2021","08:47:16.420","Close (1)"
"06/17/2021","09:47:16.421","Close (1)"
"06/17/2021","10:41:41.057","Unknown (0)"
"06/17/2021","10:41:41.522","Open (2)"
"06/17/2021","11:41:41.522","Open (2)"
"06/17/2021","12:01:39.710","Unknown (0)"
"06/17/2021","12:01:40.522","Close (1)"
"06/17/2021","12:34:01.442","Unknown (0)"
"06/17/2021","12:34:02.028","Open (2)"
"06/17/2021","13:22:00.177","Unknown (0)"
"06/17/2021","13:22:01.029","Close (1)"
"06/17/2021","14:22:01.030","Close (1)"
"06/17/2021","15:22:01.031","Close (1)"
"06/17/2021","15:42:37.877","Unknown (0)"
"06/17/2021","15:42:38.543","Open (2)"
"06/17/2021","16:26:56.291","Unknown (0)"
"06/17/2021","16:26:57.044","Close (1)"
"06/17/2021","16:30:19.179","Unknown (0)"
"06/17/2021","16:30:19.550","Open (2)"
"06/17/2021","17:30:19.551","Open (2)"
"06/17/2021","18:30:19.552","Open (2)"
"06/17/2021","19:30:19.553","Open (2)"
"06/17/2021","20:30:19.554","Open (2)"
"06/17/2021","21:10:33.626","Unknown (0)"
"06/17/2021","21:55:38.480","Close (1)"
"06/17/2021","21:57:23.398","Unknown (0)"
"06/17/2021","21:57:24.074","Open (2)"
"06/17/2021","22:13:28.826","Unknown (0)"
"06/17/2021","22:13:29.574","Close (1)"
"06/17/2021","22:15:38.380","Unknown (0)"
"06/17/2021","22:15:39.076","Open (2)"
"06/17/2021","22:15:48.011","Unknown (0)"
"06/17/2021","22:15:49.074","Close (1)"
"06/17/2021","23:15:49.075","Close (1)"
"06/18/2021","00:15:49.075","Close (1)"
"06/18/2021","01:15:49.076","Close (1)"
"06/18/2021","02:15:49.077","Close (1)"
"06/18/2021","03:15:49.078","Close (1)"
"06/18/2021","04:15:49.079","Close (1)"
"06/18/2021","05:15:49.080","Close (1)"
"06/18/2021","06:15:49.081","Close (1)"
"06/18/2021","07:15:49.082","Close (1)"
"06/18/2021","08:15:49.083","Close (1)"
"06/18/2021","08:55:21.584","Unknown (0)"
"06/18/2021","08:55:22.138","Open (2)"
"06/18/2021","08:55:32.360","Unknown (0)"
"06/18/2021","08:55:33.136","Close (1)"
"06/18/2021","09:44:42.389","Unknown (0)"
"06/18/2021","09:45:09.287","Close (1)"
"06/18/2021","10:08:43.361","Unknown (0)"
"06/18/2021","10:08:43.647","Open (2)"
"06/18/2021","10:35:12.590","Unknown (0)"
"06/18/2021","10:35:13.644","Close (1)"
"06/18/2021","10:40:56.424","Unknown (0)"
"06/18/2021","10:40:56.651","Open (2)"
"06/18/2021","11:29:38.103","Unknown (0)"
"06/18/2021","11:29:39.151","Close (1)"
"06/18/2021","12:00:53.293","Unknown (0)"
"06/18/2021","12:00:53.658","Open (2)"
"06/18/2021","12:12:16.269","Unknown (0)"
"06/18/2021","12:12:17.154","Close (1)"
"06/18/2021","12:14:50.133","Unknown (0)"
"06/18/2021","12:14:50.657","Open (2)"
"06/18/2021","12:28:08.962","Unknown (0)"
"06/18/2021","12:28:10.156","Close (1)"
"06/18/2021","12:33:04.369","Unknown (0)"
"06/18/2021","12:33:04.662","Open (2)"
"06/18/2021","13:33:04.663","Open (2)"
"06/18/2021","13:33:39.322","Unknown (0)"
"06/18/2021","13:33:40.162","Close (1)"
"06/18/2021","13:38:47.980","Unknown (0)"
"06/18/2021","13:38:48.664","Open (2)"
"06/18/2021","14:38:48.665","Open (2)"
"06/18/2021","14:41:41.401","Unknown (0)"
"06/18/2021","14:41:42.167","Close (1)"
"06/18/2021","14:48:13.686","Unknown (0)"
"06/18/2021","14:48:14.173","Open (2)"
"06/18/2021","15:29:02.402","Unknown (0)"
"06/18/2021","15:29:03.172","Close (1)"
"06/18/2021","15:36:31.750","Unknown (0)"
"06/18/2021","15:36:32.177","Open (2)"
"06/18/2021","16:08:42.773","Unknown (0)"
"06/18/2021","16:08:43.675","Close (1)"
"06/18/2021","17:08:43.676","Close (1)"
"06/18/2021","18:08:43.676","Close (1)"
"06/18/2021","19:08:43.677","Close (1)"
"06/18/2021","20:08:43.678","Close (1)"
"06/18/2021","21:08:43.679","Close (1)"
"06/18/2021","22:08:43.680","Close (1)"
"06/18/2021","23:08:43.681","Close (1)"
"06/19/2021","00:08:43.682","Close (1)"
"06/19/2021","01:08:43.683","Close (1)"
"06/19/2021","02:08:43.684","Close (1)"
"06/19/2021","03:08:43.685","Close (1)"
"06/19/2021","04:08:43.686","Close (1)"
"06/19/2021","05:08:43.686","Close (1)"
"06/19/2021","06:08:43.687","Close (1)"
"06/19/2021","07:08:43.688","Close (1)"
"06/19/2021","08:08:43.689","Close (1)"
"06/19/2021","09:08:43.690","Close (1)"
"06/19/2021","10:08:43.691","Close (1)"
"06/19/2021","11:08:43.692","Close (1)"
"06/19/2021","12:08:43.693","Close (1)"
"06/19/2021","13:08:43.694","Close (1)"
"06/19/2021","14:08:43.695","Close (1)"
"06/19/2021","15:08:43.696","Close (1)"
"06/19/2021","16:08:43.696","Close (1)"
"06/19/2021","17:08:43.697","Close (1)"
"06/19/2021","18:08:43.698","Close (1)"
"06/19/2021","19:08:43.699","Close (1)"
"06/19/2021","20:08:43.700","Close (1)"
"06/19/2021","21:08:43.701","Close (1)"
"06/19/2021","22:08:43.702","Close (1)"
"06/19/2021","23:08:43.703","Close (1)"
"06/20/2021","00:08:43.704","Close (1)"
"06/20/2021","01:08:43.705","Close (1)"
"06/20/2021","02:08:43.706","Close (1)"
"06/20/2021","03:08:43.706","Close (1)"
"06/20/2021","04:08:43.707","Close (1)"
"06/20/2021","05:08:43.708","Close (1)"
"06/20/2021","06:08:43.709","Close (1)"
"06/20/2021","07:08:43.710","Close (1)"
"06/20/2021","08:08:43.711","Close (1)"
"06/20/2021","09:08:43.712","Close (1)"
"06/20/2021","10:08:43.713","Close (1)"
"06/20/2021","11:08:43.714","Close (1)"
"06/20/2021","12:08:43.715","Close (1)"
"06/20/2021","13:08:43.716","Close (1)"
"06/20/2021","14:08:43.716","Close (1)"
"06/20/2021","15:08:43.717","Close (1)"
"06/20/2021","16:08:43.718","Close (1)"
"06/20/2021","17:08:43.719","Close (1)"
"06/20/2021","18:08:43.720","Close (1)"
"06/20/2021","19:08:43.721","Close (1)"
"06/20/2021","20:08:43.722","Close (1)"
"06/20/2021","21:08:43.723","Close (1)"
"06/20/2021","22:08:43.724","Close (1)"
"06/20/2021","23:08:43.725","Close (1)"
"06/21/2021","00:08:43.726","Close (1)"
"06/21/2021","01:08:43.726","Close (1)"
"06/21/2021","02:08:43.727","Close (1)"
"06/21/2021","03:08:43.728","Close (1)"
"06/21/2021","04:08:43.729","Close (1)"
"06/21/2021","05:08:43.730","Close (1)"
"06/21/2021","06:08:43.731","Close (1)"
"06/21/2021","07:08:43.732","Close (1)"
"06/21/2021","08:08:43.733","Close (1)"
"06/21/2021","09:08:43.734","Close (1)"
"06/21/2021","09:37:10.362","Unknown (0)"
"06/21/2021","09:37:11.034","Open (2)"
"06/21/2021","10:08:47.053","Unknown (0)"
"06/21/2021","10:08:48.034","Close (1)"
"06/21/2021","10:32:10.906","Unknown (0)"
"06/21/2021","10:32:11.539","Open (2)"
"06/21/2021","11:32:11.540","Open (2)"
"06/21/2021","11:59:24.297","Unknown (0)"
"06/21/2021","11:59:25.043","Close (1)"
"06/21/2021","12:10:45.564","Unknown (0)"
"06/21/2021","12:10:46.049","Open (2)"
"06/21/2021","13:10:46.050","Open (2)"
"06/21/2021","13:27:51.753","Unknown (0)"
"06/21/2021","13:27:52.551","Close (1)"
"06/21/2021","13:38:27.763","Unknown (0)"
"06/21/2021","13:38:28.057","Open (2)"
"06/21/2021","14:38:28.058","Open (2)"
"06/21/2021","14:44:20.819","Unknown (0)"
"06/21/2021","14:44:21.559","Close (1)"
"06/21/2021","14:54:10.212","Unknown (0)"
"06/21/2021","14:54:10.564","Open (2)"
"06/21/2021","15:54:06.202","Unknown (0)"
"06/21/2021","15:54:07.064","Close (1)"
"06/21/2021","16:54:07.065","Close (1)"
"06/21/2021","17:54:07.066","Close (1)"
"06/21/2021","18:54:07.067","Close (1)"
"06/21/2021","19:54:07.068","Close (1)"
"06/21/2021","20:54:07.068","Close (1)"
"06/21/2021","21:54:07.069","Close (1)"
"06/21/2021","22:54:07.070","Close (1)"
"06/21/2021","23:54:07.071","Close (1)"
"06/22/2021","00:54:07.072","Close (1)"
"06/22/2021","01:54:07.073","Close (1)"
"06/22/2021","02:54:07.074","Close (1)"
"06/22/2021","03:54:07.075","Close (1)"
"06/22/2021","04:54:07.076","Close (1)"
"06/22/2021","05:54:07.077","Close (1)"
"06/22/2021","06:54:07.078","Close (1)"
"06/22/2021","07:54:07.078","Close (1)"
"06/22/2021","08:54:07.079","Close (1)"
"06/22/2021","09:21:28.342","Unknown (0)"
"06/22/2021","09:21:28.666","Open (2)"
"06/22/2021","09:33:22.458","Unknown (0)"
"06/22/2021","09:33:23.661","Close (1)"
"06/22/2021","09:35:35.143","Unknown (0)"
"06/22/2021","09:35:35.664","Open (2)"
"06/22/2021","09:46:26.364","Unknown (0)"
"06/22/2021","09:46:27.162","Close (1)"
"06/22/2021","09:51:48.415","Unknown (0)"
"06/22/2021","09:51:48.668","Open (2)"
"06/22/2021","10:19:36.299","Unknown (0)"
"06/22/2021","10:19:37.165","Close (1)"
"06/22/2021","10:24:34.077","Unknown (0)"
"06/22/2021","10:24:34.668","Open (2)"
"06/22/2021","11:11:46.869","Unknown (0)"
"06/22/2021","11:11:47.669","Close (1)"
"06/22/2021","11:17:35.206","Unknown (0)"
"06/22/2021","11:17:35.676","Open (2)"
"06/22/2021","12:03:40.474","Unknown (0)"
"06/22/2021","12:03:41.671","Close (1)"
"06/22/2021","12:11:00.575","Unknown (0)"
"06/22/2021","12:11:01.173","Open (2)"
"06/22/2021","12:55:37.710","Unknown (0)"
"06/22/2021","12:55:38.672","Close (1)"
"06/22/2021","13:06:11.672","Unknown (0)"
"06/22/2021","13:06:12.176","Open (2)"
"06/22/2021","13:42:07.371","Unknown (0)"
"06/22/2021","13:42:08.178","Close (1)"
"06/22/2021","13:47:09.057","Unknown (0)"
"06/22/2021","13:47:09.681","Open (2)"
"06/22/2021","14:31:37.091","Unknown (0)"
"06/22/2021","14:31:38.184","Close (1)"
"06/22/2021","14:36:46.371","Unknown (0)"
"06/22/2021","14:36:46.689","Open (2)"
"06/22/2021","15:15:13.027","Unknown (0)"
"06/22/2021","15:15:14.187","Close (1)"
"06/22/2021","15:22:32.452","Unknown (0)"
"06/22/2021","15:22:32.694","Open (2)"
"06/22/2021","15:32:04.693","Unknown (0)"
"06/22/2021","15:32:05.689","Close (1)"
"06/22/2021","16:32:05.690","Close (1)"
"06/22/2021","17:32:05.691","Close (1)"
"06/22/2021","18:32:05.692","Close (1)"
"06/22/2021","19:32:05.693","Close (1)"
"06/22/2021","20:32:05.694","Close (1)"
"06/22/2021","21:32:05.695","Close (1)"
"06/22/2021","22:32:05.696","Close (1)"
"06/22/2021","23:32:05.696","Close (1)"
"06/23/2021","00:32:05.697","Close (1)"
"06/23/2021","01:32:05.698","Close (1)"
"06/23/2021","02:32:05.699","Close (1)"
"06/23/2021","03:32:05.700","Close (1)"
"06/23/2021","04:32:05.701","Close (1)"
"06/23/2021","05:32:05.702","Close (1)"
"06/23/2021","06:32:05.703","Close (1)"
"06/23/2021","07:32:05.704","Close (1)"
"06/23/2021","08:32:05.705","Close (1)"
"06/23/2021","09:32:05.705","Close (1)"
"06/23/2021","10:04:08.890","Unknown (0)"
"06/23/2021","10:04:09.303","Open (2)"
"06/23/2021","10:53:12.767","Unknown (0)"
"06/23/2021","10:53:13.803","Close (1)"
"06/23/2021","10:58:19.145","Unknown (0)"
"06/23/2021","10:58:19.806","Open (2)"
"06/23/2021","11:00:48.177","Unknown (0)"
"06/23/2021","11:00:49.305","Close (1)"
"06/23/2021","11:07:03.923","Unknown (0)"
"06/23/2021","11:07:04.310","Open (2)"
"06/23/2021","11:26:49.887","Unknown (0)"
"06/23/2021","11:26:50.807","Close (1)"
"06/23/2021","11:33:03.920","Unknown (0)"
"06/23/2021","11:33:04.313","Open (2)"
"06/23/2021","12:20:17.608","Unknown (0)"
"06/23/2021","12:20:18.812","Close (1)"
"06/23/2021","12:25:47.222","Unknown (0)"
"06/23/2021","12:25:47.816","Open (2)"
"06/23/2021","13:04:02.441","Unknown (0)"
"06/23/2021","13:04:03.316","Close (1)"
"06/23/2021","13:11:18.223","Unknown (0)"
"06/23/2021","13:11:18.820","Open (2)"
"06/23/2021","14:04:32.824","Unknown (0)"
"06/23/2021","14:04:33.823","Close (1)"
"06/23/2021","14:09:29.481","Unknown (0)"
"06/23/2021","14:09:29.827","Open (2)"
"06/23/2021","15:09:29.828","Open (2)"
"06/23/2021","15:30:57.583","Unknown (0)"
"06/23/2021","15:30:58.329","Close (1)"
"06/23/2021","15:35:30.942","Unknown (0)"
"06/23/2021","15:35:31.336","Open (2)"
"06/23/2021","16:12:34.659","Unknown (0)"
"06/23/2021","16:12:35.833","Close (1)"
"06/23/2021","16:19:38.195","Unknown (0)"
"06/23/2021","16:19:38.837","Open (2)"
"06/23/2021","16:27:49.083","Unknown (0)"
"06/23/2021","16:27:49.835","Close (1)"
"06/23/2021","17:27:49.836","Close (1)"
"06/23/2021","18:27:49.837","Close (1)"
"06/23/2021","19:27:49.838","Close (1)"
"06/23/2021","20:27:49.839","Close (1)"
"06/23/2021","21:27:49.840","Close (1)"
"06/23/2021","22:27:49.841","Close (1)"
"06/23/2021","23:27:49.842","Close (1)"
"06/24/2021","00:27:49.842","Close (1)"
"06/24/2021","01:27:49.843","Close (1)"
"06/24/2021","02:27:49.844","Close (1)"
"06/24/2021","03:27:49.845","Close (1)"
"06/24/2021","04:27:49.846","Close (1)"
"06/24/2021","05:27:49.847","Close (1)"
"06/24/2021","06:27:49.848","Close (1)"
"06/24/2021","07:27:49.849","Close (1)"
"06/24/2021","08:27:49.850","Close (1)"
"06/24/2021","09:27:49.851","Close (1)"
"06/24/2021","10:27:49.852","Close (1)"
"06/24/2021","11:27:49.852","Close (1)"
"06/24/2021","12:27:49.853","Close (1)"
"06/24/2021","12:59:45.198","Unknown (0)"
"06/24/2021","12:59:45.458","Open (2)"
"06/24/2021","13:00:47.530","Unknown (0)"
"06/24/2021","13:00:48.453","Close (1)"
"06/24/2021","13:14:44.151","Unknown (0)"
"06/24/2021","13:14:44.459","Open (2)"
"06/24/2021","13:20:41.468","Unknown (0)"
"06/24/2021","13:20:42.454","Close (1)"
"06/24/2021","13:34:59.627","Unknown (0)"
"06/24/2021","13:34:59.961","Open (2)"
"06/24/2021","13:56:27.610","Unknown (0)"
"06/24/2021","13:56:28.458","Close (1)"
"06/24/2021","14:25:55.338","Unknown (0)"
"06/24/2021","14:25:55.963","Open (2)"
"06/24/2021","14:28:49.444","Unknown (0)"
"06/24/2021","14:28:50.462","Close (1)"
"06/24/2021","14:33:30.863","Unknown (0)"
"06/24/2021","14:33:31.464","Open (2)"
"06/24/2021","14:47:06.748","Unknown (0)"
"06/24/2021","14:47:07.961","Close (1)"
"06/24/2021","15:47:07.962","Close (1)"
"06/24/2021","16:41:12.508","Unknown (0)"
"06/24/2021","16:41:12.977","Open (2)"
"06/24/2021","17:41:12.978","Open (2)"
"06/24/2021","18:41:12.979","Open (2)"
"06/24/2021","19:41:12.980","Open (2)"
"06/24/2021","20:41:12.981","Open (2)"
"06/24/2021","21:41:12.981","Open (2)"
"06/24/2021","22:41:12.982","Open (2)"
"06/24/2021","23:41:12.983","Open (2)"
"06/25/2021","00:41:12.984","Open (2)"
"06/25/2021","01:41:12.985","Open (2)"
"06/25/2021","02:41:12.986","Open (2)"
"06/25/2021","03:41:12.987","Open (2)"
"06/25/2021","04:41:12.988","Open (2)"
"06/25/2021","05:41:12.989","Open (2)"
"06/25/2021","06:41:12.990","Open (2)"
"06/25/2021","07:41:12.991","Open (2)"
"06/25/2021","08:07:47.188","Unknown (0)"
"06/25/2021","08:07:48.054","Close (1)"
"06/25/2021","08:45:08.408","Unknown (0)"
"06/25/2021","08:45:09.062","Open (2)"
"06/25/2021","09:18:37.310","Unknown (0)"
"06/25/2021","09:18:38.061","Close (1)"
"06/25/2021","09:23:41.584","Unknown (0)"
"06/25/2021","09:23:42.067","Open (2)"
"06/25/2021","09:58:05.173","Unknown (0)"
"06/25/2021","09:58:06.065","Close (1)"
"06/25/2021","10:11:33.120","Unknown (0)"
"06/25/2021","10:11:33.573","Open (2)"
"06/25/2021","11:11:33.573","Open (2)"
"06/25/2021","11:53:17.685","Unknown (0)"
"06/25/2021","11:53:18.575","Close (1)"
"06/25/2021","11:59:14.058","Unknown (0)"
"06/25/2021","11:59:14.578","Open (2)"
"06/25/2021","12:34:05.607","Unknown (0)"
"06/25/2021","12:34:06.577","Close (1)"
"06/25/2021","12:52:15.180","Unknown (0)"
"06/25/2021","12:52:15.585","Open (2)"
"06/25/2021","13:52:15.586","Open (2)"
"06/25/2021","13:54:55.433","Unknown (0)"
"06/25/2021","13:54:56.583","Close (1)"
"06/25/2021","14:02:29.786","Unknown (0)"
"06/25/2021","14:02:30.089","Open (2)"
"06/25/2021","14:38:30.971","Unknown (0)"
"06/25/2021","14:38:32.087","Close (1)"
"06/25/2021","14:59:07.169","Unknown (0)"
"06/25/2021","14:59:07.594","Open (2)"
"06/25/2021","15:09:54.065","Unknown (0)"
"06/25/2021","15:09:55.090","Close (1)"
"06/25/2021","15:17:41.434","Unknown (0)"
"06/25/2021","15:17:42.093","Open (2)"
"06/25/2021","15:47:52.257","Unknown (0)"
"06/25/2021","15:47:53.094","Close (1)"
"06/25/2021","15:53:16.179","Unknown (0)"
"06/25/2021","15:53:16.599","Open (2)"
"06/25/2021","16:53:16.600","Open (2)"
"06/25/2021","17:14:31.685","Unknown (0)"
"06/25/2021","17:14:32.600","Close (1)"
"06/25/2021","17:14:34.028","Unknown (0)"
"06/25/2021","17:14:34.603","Open (2)"
"06/25/2021","17:18:13.655","Unknown (0)"
"06/25/2021","17:18:14.601","Close (1)"
"06/25/2021","18:18:14.602","Close (1)"
"06/25/2021","19:18:14.603","Close (1)"
"06/25/2021","20:18:14.604","Close (1)"
"06/25/2021","21:18:14.604","Close (1)"
"06/25/2021","22:18:14.605","Close (1)"
"06/25/2021","23:18:14.606","Close (1)"
"06/26/2021","00:18:14.607","Close (1)"
"06/26/2021","01:18:14.608","Close (1)"
"06/26/2021","02:18:14.609","Close (1)"
"06/26/2021","03:18:14.610","Close (1)"
"06/26/2021","04:18:14.611","Close (1)"
"06/26/2021","05:18:14.612","Close (1)"
"06/26/2021","06:18:14.613","Close (1)"
"06/26/2021","07:18:14.614","Close (1)"
"06/26/2021","08:18:14.614","Close (1)"
"06/26/2021","09:18:14.615","Close (1)"
"06/26/2021","10:18:14.616","Close (1)"
"06/26/2021","11:18:14.617","Close (1)"
"06/26/2021","11:50:03.409","Unknown (0)"
"06/26/2021","12:50:03.410","Unknown (0)"
"06/26/2021","13:50:03.411","Unknown (0)"
"06/26/2021","14:50:03.412","Unknown (0)"
"06/26/2021","15:50:03.413","Unknown (0)"
"06/26/2021","16:50:03.414","Unknown (0)"
"06/26/2021","17:50:03.415","Unknown (0)"
"06/26/2021","18:50:03.416","Unknown (0)"
"06/26/2021","19:50:03.417","Unknown (0)"
"06/26/2021","20:50:03.418","Unknown (0)"
"06/26/2021","21:50:03.418","Unknown (0)"
"06/26/2021","22:50:03.419","Unknown (0)"
"06/26/2021","23:50:03.420","Unknown (0)"
"06/26/2021","23:51:42.803","Close (1)"
"06/27/2021","00:51:42.804","Close (1)"
"06/27/2021","01:51:42.805","Close (1)"
"06/27/2021","02:51:42.806","Close (1)"
"06/27/2021","03:51:42.807","Close (1)"
"06/27/2021","04:51:42.807","Close (1)"
