"Import help:"
"Comma-delimited data"
"First column is date: MDY"
"Decimal separator: ."
"Thousand separator: ,"
"","System:","3846 (1137337) [Titan Krios G3i (3.1)]","3846 (1137337) [Titan Krios G3i (3.1)]"
"06/13/2021","21:11:49.672","2259.761",""
"06/13/2021","21:12:15.923","80742.017",""
"06/13/2021","21:20:57.161","938.645",""
"06/13/2021","21:21:32.922","2259.761",""
"06/13/2021","21:22:24.047","80742.017",""
"06/13/2021","21:31:56.871","2259.761",""
"06/13/2021","21:32:18.340","80742.017",""
"06/13/2021","21:38:50.368","938.645",""
"06/13/2021","21:39:10.777","2259.761",""
"06/13/2021","21:39:40.715","80742.017",""
"06/13/2021","21:41:10.923","2259.761",""
"06/13/2021","21:41:30.377","80742.017",""
"06/13/2021","21:50:54.647","938.645",""
"06/13/2021","21:51:14.042","2259.761",""
"06/13/2021","21:51:38.186","80742.017",""
"06/13/2021","22:06:39.326","2259.761",""
"06/13/2021","22:07:08.901","80742.017",""
"06/13/2021","22:08:43.257","2259.761",""
"06/13/2021","22:09:03.032","80742.017",""
"06/13/2021","22:22:14.479","938.645",""
"06/13/2021","22:22:35.269","2259.761",""
"06/13/2021","22:23:06.829","80742.017",""
"06/13/2021","22:24:37.822","2259.761",""
"06/13/2021","22:24:57.480","80742.017",""
"06/13/2021","22:40:25.223","938.645",""
"06/13/2021","22:41:16.103","2259.761",""
"06/13/2021","22:41:54.174","938.645",""
"06/13/2021","22:42:11.173","2259.761",""
"06/13/2021","22:42:42.603","80742.017",""
"06/13/2021","22:44:10.825","2259.761",""
"06/13/2021","22:44:30.461","80742.017",""
"06/13/2021","22:54:34.018","938.645",""
"06/13/2021","22:54:57.176","2259.761",""
"06/13/2021","22:55:22.719","80742.017",""
"06/13/2021","23:09:26.364","2259.761",""
"06/13/2021","23:09:58.959","80742.017",""
"06/13/2021","23:11:27.275","2259.761",""
"06/13/2021","23:11:46.548","80742.017",""
"06/13/2021","23:20:12.246","938.645",""
"06/13/2021","23:20:32.524","2259.761",""
"06/13/2021","23:20:54.584","80742.017",""
"06/13/2021","23:26:27.258","","Open (2)"
"06/13/2021","23:35:21.372","2259.761",""
"06/13/2021","23:35:53.467","80742.017",""
"06/13/2021","23:37:20.178","2259.761",""
"06/13/2021","23:37:39.629","80742.017",""
"06/13/2021","23:42:46.271","938.645",""
"06/13/2021","23:43:06.633","2259.761",""
"06/13/2021","23:43:33.384","80742.017",""
"06/13/2021","23:56:40.067","2259.761",""
"06/13/2021","23:57:12.149","80742.017",""
"06/13/2021","23:58:38.828","2259.761",""
"06/13/2021","23:58:58.480","80742.017",""
"06/14/2021","00:11:34.884","938.645",""
"06/14/2021","00:12:25.608","2259.761",""
"06/14/2021","00:13:03.574","938.645",""
"06/14/2021","00:13:20.366","2259.761",""
"06/14/2021","00:13:51.400","80742.017",""
"06/14/2021","00:15:15.406","2259.761",""
"06/14/2021","00:15:34.961","80742.017",""
"06/14/2021","00:27:41.329","938.645",""
"06/14/2021","00:28:04.960","2259.761",""
"06/14/2021","00:28:25.955","80742.017",""
"06/14/2021","00:43:27.187","2259.761",""
"06/14/2021","00:44:02.995","80742.017",""
"06/14/2021","00:45:27.188","2259.761",""
"06/14/2021","00:45:46.743","80742.017",""
"06/14/2021","01:00:35.074","938.645",""
"06/14/2021","01:00:54.444","2259.761",""
"06/14/2021","01:08:48.754","80742.017",""
"06/14/2021","01:10:14.454","2259.761",""
"06/14/2021","01:10:33.945","80742.017",""
"06/14/2021","01:22:47.027","938.645",""
"06/14/2021","01:23:07.270","2259.761",""
"06/14/2021","01:23:33.989","80742.017",""
"06/14/2021","01:38:31.518","938.645",""
"06/14/2021","01:39:24.043","2259.761",""
"06/14/2021","01:40:01.853","938.645",""
"06/14/2021","01:40:18.257","2259.761",""
"06/14/2021","01:40:45.669","80742.017",""
"06/14/2021","01:42:19.239","2259.761",""
"06/14/2021","01:42:35.550","80742.017",""
"06/14/2021","01:58:10.497","938.645",""
"06/14/2021","01:58:29.939","2259.761",""
"06/14/2021","01:59:02.263","80742.017",""
"06/14/2021","02:00:33.162","2259.761",""
"06/14/2021","02:00:52.808","80742.017",""
"06/14/2021","02:12:00.280","938.645",""
"06/14/2021","02:12:20.644","2259.761",""
"06/14/2021","02:12:47.378","80742.017",""
"06/14/2021","02:21:12.093","2259.761",""
"06/14/2021","02:21:43.947","80742.017",""
"06/14/2021","02:23:14.713","2259.761",""
"06/14/2021","02:23:34.470","80742.017",""
"06/14/2021","02:25:44.930","938.645",""
"06/14/2021","02:26:05.030","2259.761",""
"06/14/2021","02:26:30.686","80742.017",""
"06/14/2021","02:41:32.753","2259.761",""
"06/14/2021","02:42:02.251","80742.017",""
"06/14/2021","02:43:34.633","2259.761",""
"06/14/2021","02:43:50.858","80742.017",""
"06/14/2021","02:57:33.452","938.645",""
"06/14/2021","02:57:53.819","2259.761",""
"06/14/2021","02:58:25.389","80742.017",""
"06/14/2021","02:59:54.822","2259.761",""
"06/14/2021","03:00:14.421","80742.017",""
"06/14/2021","03:15:28.969","938.645",""
"06/14/2021","03:16:30.959","2259.761",""
"06/14/2021","03:17:05.533","938.645",""
"06/14/2021","03:17:22.442","2259.761",""
"06/14/2021","03:17:52.440","80742.017",""
"06/14/2021","03:19:02.560","2259.761",""
"06/14/2021","03:19:18.554","80742.017",""
"06/14/2021","03:25:51.956","938.645",""
"06/14/2021","03:26:15.517","2259.761",""
"06/14/2021","03:26:40.123","80742.017",""
"06/14/2021","03:41:45.587","2259.761",""
"06/14/2021","03:42:16.725","80742.017",""
"06/14/2021","03:43:26.518","2259.761",""
"06/14/2021","03:43:42.889","80742.017",""
"06/14/2021","04:02:41.804","938.645",""
"06/14/2021","04:03:04.451","2259.761",""
"06/14/2021","04:03:34.934","80742.017",""
"06/14/2021","04:04:44.239","2259.761",""
"06/14/2021","04:05:03.726","80742.017",""
"06/14/2021","04:20:26.929","938.645",""
"06/14/2021","04:20:46.969","2259.761",""
"06/14/2021","04:21:16.771","80742.017",""
"06/14/2021","04:22:26.416","2259.761",""
"06/14/2021","04:22:42.533","80742.017",""
"06/14/2021","04:30:27.575","938.645",""
"06/14/2021","04:30:47.555","2259.761",""
"06/14/2021","04:31:09.874","80742.017",""
"06/14/2021","04:44:51.551","938.645",""
"06/14/2021","04:45:59.958","2259.761",""
"06/14/2021","04:46:37.764","938.645",""
"06/14/2021","04:46:54.439","2259.761",""
"06/14/2021","04:47:25.290","80742.017",""
"06/14/2021","04:49:00.478","2259.761",""
"06/14/2021","04:49:23.317","80742.017",""
"06/14/2021","05:00:43.452","938.645",""
"06/14/2021","05:01:03.860","2259.761",""
"06/14/2021","05:01:25.801","80742.017",""
"06/14/2021","05:08:40.345","2259.761",""
"06/14/2021","05:09:11.976","80742.017",""
"06/14/2021","05:10:51.769","2259.761",""
"06/14/2021","05:11:11.760","80742.017",""
"06/14/2021","05:26:33.715","938.645",""
"06/14/2021","05:26:55.377","2259.761",""
"06/14/2021","05:27:21.994","80742.017",""
"06/14/2021","05:29:04.562","2259.761",""
"06/14/2021","05:29:24.385","80742.017",""
"06/14/2021","05:44:33.989","938.645",""
"06/14/2021","05:44:53.337","2259.761",""
"06/14/2021","05:45:24.297","80742.017",""
"06/14/2021","05:47:04.038","2259.761",""
"06/14/2021","05:47:23.683","80742.017",""
"06/14/2021","05:54:32.730","938.645",""
"06/14/2021","05:54:52.969","2259.761",""
"06/14/2021","05:55:19.554","80742.017",""
"06/14/2021","06:07:36.650","2259.761",""
"06/14/2021","06:08:08.269","80742.017",""
"06/14/2021","06:09:45.337","2259.761",""
"06/14/2021","06:10:08.327","80742.017",""
"06/14/2021","06:19:38.508","938.645",""
"06/14/2021","06:20:30.619","2259.761",""
"06/14/2021","06:21:08.610","938.645",""
"06/14/2021","06:21:25.415","2259.761",""
"06/14/2021","06:21:51.299","80742.017",""
"06/14/2021","06:27:28.414","2259.761",""
"06/14/2021","06:28:03.054","80742.017",""
"06/14/2021","06:29:47.769","2259.761",""
"06/14/2021","06:30:07.324","80742.017",""
"06/14/2021","06:37:18.504","938.645",""
"06/14/2021","06:37:42.075","2259.761",""
"06/14/2021","06:38:07.776","80742.017",""
"06/14/2021","06:43:31.529","2259.761",""
"06/14/2021","06:44:03.088","80742.017",""
"06/14/2021","06:45:51.624","2259.761",""
"06/14/2021","06:46:11.188","80742.017",""
"06/14/2021","06:55:37.351","938.645",""
"06/14/2021","06:55:55.800","2259.761",""
"06/14/2021","06:56:20.856","80742.017",""
"06/14/2021","07:04:50.152","2259.761",""
"06/14/2021","07:05:22.422","80742.017",""
"06/14/2021","07:07:08.195","2259.761",""
"06/14/2021","07:07:28.218","80742.017",""
"06/14/2021","07:14:32.510","938.645",""
"06/14/2021","07:14:52.679","2259.761",""
"06/14/2021","07:15:18.749","80742.017",""
"06/14/2021","07:23:49.881","2259.761",""
"06/14/2021","07:24:21.213","80742.017",""
"06/14/2021","07:26:06.983","2259.761",""
"06/14/2021","07:26:26.652","80742.017",""
"06/14/2021","07:36:57.586","938.645",""
"06/14/2021","07:37:51.821","2259.761",""
"06/14/2021","07:38:29.713","938.645",""
"06/14/2021","07:38:46.512","2259.761",""
"06/14/2021","07:39:12.738","80742.017",""
"06/14/2021","07:50:32.150","2259.761",""
"06/14/2021","07:51:04.350","80742.017",""
"06/14/2021","07:52:47.142","2259.761",""
"06/14/2021","07:53:06.598","80742.017",""
"06/14/2021","08:04:21.995","938.645",""
"06/14/2021","08:04:41.715","2259.761",""
"06/14/2021","08:05:08.287","80742.017",""
"06/14/2021","08:18:17.661","2259.761",""
"06/14/2021","08:18:50.054","80742.017",""
"06/14/2021","08:20:37.838","2259.761",""
"06/14/2021","08:20:54.014","80742.017",""
"06/14/2021","08:32:24.424","938.645",""
"06/14/2021","08:33:21.676","2259.761",""
"06/14/2021","08:33:59.722","938.645",""
"06/14/2021","08:34:16.328","2259.761",""
"06/14/2021","08:34:48.283","80742.017",""
"06/14/2021","08:36:24.364","2259.761",""
"06/14/2021","08:36:43.997","80742.017",""
"06/14/2021","08:47:04.114","938.645",""
"06/14/2021","08:47:24.188","2259.761",""
"06/14/2021","08:47:50.922","80742.017",""
"06/14/2021","09:00:09.724","2259.761",""
"06/14/2021","09:00:41.949","80742.017",""
"06/14/2021","09:02:18.878","2259.761",""
"06/14/2021","09:02:35.115","80742.017",""
"06/14/2021","09:12:07.636","938.645",""
"06/14/2021","09:12:27.797","2259.761",""
"06/14/2021","09:12:53.071","80742.017",""
"06/14/2021","11:05:49.839","2259.761",""
"06/14/2021","11:06:22.034","80742.017",""
"06/14/2021","11:07:57.754","2259.761",""
"06/14/2021","11:08:17.325","80742.017",""
"06/14/2021","11:17:42.656","938.645",""
"06/14/2021","11:18:00.860","2259.761",""
"06/14/2021","11:18:26.272","80742.017",""
"06/14/2021","11:26:27.259","","Open (2)"
"06/14/2021","11:29:50.472","2259.761",""
"06/14/2021","11:30:23.482","80742.017",""
"06/14/2021","11:31:58.314","2259.761",""
"06/14/2021","11:32:17.719","80742.017",""
"06/14/2021","11:40:32.173","938.645",""
"06/14/2021","11:40:52.631","2259.761",""
"06/14/2021","11:41:15.310","80742.017",""
"06/14/2021","11:54:22.512","2259.761",""
"06/14/2021","11:54:54.153","80742.017",""
"06/14/2021","11:56:28.454","2259.761",""
"06/14/2021","11:56:45.093","80742.017",""
"06/14/2021","12:10:54.772","938.645",""
"06/14/2021","12:11:48.962","2259.761",""
"06/14/2021","12:12:26.995","938.645",""
"06/14/2021","12:12:43.919","2259.761",""
"06/14/2021","12:13:14.620","80742.017",""
"06/14/2021","12:14:49.375","2259.761",""
"06/14/2021","12:15:09.152","80742.017",""
"06/14/2021","12:22:35.815","938.645",""
"06/14/2021","12:22:56.081","2259.761",""
"06/14/2021","12:23:18.703","80742.017",""
"06/14/2021","12:35:50.761","938.645",""
"06/14/2021","12:36:23.193","2259.761",""
"06/14/2021","12:38:50.932","80742.017",""
"06/14/2021","12:49:01.204","938.645",""
"06/14/2021","12:49:21.848","2259.761",""
"06/14/2021","12:49:52.869","80742.017",""
"06/14/2021","12:51:24.790","2259.761",""
"06/14/2021","12:51:47.770","80742.017",""
"06/14/2021","13:01:15.360","938.645",""
"06/14/2021","13:01:35.736","2259.761",""
"06/14/2021","13:02:01.273","80742.017",""
"06/14/2021","13:15:27.702","2259.761",""
"06/14/2021","13:15:59.456","80742.017",""
"06/14/2021","13:23:52.379","2259.761",""
"06/14/2021","13:24:21.170","80742.017",""
"06/14/2021","13:26:00.246","2259.761",""
"06/14/2021","13:26:20.475","80742.017",""
"06/14/2021","13:30:43.186","938.645",""
"06/14/2021","13:31:02.051","2259.761",""
"06/14/2021","13:31:27.859","80742.017",""
"06/14/2021","13:46:57.002","2259.761",""
"06/14/2021","13:47:29.899","80742.017",""
"06/14/2021","13:49:06.749","2259.761",""
"06/14/2021","13:49:26.470","80742.017",""
"06/14/2021","14:04:38.923","938.645",""
"06/14/2021","14:05:33.977","2259.761",""
"06/14/2021","14:06:12.779","938.645",""
"06/14/2021","14:06:29.674","2259.761",""
"06/14/2021","14:07:00.258","80742.017",""
"06/14/2021","14:08:30.633","2259.761",""
"06/14/2021","14:08:49.960","80742.017",""
"06/14/2021","14:13:14.579","938.645",""
"06/14/2021","14:13:34.181","2259.761",""
"06/14/2021","14:13:57.394","80742.017",""
"06/14/2021","14:26:42.659","2259.761",""
"06/14/2021","14:27:14.308","80742.017",""
"06/14/2021","14:28:48.433","2259.761",""
"06/14/2021","14:29:04.876","80742.017",""
"06/14/2021","14:36:08.003","938.645",""
"06/14/2021","14:36:31.392","2259.761",""
"06/14/2021","14:36:53.395","80742.017",""
"06/14/2021","14:48:19.527","2259.761",""
"06/14/2021","14:48:52.679","80742.017",""
"06/14/2021","14:50:25.011","2259.761",""
"06/14/2021","14:50:41.374","80742.017",""
"06/14/2021","15:05:23.752","938.645",""
"06/14/2021","15:05:44.926","2259.761",""
"06/14/2021","15:06:16.394","80742.017",""
"06/14/2021","15:07:46.564","2259.761",""
"06/14/2021","15:08:09.614","80742.017",""
"06/14/2021","15:19:33.963","938.645",""
"06/14/2021","15:19:54.238","2259.761",""
"06/14/2021","15:20:16.453","80742.017",""
"06/14/2021","15:25:44.438","938.645",""
"06/14/2021","15:26:34.118","2259.761",""
"06/14/2021","15:27:12.273","938.645",""
"06/14/2021","15:27:29.205","2259.761",""
"06/14/2021","15:29:44.506","80742.017",""
"06/14/2021","15:31:15.754","2259.761",""
"06/14/2021","15:31:35.523","80742.017",""
"06/14/2021","15:45:12.996","938.645",""
"06/14/2021","15:45:32.433","2259.761",""
"06/14/2021","15:46:01.610","80742.017",""
"06/14/2021","15:47:32.450","2259.761",""
"06/14/2021","15:47:48.797","80742.017",""
"06/14/2021","16:01:07.569","938.645",""
"06/14/2021","16:01:26.323","2259.761",""
"06/14/2021","16:01:56.659","80742.017",""
"06/14/2021","16:03:27.375","2259.761",""
"06/14/2021","16:03:46.991","80742.017",""
"06/14/2021","16:13:17.844","938.645",""
"06/14/2021","16:13:38.715","2259.761",""
"06/14/2021","16:14:05.674","80742.017",""
"06/14/2021","16:32:54.300","2259.761",""
"06/14/2021","16:33:25.883","80742.017",""
"06/14/2021","16:34:56.491","2259.761",""
"06/14/2021","16:35:16.705","80742.017",""
"06/14/2021","16:50:26.981","938.645",""
"06/14/2021","16:51:17.463","2259.761",""
"06/14/2021","16:51:55.225","938.645",""
"06/14/2021","16:52:11.853","2259.761",""
"06/14/2021","16:52:43.405","80742.017",""
"06/14/2021","16:54:17.831","2259.761",""
"06/14/2021","16:54:37.686","80742.017",""
"06/14/2021","17:10:05.912","938.645",""
"06/14/2021","17:10:26.183","2259.761",""
"06/14/2021","17:10:57.647","80742.017",""
"06/14/2021","17:12:28.993","2259.761",""
"06/14/2021","17:12:52.422","80742.017",""
"06/14/2021","17:20:26.949","2259.761",""
"06/14/2021","17:20:56.187","80742.017",""
"06/14/2021","17:38:40.984","938.645",""
"06/14/2021","17:39:01.329","2259.761",""
"06/14/2021","17:39:31.963","80742.017",""
"06/14/2021","17:41:07.273","2259.761",""
"06/14/2021","17:41:26.951","80742.017",""
"06/14/2021","17:47:09.983","938.645",""
"06/14/2021","17:47:30.294","2259.761",""
"06/14/2021","17:47:56.125","80742.017",""
"06/14/2021","18:00:08.081","2259.761",""
"06/14/2021","18:00:38.950","80742.017",""
"06/14/2021","18:02:16.129","2259.761",""
"06/14/2021","18:02:36.315","80742.017",""
"06/14/2021","18:11:08.115","938.645",""
"06/14/2021","18:11:26.425","2259.761",""
"06/14/2021","18:11:51.820","80742.017",""
"06/14/2021","18:20:02.846","2259.761",""
"06/14/2021","18:20:35.617","80742.017",""
"06/14/2021","18:22:05.306","2259.761",""
"06/14/2021","18:22:28.520","80742.017",""
"06/14/2021","18:29:45.387","3638.589",""
"06/14/2021","18:30:00.267","2259.761",""
"06/14/2021","18:30:37.990","80742.017",""
"06/14/2021","18:42:04.856","938.645",""
"06/14/2021","18:42:25.018","2259.761",""
"06/14/2021","18:42:55.817","80742.017",""
"06/14/2021","18:44:28.830","2259.761",""
"06/14/2021","18:44:48.593","80742.017",""
"06/14/2021","18:55:12.307","938.645",""
"06/14/2021","18:55:32.683","2259.761",""
"06/14/2021","18:55:58.934","80742.017",""
"06/14/2021","19:00:59.850","938.645",""
"06/14/2021","19:01:50.693","2259.761",""
"06/14/2021","19:02:28.487","938.645",""
"06/14/2021","19:02:45.631","2259.761",""
"06/14/2021","19:03:16.505","80742.017",""
"06/14/2021","19:04:54.122","2259.761",""
"06/14/2021","19:05:13.943","80742.017",""
"06/14/2021","19:18:31.412","938.645",""
"06/14/2021","19:18:51.412","2259.761",""
"06/14/2021","19:26:50.534","80742.017",""
"06/14/2021","19:28:27.989","2259.761",""
"06/14/2021","19:28:48.107","80742.017",""
"06/14/2021","19:31:35.038","938.645",""
"06/14/2021","19:31:58.413","2259.761",""
"06/14/2021","19:32:22.675","80742.017",""
"06/14/2021","19:42:51.495","2259.761",""
"06/14/2021","19:43:23.776","80742.017",""
"06/14/2021","19:45:01.009","2259.761",""
"06/14/2021","19:45:20.771","80742.017",""
"06/14/2021","20:00:34.350","938.645",""
"06/14/2021","20:00:53.579","2259.761",""
"06/14/2021","20:01:25.173","80742.017",""
"06/14/2021","20:03:01.414","2259.761",""
"06/14/2021","20:03:17.763","80742.017",""
"06/14/2021","20:15:28.799","938.645",""
"06/14/2021","20:15:49.335","2259.761",""
"06/14/2021","20:16:15.973","80742.017",""
"06/14/2021","20:26:43.428","2259.761",""
"06/14/2021","20:27:14.529","80742.017",""
"06/14/2021","20:28:49.989","2259.761",""
"06/14/2021","20:29:09.926","80742.017",""
"06/14/2021","20:36:39.911","938.645",""
"06/14/2021","20:37:28.970","2259.761",""
"06/14/2021","20:38:09.412","938.645",""
"06/14/2021","20:38:26.035","2259.761",""
"06/14/2021","20:38:48.594","80742.017",""
"06/14/2021","20:44:31.966","2259.761",""
"06/14/2021","20:45:03.180","80742.017",""
"06/14/2021","20:46:36.942","2259.761",""
"06/14/2021","20:46:56.509","80742.017",""
"06/14/2021","20:57:27.751","938.645",""
"06/14/2021","20:57:48.117","2259.761",""
"06/14/2021","20:58:14.476","80742.017",""
"06/14/2021","21:05:27.048","2259.761",""
"06/14/2021","21:05:59.394","80742.017",""
"06/14/2021","21:07:33.894","2259.761",""
"06/14/2021","21:07:50.578","80742.017",""
"06/14/2021","21:18:19.972","938.645",""
"06/14/2021","21:18:39.380","2259.761",""
"06/14/2021","21:19:03.798","80742.017",""
"06/14/2021","21:21:32.001","2259.761",""
"06/14/2021","21:22:02.853","80742.017",""
"06/14/2021","21:23:37.032","2259.761",""
"06/14/2021","21:23:56.831","80742.017",""
"06/14/2021","21:34:21.364","938.645",""
"06/14/2021","21:34:41.085","2259.761",""
"06/14/2021","21:35:07.632","80742.017",""
"06/14/2021","21:46:24.392","2259.761",""
"06/14/2021","21:50:11.887","80742.017",""
"06/14/2021","22:04:12.999","938.645",""
"06/14/2021","22:04:33.380","2259.761",""
"06/14/2021","22:04:59.858","80742.017",""
"06/14/2021","22:10:40.770","2259.761",""
"06/14/2021","22:11:08.903","80742.017",""
"06/14/2021","22:12:46.710","2259.761",""
"06/14/2021","22:13:06.758","80742.017",""
"06/14/2021","22:22:35.549","938.645",""
"06/14/2021","22:23:26.186","2259.761",""
"06/14/2021","22:24:04.551","938.645",""
"06/14/2021","22:24:21.060","2259.761",""
"06/14/2021","22:24:47.914","80742.017",""
"06/14/2021","22:34:12.382","2259.761",""
"06/14/2021","22:34:47.481","80742.017",""
"06/14/2021","22:36:15.661","2259.761",""
"06/14/2021","22:36:35.448","80742.017",""
"06/14/2021","22:49:56.111","938.645",""
"06/14/2021","22:50:16.291","2259.761",""
"06/14/2021","22:50:46.745","80742.017",""
"06/14/2021","22:52:15.102","2259.761",""
"06/14/2021","22:52:38.430","80742.017",""
"06/14/2021","23:05:52.996","938.645",""
"06/14/2021","23:06:15.738","2259.761",""
"06/14/2021","23:06:42.107","80742.017",""
"06/14/2021","23:08:17.333","2259.761",""
"06/14/2021","23:08:33.764","80742.017",""
"06/14/2021","23:23:14.094","938.645",""
"06/14/2021","23:23:32.122","2259.761",""
"06/14/2021","23:23:59.610","80742.017",""
"06/14/2021","23:25:33.749","2259.761",""
"06/14/2021","23:25:53.501","80742.017",""
"06/14/2021","23:26:27.260","","Open (2)"
"06/14/2021","23:39:20.431","938.645",""
"06/14/2021","23:39:40.767","2259.761",""
"06/14/2021","23:40:08.340","80742.017",""
"06/14/2021","23:41:42.140","2259.761",""
"06/14/2021","23:42:02.218","80742.017",""
"06/14/2021","23:54:26.109","938.645",""
"06/14/2021","23:55:14.714","2259.761",""
"06/14/2021","23:55:53.169","938.645",""
"06/14/2021","23:56:10.740","2259.761",""
"06/14/2021","23:56:38.091","80742.017",""
"06/14/2021","23:58:07.461","2259.761",""
"06/14/2021","23:58:31.150","80742.017",""
"06/15/2021","00:12:48.586","938.645",""
"06/15/2021","00:13:08.557","2259.761",""
"06/15/2021","00:13:39.671","80742.017",""
"06/15/2021","00:15:09.613","2259.761",""
"06/15/2021","00:15:29.375","80742.017",""
"06/15/2021","00:29:10.421","938.645",""
"06/15/2021","00:29:30.585","2259.761",""
"06/15/2021","00:29:58.236","80742.017",""
"06/15/2021","00:31:30.635","2259.761",""
"06/15/2021","00:31:46.805","80742.017",""
"06/15/2021","00:46:06.104","938.645",""
"06/15/2021","00:46:29.653","2259.761",""
"06/15/2021","00:46:56.025","80742.017",""
"06/15/2021","00:48:28.366","2259.761",""
"06/15/2021","00:48:48.411","80742.017",""
"06/15/2021","01:01:17.994","938.645",""
"06/15/2021","01:01:37.471","2259.761",""
"06/15/2021","01:02:01.619","80742.017",""
"06/15/2021","01:03:52.548","2259.761",""
"06/15/2021","01:04:15.650","80742.017",""
"06/15/2021","01:18:28.829","938.645",""
"06/15/2021","01:18:47.700","2259.761",""
"06/15/2021","01:19:18.159","80742.017",""
"06/15/2021","01:20:47.207","2259.761",""
"06/15/2021","01:21:07.105","80742.017",""
"06/15/2021","01:35:18.757","938.645",""
"06/15/2021","01:35:41.117","2259.761",""
"06/15/2021","01:36:08.799","80742.017",""
"06/15/2021","01:37:39.566","2259.761",""
"06/15/2021","01:37:55.959","80742.017",""
"06/15/2021","01:52:32.541","938.645",""
"06/15/2021","01:52:53.124","2259.761",""
"06/15/2021","01:53:24.052","80742.017",""
"06/15/2021","01:54:51.662","2259.761",""
"06/15/2021","01:55:11.235","80742.017",""
"06/15/2021","02:10:26.324","938.645",""
"06/15/2021","02:10:46.806","2259.761",""
"06/15/2021","02:11:17.610","80742.017",""
"06/15/2021","02:12:45.198","2259.761",""
"06/15/2021","02:13:04.874","80742.017",""
"06/15/2021","02:24:37.945","938.645",""
"06/15/2021","02:25:33.709","2259.761",""
"06/15/2021","02:26:11.892","938.645",""
"06/15/2021","02:26:28.733","2259.761",""
"06/15/2021","02:27:00.153","80742.017",""
"06/15/2021","02:28:30.099","2259.761",""
"06/15/2021","02:28:49.727","80742.017",""
"06/15/2021","02:39:20.134","938.645",""
"06/15/2021","02:39:42.889","2259.761",""
"06/15/2021","02:40:09.405","80742.017",""
"06/15/2021","02:47:33.634","2259.761",""
"06/15/2021","02:48:05.774","80742.017",""
"06/15/2021","02:49:39.081","2259.761",""
"06/15/2021","02:49:55.143","80742.017",""
"06/15/2021","02:58:21.632","938.645",""
"06/15/2021","02:58:41.861","2259.761",""
"06/15/2021","02:59:04.966","80742.017",""
"06/15/2021","03:14:37.380","2259.761",""
"06/15/2021","03:15:13.507","80742.017",""
"06/15/2021","03:16:46.295","2259.761",""
"06/15/2021","03:17:06.251","80742.017",""
"06/15/2021","03:28:44.057","938.645",""
"06/15/2021","03:29:02.522","2259.761",""
"06/15/2021","03:29:29.227","80742.017",""
"06/15/2021","03:40:02.907","938.645",""
"06/15/2021","03:41:00.750","2259.761",""
"06/15/2021","03:41:39.380","938.645",""
"06/15/2021","03:41:55.804","2259.761",""
"06/15/2021","03:42:24.201","80742.017",""
"06/15/2021","03:43:53.901","2259.761",""
"06/15/2021","03:44:13.594","80742.017",""
"06/15/2021","03:57:53.061","938.645",""
"06/15/2021","03:58:13.388","2259.761",""
"06/15/2021","04:06:00.810","80742.017",""
"06/15/2021","04:07:27.479","2259.761",""
"06/15/2021","04:07:46.977","80742.017",""
"06/15/2021","04:13:06.951","938.645",""
"06/15/2021","04:13:27.318","2259.761",""
"06/15/2021","04:13:49.690","80742.017",""
