"Import help:"
"Comma-delimited data"
"First column is date: MDY"
"Decimal separator: ."
"Thousand separator: ,"
"","System:","9953149 (1139918) [Glacios]"
"06/13/2021","23:18:04.154","136.36"
"06/13/2021","23:18:10.853","136.68"
"06/13/2021","23:18:17.552","136.97"
"06/13/2021","23:18:24.252","137.25"
"06/13/2021","23:18:30.952","137.55"
"06/13/2021","23:18:37.652","137.82"
"06/13/2021","23:18:44.350","138.1"
"06/13/2021","23:18:51.051","138.35"
"06/13/2021","23:18:57.750","138.6"
"06/13/2021","23:19:04.451","138.86"
"06/13/2021","23:19:11.148","139.1"
"06/13/2021","23:19:17.850","139.35"
"06/13/2021","23:19:24.549","139.57"
"06/13/2021","23:19:31.250","139.79"
"06/13/2021","23:19:37.947","140.01"
"06/13/2021","23:19:44.647","140.21"
"06/13/2021","23:19:51.346","140.42"
"06/13/2021","23:19:58.045","140.6"
"06/13/2021","23:20:04.745","140.77"
"06/13/2021","23:20:11.444","140.95"
"06/13/2021","23:20:18.144","141.1"
"06/13/2021","23:20:24.843","141.26"
"06/13/2021","23:20:31.543","141.39"
"06/13/2021","23:20:38.242","141.52"
"06/13/2021","23:20:44.941","141.65"
"06/13/2021","23:20:51.641","141.77"
"06/13/2021","23:20:58.341","141.88"
"06/13/2021","23:21:05.039","141.99"
"06/13/2021","23:21:18.438","142.19"
"06/13/2021","23:21:31.840","142.37"
"06/13/2021","23:21:45.239","142.54"
"06/13/2021","23:21:58.638","142.7"
"06/13/2021","23:22:12.036","142.85"
"06/13/2021","23:22:25.435","143.03"
"06/13/2021","23:22:38.836","143.25"
"06/13/2021","23:22:45.535","143.39"
"06/13/2021","23:22:52.235","143.55"
"06/13/2021","23:22:58.934","143.74"
"06/13/2021","23:23:05.633","143.93"
"06/13/2021","23:23:12.333","144.15"
"06/13/2021","23:23:19.032","144.39"
"06/13/2021","23:23:25.731","144.65"
"06/13/2021","23:23:32.433","144.93"
"06/13/2021","23:23:39.130","145.22"
"06/13/2021","23:23:45.831","145.51"
"06/13/2021","23:23:52.530","145.85"
"06/13/2021","23:23:59.229","146.16"
"06/13/2021","23:24:05.933","146.52"
"06/13/2021","23:24:12.627","146.86"
"06/13/2021","23:24:19.328","147.21"
"06/13/2021","23:24:26.028","147.6"
"06/13/2021","23:24:32.732","147.96"
"06/13/2021","23:24:39.434","148.35"
"06/13/2021","23:24:46.127","148.72"
"06/13/2021","23:24:52.826","149.1"
"06/13/2021","23:24:59.526","149.5"
"06/13/2021","23:25:06.225","149.89"
"06/13/2021","23:25:12.924","150.3"
"06/13/2021","23:25:19.624","150.69"
"06/13/2021","23:25:26.325","151.08"
"06/13/2021","23:25:33.025","151.5"
"06/13/2021","23:25:39.723","151.9"
"06/13/2021","23:25:46.423","152.33"
"06/13/2021","23:25:53.122","152.73"
"06/13/2021","23:25:59.824","153.12"
"06/13/2021","23:26:06.522","153.56"
"06/13/2021","23:26:13.222","153.96"
"06/13/2021","23:26:19.920","154.39"
"06/13/2021","23:26:26.620","154.79"
"06/13/2021","23:26:33.319","155.2"
"06/13/2021","23:26:40.020","155.63"
"06/13/2021","23:26:46.720","156.04"
"06/13/2021","23:26:53.418","156.47"
"06/13/2021","23:27:00.120","156.87"
"06/13/2021","23:27:06.819","157.28"
"06/13/2021","23:27:13.516","157.71"
"06/13/2021","23:27:20.219","158.11"
"06/13/2021","23:27:26.914","158.52"
"06/13/2021","23:27:33.615","158.95"
"06/13/2021","23:27:40.314","159.36"
"06/13/2021","23:27:47.014","159.78"
"06/13/2021","23:27:53.713","160.18"
"06/13/2021","23:28:00.412","160.58"
"06/13/2021","23:28:07.112","161"
"06/13/2021","23:28:13.811","161.39"
"06/13/2021","23:28:20.514","161.82"
"06/13/2021","23:28:27.213","162.21"
"06/13/2021","23:28:33.909","162.6"
"06/13/2021","23:28:40.610","163.03"
"06/13/2021","23:28:47.309","163.42"
"06/13/2021","23:28:54.012","163.84"
"06/13/2021","23:29:00.708","164.23"
"06/13/2021","23:29:07.409","164.62"
"06/13/2021","23:29:14.106","165.04"
"06/13/2021","23:29:20.807","165.43"
"06/13/2021","23:29:27.506","165.84"
"06/13/2021","23:29:34.205","166.23"
"06/13/2021","23:29:40.907","166.62"
"06/13/2021","23:29:47.604","167.04"
"06/13/2021","23:29:54.304","167.42"
"06/13/2021","23:30:01.003","167.83"
"06/13/2021","23:30:07.702","168.21"
"06/13/2021","23:30:14.402","168.6"
"06/13/2021","23:30:21.102","169.01"
"06/13/2021","23:30:27.803","169.39"
"06/13/2021","23:30:34.502","169.81"
"06/13/2021","23:30:41.201","170.18"
"06/13/2021","23:30:47.901","170.56"
"06/13/2021","23:30:54.600","170.97"
"06/13/2021","23:31:01.300","171.35"
"06/13/2021","23:31:07.999","171.75"
"06/13/2021","23:31:14.699","172.13"
"06/13/2021","23:31:21.400","172.5"
"06/13/2021","23:31:28.097","172.9"
"06/13/2021","23:31:34.796","173.27"
"06/13/2021","23:31:41.496","173.67"
"06/13/2021","23:31:48.194","174.03"
"06/13/2021","23:31:54.895","174.4"
"06/13/2021","23:32:01.594","174.8"
"06/13/2021","23:32:08.293","175.16"
"06/13/2021","23:32:14.992","175.56"
"06/13/2021","23:32:21.692","175.93"
"06/13/2021","23:32:28.391","176.29"
"06/13/2021","23:32:35.090","176.68"
"06/13/2021","23:32:41.789","177.05"
"06/13/2021","23:32:48.490","177.41"
"06/13/2021","23:32:55.188","177.8"
"06/13/2021","23:33:01.889","178.16"
"06/13/2021","23:33:08.588","178.55"
"06/13/2021","23:33:15.288","178.92"
"06/13/2021","23:33:21.989","179.28"
"06/13/2021","23:33:28.687","179.67"
"06/13/2021","23:33:35.385","180.03"
"06/13/2021","23:33:42.085","180.41"
"06/13/2021","23:33:48.788","180.77"
"06/13/2021","23:33:55.484","181.13"
"06/13/2021","23:34:02.184","181.52"
"06/13/2021","23:34:08.882","181.88"
"06/13/2021","23:34:15.582","182.26"
"06/13/2021","23:34:22.281","182.62"
"06/13/2021","23:34:28.981","182.97"
"06/13/2021","23:34:35.681","183.35"
"06/13/2021","23:34:42.380","183.71"
"06/13/2021","23:34:49.080","184.09"
"06/13/2021","23:34:55.779","184.44"
"06/13/2021","23:35:02.481","184.79"
"06/13/2021","23:35:09.181","185.17"
"06/13/2021","23:35:15.878","185.52"
"06/13/2021","23:35:22.580","185.89"
"06/13/2021","23:35:29.279","186.23"
"06/13/2021","23:35:35.977","186.58"
"06/13/2021","23:35:42.681","186.95"
"06/13/2021","23:35:49.378","187.3"
"06/13/2021","23:35:56.074","187.67"
"06/13/2021","23:36:02.779","188.01"
"06/13/2021","23:36:09.474","188.35"
"06/13/2021","23:36:16.174","188.72"
"06/13/2021","23:36:22.873","189.07"
"06/13/2021","23:36:29.572","189.43"
"06/13/2021","23:36:36.272","189.77"
"06/13/2021","23:36:42.971","190.11"
"06/13/2021","23:36:49.670","190.48"
"06/13/2021","23:36:56.370","190.82"
"06/13/2021","23:37:03.069","191.16"
"06/13/2021","23:37:09.769","191.52"
"06/13/2021","23:37:16.469","191.86"
"06/13/2021","23:37:23.167","192.22"
"06/13/2021","23:37:29.869","192.56"
"06/13/2021","23:37:36.566","192.9"
"06/13/2021","23:37:43.266","193.26"
"06/13/2021","23:37:49.966","193.6"
"06/13/2021","23:37:56.665","193.96"
"06/13/2021","23:38:03.365","194.29"
"06/13/2021","23:38:10.064","194.62"
"06/13/2021","23:38:16.763","194.98"
"06/13/2021","23:38:23.463","195.32"
"06/13/2021","23:38:30.164","195.68"
"06/13/2021","23:38:36.862","196.01"
"06/13/2021","23:38:43.561","196.34"
"06/13/2021","23:38:50.259","196.69"
"06/13/2021","23:38:56.960","197.02"
"06/13/2021","23:39:03.659","197.38"
"06/13/2021","23:39:10.359","197.71"
"06/13/2021","23:39:17.058","198.04"
"06/13/2021","23:39:23.757","198.39"
"06/13/2021","23:39:30.457","198.72"
"06/13/2021","23:39:37.156","199.07"
"06/13/2021","23:39:43.854","199.39"
"06/13/2021","23:39:50.555","199.71"
"06/13/2021","23:39:57.258","200.06"
"06/13/2021","23:40:03.955","200.38"
"06/13/2021","23:40:10.654","200.73"
"06/13/2021","23:40:17.353","201.05"
"06/13/2021","23:40:24.053","201.37"
"06/13/2021","23:40:30.751","201.71"
"06/13/2021","23:40:37.451","202.03"
"06/13/2021","23:40:44.151","202.35"
"06/13/2021","23:40:50.850","202.69"
"06/13/2021","23:40:57.549","203.01"
"06/13/2021","23:41:04.248","203.35"
"06/13/2021","23:41:10.948","203.67"
"06/13/2021","23:41:17.647","203.99"
"06/13/2021","23:41:24.347","204.33"
"06/13/2021","23:41:31.047","204.64"
"06/13/2021","23:41:37.749","204.98"
"06/13/2021","23:41:44.448","205.3"
"06/13/2021","23:41:51.147","205.61"
"06/13/2021","23:41:57.848","205.95"
"06/13/2021","23:42:04.545","206.26"
"06/13/2021","23:42:11.246","206.6"
"06/13/2021","23:42:17.945","206.91"
"06/13/2021","23:42:24.645","207.23"
"06/13/2021","23:42:31.343","207.56"
"06/13/2021","23:42:38.043","207.87"
"06/13/2021","23:42:44.743","208.18"
"06/13/2021","23:42:51.442","208.52"
"06/13/2021","23:42:58.142","208.83"
"06/13/2021","23:43:04.841","209.16"
"06/13/2021","23:43:11.540","209.47"
"06/13/2021","23:43:18.240","209.78"
"06/13/2021","23:43:24.939","210.11"
"06/13/2021","23:43:31.638","210.42"
"06/13/2021","23:43:38.344","210.75"
"06/13/2021","23:43:45.038","211.06"
"06/13/2021","23:43:51.738","211.37"
"06/13/2021","23:43:58.437","211.7"
"06/13/2021","23:44:05.137","212"
"06/13/2021","23:44:11.838","212.33"
"06/13/2021","23:44:18.536","212.64"
"06/13/2021","23:44:25.237","212.94"
"06/13/2021","23:44:31.937","213.27"
"06/13/2021","23:44:38.636","213.57"
"06/13/2021","23:44:45.339","213.89"
"06/13/2021","23:44:52.035","214.19"
"06/13/2021","23:44:58.734","214.49"
"06/13/2021","23:45:05.434","214.82"
"06/13/2021","23:45:12.133","215.11"
"06/13/2021","23:45:18.835","215.43"
"06/13/2021","23:45:25.533","215.73"
"06/13/2021","23:45:32.232","216.03"
"06/13/2021","23:45:38.932","216.35"
"06/13/2021","23:45:45.631","216.65"
"06/13/2021","23:45:52.331","216.94"
"06/13/2021","23:45:59.030","217.26"
"06/13/2021","23:46:05.729","217.56"
"06/13/2021","23:46:12.432","217.87"
"06/13/2021","23:46:19.128","218.17"
"06/13/2021","23:46:25.827","218.46"
"06/13/2021","23:46:32.528","218.78"
"06/13/2021","23:46:39.228","219.08"
"06/13/2021","23:46:45.932","219.39"
"06/13/2021","23:46:52.626","219.68"
"06/13/2021","23:46:59.325","219.97"
"06/13/2021","23:47:06.025","220.29"
"06/13/2021","23:47:12.727","220.58"
"06/13/2021","23:47:19.424","220.9"
"06/13/2021","23:47:26.123","221.19"
"06/13/2021","23:47:32.822","221.48"
"06/13/2021","23:47:39.522","221.79"
"06/13/2021","23:47:46.222","222.08"
"06/13/2021","23:47:52.920","222.39"
"06/13/2021","23:47:59.619","222.68"
"06/13/2021","23:48:06.319","222.97"
"06/13/2021","23:48:13.019","223.28"
"06/13/2021","23:48:19.717","223.57"
"06/13/2021","23:48:26.416","223.88"
"06/13/2021","23:48:33.116","224.16"
"06/13/2021","23:48:39.817","224.45"
"06/13/2021","23:48:46.515","224.76"
"06/13/2021","23:48:53.218","225.04"
"06/13/2021","23:48:59.916","225.33"
"06/13/2021","23:49:06.613","225.64"
"06/13/2021","23:49:13.313","225.92"
"06/13/2021","23:49:20.012","226.22"
"06/13/2021","23:49:26.712","226.51"
"06/13/2021","23:49:33.410","226.79"
"06/13/2021","23:49:40.111","227.1"
"06/13/2021","23:49:46.809","227.38"
"06/13/2021","23:49:53.512","227.68"
"06/13/2021","23:50:00.208","227.96"
"06/13/2021","23:50:06.907","228.24"
"06/13/2021","23:50:13.606","228.54"
"06/13/2021","23:50:20.307","228.82"
"06/13/2021","23:50:27.010","229.11"
"06/13/2021","23:50:33.705","229.39"
"06/13/2021","23:50:40.407","229.67"
"06/13/2021","23:50:47.104","229.97"
"06/13/2021","23:50:53.803","230.24"
"06/13/2021","23:51:00.502","230.52"
"06/13/2021","23:51:07.203","230.81"
"06/13/2021","23:51:13.902","231.09"
"06/13/2021","23:51:20.601","231.38"
"06/13/2021","23:51:27.302","231.66"
"06/13/2021","23:51:34.003","231.93"
"06/13/2021","23:51:40.699","232.23"
"06/13/2021","23:51:47.399","232.5"
"06/13/2021","23:51:54.100","232.8"
"06/13/2021","23:52:00.798","233.07"
"06/13/2021","23:52:07.497","233.34"
"06/13/2021","23:52:14.197","233.63"
"06/13/2021","23:52:20.898","233.9"
"06/13/2021","23:52:27.595","234.19"
"06/13/2021","23:52:34.297","234.46"
"06/13/2021","23:52:40.996","234.74"
"06/13/2021","23:52:47.697","235.03"
"06/13/2021","23:52:54.398","235.3"
"06/13/2021","23:53:01.095","235.59"
"06/13/2021","23:53:07.793","235.85"
"06/13/2021","23:53:14.493","236.12"
"06/13/2021","23:53:21.192","236.41"
"06/13/2021","23:53:27.892","236.68"
"06/13/2021","23:53:34.591","236.97"
"06/13/2021","23:53:41.290","237.24"
"06/13/2021","23:53:47.990","237.51"
"06/13/2021","23:53:54.689","237.8"
"06/13/2021","23:54:01.388","238.07"
"06/13/2021","23:54:08.087","238.36"
"06/13/2021","23:54:14.788","238.63"
"06/13/2021","23:54:21.488","238.9"
"06/13/2021","23:54:28.188","239.19"
"06/13/2021","23:54:34.887","239.46"
"06/13/2021","23:54:41.588","239.73"
"06/13/2021","23:54:48.287","240.02"
"06/13/2021","23:54:54.988","240.29"
"06/13/2021","23:55:01.684","240.58"
"06/13/2021","23:55:08.384","240.85"
"06/13/2021","23:55:15.084","241.12"
"06/13/2021","23:55:21.786","241.42"
"06/13/2021","23:55:28.482","241.68"
"06/13/2021","23:55:35.182","241.98"
"06/13/2021","23:55:41.880","242.25"
"06/13/2021","23:55:48.581","242.52"
"06/13/2021","23:55:55.281","242.81"
"06/13/2021","23:56:01.980","243.08"
"06/13/2021","23:56:08.680","243.37"
"06/13/2021","23:56:15.379","243.65"
"06/13/2021","23:56:22.078","243.92"
"06/13/2021","23:56:28.779","244.21"
"06/13/2021","23:56:35.477","244.47"
"06/13/2021","23:56:42.179","244.76"
"06/13/2021","23:56:48.876","245.03"
"06/13/2021","23:56:55.575","245.3"
"06/13/2021","23:57:02.277","245.59"
"06/13/2021","23:57:08.974","245.86"
"06/13/2021","23:57:15.679","246.15"
"06/13/2021","23:57:22.377","246.42"
"06/13/2021","23:57:29.073","246.69"
"06/13/2021","23:57:35.774","246.98"
"06/13/2021","23:57:42.473","247.25"
"06/13/2021","23:57:49.179","247.53"
"06/13/2021","23:57:55.871","247.8"
"06/13/2021","23:58:02.571","248.07"
"06/13/2021","23:58:09.270","248.35"
"06/13/2021","23:58:15.969","248.62"
"06/13/2021","23:58:22.668","248.9"
"06/13/2021","23:58:29.369","249.16"
"06/13/2021","23:58:36.067","249.42"
"06/13/2021","23:58:42.767","249.7"
"06/13/2021","23:58:49.467","249.95"
"06/13/2021","23:58:56.165","250.19"
"06/13/2021","23:59:02.867","250.45"
"06/13/2021","23:59:09.564","250.69"
"06/13/2021","23:59:16.266","250.94"
"06/13/2021","23:59:22.966","251.17"
"06/13/2021","23:59:29.664","251.39"
"06/13/2021","23:59:36.367","251.61"
"06/13/2021","23:59:43.063","251.82"
"06/13/2021","23:59:49.762","252.02"
"06/13/2021","23:59:56.462","252.21"
"06/14/2021","00:00:03.165","252.39"
"06/14/2021","00:00:09.862","252.58"
"06/14/2021","00:00:16.561","252.75"
"06/14/2021","00:00:23.260","252.93"
"06/14/2021","00:00:29.960","253.09"
"06/14/2021","00:00:36.660","253.25"
"06/14/2021","00:00:43.359","253.41"
"06/14/2021","00:00:50.059","253.56"
"06/14/2021","00:00:56.760","253.71"
"06/14/2021","00:01:03.458","253.85"
"06/14/2021","00:01:10.157","253.98"
"06/14/2021","00:01:16.856","254.13"
"06/14/2021","00:01:23.556","254.26"
"06/14/2021","00:01:30.256","254.41"
"06/14/2021","00:01:36.955","254.53"
"06/14/2021","00:01:43.654","254.66"
"06/14/2021","00:01:50.353","254.79"
"06/14/2021","00:01:57.053","254.91"
"06/14/2021","00:02:03.752","255.04"
"06/14/2021","00:02:10.451","255.16"
"06/14/2021","00:02:17.152","255.28"
"06/14/2021","00:02:23.851","255.4"
"06/14/2021","00:02:30.551","255.52"
"06/14/2021","00:02:37.250","255.63"
"06/14/2021","00:02:43.949","255.75"
"06/14/2021","00:02:57.348","255.97"
"06/14/2021","00:03:10.747","256.18"
"06/14/2021","00:03:17.446","256.3"
"06/14/2021","00:03:24.145","256.41"
"06/14/2021","00:03:30.846","256.52"
"06/14/2021","00:03:37.544","256.63"
"06/14/2021","00:03:44.247","256.73"
"06/14/2021","00:03:50.943","256.84"
"06/14/2021","00:03:57.643","256.95"
"06/14/2021","00:04:04.346","257.06"
"06/14/2021","00:04:11.043","257.16"
"06/14/2021","00:04:17.747","257.27"
"06/14/2021","00:04:24.443","257.38"
"06/14/2021","00:04:31.145","257.49"
"06/14/2021","00:04:37.842","257.6"
"06/14/2021","00:04:44.541","257.71"
"06/14/2021","00:04:51.243","257.81"
"06/14/2021","00:04:57.939","257.92"
"06/14/2021","00:05:11.346","258.13"
"06/14/2021","00:05:18.038","258.24"
"06/14/2021","00:05:31.436","258.46"
"06/14/2021","00:05:38.136","258.56"
"06/14/2021","00:05:44.837","258.66"
"06/14/2021","00:05:51.534","258.77"
"06/14/2021","00:05:58.234","258.87"
"06/14/2021","00:06:04.935","258.98"
"06/14/2021","00:06:11.634","259.09"
"06/14/2021","00:06:18.336","259.2"
"06/14/2021","00:06:25.033","259.31"
"06/14/2021","00:06:31.732","259.42"
"06/14/2021","00:06:38.432","259.53"
"06/14/2021","00:06:45.131","259.63"
"06/14/2021","00:06:51.834","259.73"
"06/14/2021","00:06:58.531","259.84"
"06/14/2021","00:07:05.230","259.95"
"06/14/2021","00:07:11.930","260.06"
"06/14/2021","00:07:18.629","260.17"
"06/14/2021","00:07:25.328","260.28"
"06/14/2021","00:07:32.028","260.39"
"06/14/2021","00:07:38.727","260.5"
"06/14/2021","00:07:45.430","260.61"
"06/14/2021","00:07:58.826","260.81"
"06/14/2021","00:08:05.526","260.93"
"06/14/2021","00:08:18.933","261.15"
"06/14/2021","00:08:25.626","261.26"
"06/14/2021","00:08:32.325","261.36"
"06/14/2021","00:08:39.025","261.48"
"06/14/2021","00:08:52.429","261.68"
"06/14/2021","00:08:59.123","261.79"
"06/14/2021","00:09:05.822","261.9"
"06/14/2021","00:09:12.523","262.01"
"06/14/2021","00:09:19.226","262.12"
"06/14/2021","00:09:25.921","262.23"
"06/14/2021","00:09:32.621","262.34"
"06/14/2021","00:09:39.320","262.45"
"06/14/2021","00:09:46.020","262.56"
"06/14/2021","00:09:52.720","262.66"
"06/14/2021","00:09:59.419","262.77"
"06/14/2021","00:10:06.119","262.88"
"06/14/2021","00:10:12.818","262.99"
"06/14/2021","00:10:19.517","263.1"
"06/14/2021","00:10:26.218","263.22"
"06/14/2021","00:10:39.616","263.44"
"06/14/2021","00:10:46.315","263.54"
"06/14/2021","00:10:53.014","263.65"
"06/14/2021","00:10:59.716","263.76"
"06/14/2021","00:11:06.413","263.86"
"06/14/2021","00:11:13.114","263.98"
"06/14/2021","00:11:19.815","264.09"
"06/14/2021","00:11:26.511","264.21"
"06/14/2021","00:11:33.213","264.32"
"06/14/2021","00:11:39.910","264.42"
"06/14/2021","00:11:46.609","264.53"
"06/14/2021","00:11:53.310","264.64"
"06/14/2021","00:12:00.010","264.74"
"06/14/2021","00:12:06.708","264.86"
"06/14/2021","00:12:13.408","264.97"
"06/14/2021","00:12:20.106","265.09"
"06/14/2021","00:12:26.807","265.2"
"06/14/2021","00:12:33.510","265.3"
"06/14/2021","00:12:40.204","265.42"
"06/14/2021","00:12:53.603","265.64"
"06/14/2021","00:13:00.306","265.74"
"06/14/2021","00:13:07.008","265.85"
"06/14/2021","00:13:13.703","265.97"
"06/14/2021","00:13:20.405","266.08"
"06/14/2021","00:13:27.102","266.2"
"06/14/2021","00:13:33.803","266.31"
"06/14/2021","00:13:40.502","266.41"
"06/14/2021","00:13:47.201","266.53"
"06/14/2021","00:13:53.905","266.63"
"06/14/2021","00:14:00.604","266.75"
"06/14/2021","00:14:07.300","266.85"
"06/14/2021","00:14:14.000","266.96"
"06/14/2021","00:14:20.699","267.08"
"06/14/2021","00:14:27.399","267.19"
"06/14/2021","00:14:34.100","267.3"
"06/14/2021","00:14:40.797","267.42"
"06/14/2021","00:14:54.196","267.64"
"06/14/2021","00:15:00.896","267.74"
"06/14/2021","00:15:07.595","267.85"
"06/14/2021","00:15:14.294","267.97"
"06/14/2021","00:15:20.994","268.08"
"06/14/2021","00:15:27.695","268.2"
"06/14/2021","00:15:34.395","268.31"
"06/14/2021","00:15:41.096","268.42"
"06/14/2021","00:15:47.791","268.53"
"06/14/2021","00:15:54.491","268.64"
"06/14/2021","00:16:01.191","268.75"
