"Import help:"
"Comma-delimited data"
"First column is date: MDY"
"Decimal separator: ."
"Thousand separator: ,"
"","System:","3663 (1063996) [Titan Krios G2]"
"06/20/2021","19:38:59.345","112.04"
"06/20/2021","19:39:06.034","112.47"
"06/20/2021","19:39:12.740","112.86"
"06/20/2021","19:39:19.443","113.29"
"06/20/2021","19:39:26.132","113.69"
"06/20/2021","19:39:32.841","114.08"
"06/20/2021","19:39:39.542","114.51"
"06/20/2021","19:39:46.230","114.9"
"06/20/2021","19:39:52.940","115.33"
"06/20/2021","19:39:59.630","115.72"
"06/20/2021","19:40:06.337","116.11"
"06/20/2021","19:40:13.029","116.53"
"06/20/2021","19:40:19.728","116.92"
"06/20/2021","19:40:26.436","117.34"
"06/20/2021","19:40:33.135","117.73"
"06/20/2021","19:40:39.837","118.11"
"06/20/2021","19:40:46.556","118.52"
"06/20/2021","19:40:53.235","118.9"
"06/20/2021","19:40:59.926","119.3"
"06/20/2021","19:41:06.635","119.68"
"06/20/2021","19:41:13.324","120.06"
"06/20/2021","19:41:20.047","120.46"
"06/20/2021","19:41:26.723","120.83"
"06/20/2021","19:41:33.423","121.23"
"06/20/2021","19:41:40.133","121.61"
"06/20/2021","19:41:46.823","121.98"
"06/20/2021","19:41:53.522","122.38"
"06/20/2021","19:42:00.258","122.75"
"06/20/2021","19:42:06.927","123.15"
"06/20/2021","19:42:13.627","123.52"
"06/20/2021","19:42:20.319","123.88"
"06/20/2021","19:42:27.019","124.28"
"06/20/2021","19:42:33.737","124.64"
"06/20/2021","19:42:40.418","125.04"
"06/20/2021","19:42:47.118","125.4"
"06/20/2021","19:42:53.817","125.77"
"06/20/2021","19:43:00.516","126.16"
"06/20/2021","19:43:07.227","126.52"
"06/20/2021","19:43:13.915","126.91"
"06/20/2021","19:43:20.625","127.27"
"06/20/2021","19:43:27.315","127.63"
"06/20/2021","19:43:34.013","128.01"
"06/20/2021","19:43:40.730","128.37"
"06/20/2021","19:43:47.412","128.75"
"06/20/2021","19:43:54.113","129.1"
"06/20/2021","19:44:00.824","129.45"
"06/20/2021","19:44:07.511","129.83"
"06/20/2021","19:44:14.226","130.18"
"06/20/2021","19:44:20.920","130.55"
"06/20/2021","19:44:27.609","130.9"
"06/20/2021","19:44:34.316","131.25"
"06/20/2021","19:44:41.028","131.63"
"06/20/2021","19:44:47.737","131.97"
"06/20/2021","19:44:54.407","132.35"
"06/20/2021","19:45:01.107","132.69"
"06/20/2021","19:45:07.806","133.04"
"06/20/2021","19:45:14.505","133.41"
"06/20/2021","19:45:21.206","133.76"
"06/20/2021","19:45:27.930","134.13"
"06/20/2021","19:45:34.618","134.47"
"06/20/2021","19:45:41.305","134.82"
"06/20/2021","19:45:48.014","135.19"
"06/20/2021","19:45:54.702","135.53"
"06/20/2021","19:46:01.416","135.9"
"06/20/2021","19:46:08.108","136.24"
"06/20/2021","19:46:14.808","136.58"
"06/20/2021","19:46:21.507","136.95"
"06/20/2021","19:46:28.207","137.28"
"06/20/2021","19:46:34.930","137.65"
"06/20/2021","19:46:41.644","137.98"
"06/20/2021","19:46:48.324","138.31"
"06/20/2021","19:46:55.023","138.67"
"06/20/2021","19:47:01.723","139"
"06/20/2021","19:47:08.427","139.36"
"06/20/2021","19:47:15.142","139.69"
"06/20/2021","19:47:21.822","140.02"
"06/20/2021","19:47:28.522","140.38"
"06/20/2021","19:47:35.221","140.7"
"06/20/2021","19:47:41.922","141.06"
"06/20/2021","19:47:48.637","141.39"
"06/20/2021","19:47:55.331","141.72"
"06/20/2021","19:48:02.021","142.07"
"06/20/2021","19:48:08.720","142.4"
"06/20/2021","19:48:15.419","142.75"
"06/20/2021","19:48:22.121","143.08"
"06/20/2021","19:48:28.830","143.4"
"06/20/2021","19:48:35.535","143.75"
"06/20/2021","19:48:42.218","144.08"
"06/20/2021","19:48:48.923","144.43"
"06/20/2021","19:48:55.617","144.75"
"06/20/2021","19:49:02.317","145.08"
"06/20/2021","19:49:09.038","145.43"
"06/20/2021","19:49:15.714","145.75"
"06/20/2021","19:49:22.421","146.1"
"06/20/2021","19:49:29.115","146.42"
"06/20/2021","19:49:35.818","146.74"
"06/20/2021","19:49:42.531","147.08"
"06/20/2021","19:49:49.212","147.41"
"06/20/2021","19:49:55.911","147.75"
"06/20/2021","19:50:02.612","148.07"
"06/20/2021","19:50:09.310","148.39"
"06/20/2021","19:50:16.031","148.72"
"06/20/2021","19:50:22.710","149.04"
"06/20/2021","19:50:29.408","149.38"
"06/20/2021","19:50:36.109","149.69"
"06/20/2021","19:50:42.820","150"
"06/20/2021","19:50:49.529","150.34"
"06/20/2021","19:50:56.227","150.65"
"06/20/2021","19:51:02.906","150.99"
"06/20/2021","19:51:09.609","151.3"
"06/20/2021","19:51:16.306","151.61"
"06/20/2021","19:51:23.022","151.95"
"06/20/2021","19:51:29.722","152.26"
"06/20/2021","19:51:36.407","152.59"
"06/20/2021","19:51:43.111","152.9"
"06/20/2021","19:51:49.804","153.21"
"06/20/2021","19:51:56.505","153.54"
"06/20/2021","19:52:03.215","153.85"
"06/20/2021","19:52:09.919","154.19"
"06/20/2021","19:52:16.601","154.49"
"06/20/2021","19:52:23.301","154.8"
"06/20/2021","19:52:30.000","155.14"
"06/20/2021","19:52:36.711","155.44"
"06/20/2021","19:52:43.417","155.77"
"06/20/2021","19:52:50.100","156.08"
"06/20/2021","19:52:56.801","156.39"
"06/20/2021","19:53:03.501","156.72"
"06/20/2021","19:53:10.222","157.02"
"06/20/2021","19:53:16.921","157.35"
"06/20/2021","19:53:23.597","157.66"
"06/20/2021","19:53:30.304","157.96"
"06/20/2021","19:53:37.004","158.29"
"06/20/2021","19:53:43.708","158.6"
"06/20/2021","19:53:50.407","158.92"
"06/20/2021","19:53:57.101","159.23"
"06/20/2021","19:54:03.794","159.53"
"06/20/2021","19:54:10.494","159.86"
"06/20/2021","19:54:17.194","160.15"
"06/20/2021","19:54:23.914","160.48"
"06/20/2021","19:54:30.593","160.78"
"06/20/2021","19:54:37.299","161.07"
"06/20/2021","19:54:43.991","161.39"
"06/20/2021","19:54:50.700","161.69"
"06/20/2021","19:54:57.409","162.01"
"06/20/2021","19:55:04.090","162.31"
"06/20/2021","19:55:10.789","162.61"
"06/20/2021","19:55:17.489","162.92"
"06/20/2021","19:55:24.188","163.22"
"06/20/2021","19:55:30.906","163.54"
"06/20/2021","19:55:37.615","163.83"
"06/20/2021","19:55:44.287","164.13"
"06/20/2021","19:55:50.998","164.45"
"06/20/2021","19:55:57.687","164.74"
"06/20/2021","19:56:04.404","165.06"
"06/20/2021","19:56:11.098","165.36"
"06/20/2021","19:56:17.785","165.65"
"06/20/2021","19:56:24.484","165.97"
"06/20/2021","19:56:31.184","166.26"
"06/20/2021","19:56:37.906","166.58"
"06/20/2021","19:56:44.594","166.87"
"06/20/2021","19:56:51.284","167.16"
"06/20/2021","19:56:57.984","167.48"
"06/20/2021","19:57:04.684","167.77"
"06/20/2021","19:57:11.399","168.09"
"06/20/2021","19:57:18.094","168.38"
"06/20/2021","19:57:24.782","168.67"
"06/20/2021","19:57:31.488","168.99"
"06/20/2021","19:57:38.181","169.28"
"06/20/2021","19:57:44.886","169.59"
"06/20/2021","19:57:51.597","169.88"
"06/20/2021","19:57:58.298","170.17"
"06/20/2021","19:58:04.982","170.48"
"06/20/2021","19:58:11.678","170.77"
"06/20/2021","19:58:18.377","171.09"
"06/20/2021","19:58:25.090","171.37"
"06/20/2021","19:58:31.801","171.66"
"06/20/2021","19:58:38.477","171.97"
"06/20/2021","19:58:45.177","172.26"
"06/20/2021","19:58:51.876","172.56"
"06/20/2021","19:58:58.589","172.85"
"06/20/2021","19:59:05.297","173.13"
"06/20/2021","19:59:11.975","173.44"
"06/20/2021","19:59:18.674","173.72"
"06/20/2021","19:59:25.374","174.02"
"06/20/2021","19:59:32.080","174.31"
"06/20/2021","19:59:38.794","174.59"
"06/20/2021","19:59:45.473","174.9"
"06/20/2021","19:59:52.172","175.18"
"06/20/2021","19:59:58.871","175.49"
"06/20/2021","20:00:05.571","175.77"
"06/20/2021","20:00:12.283","176.05"
"06/20/2021","20:00:18.981","176.36"
"06/20/2021","20:00:25.670","176.64"
"06/20/2021","20:00:32.377","176.95"
"06/20/2021","20:00:39.069","177.23"
"06/20/2021","20:00:45.770","177.51"
"06/20/2021","20:00:52.480","177.81"
"06/20/2021","20:00:59.167","178.09"
"06/20/2021","20:01:05.867","178.4"
"06/20/2021","20:01:12.567","178.68"
"06/20/2021","20:01:19.280","178.96"
"06/20/2021","20:01:25.977","179.26"
"06/20/2021","20:01:32.697","179.54"
"06/20/2021","20:01:39.365","179.85"
"06/20/2021","20:01:46.071","180.13"
"06/20/2021","20:01:52.764","180.41"
"06/20/2021","20:01:59.486","180.71"
"06/20/2021","20:02:06.178","180.99"
"06/20/2021","20:02:12.864","181.29"
"06/20/2021","20:02:19.563","181.57"
"06/20/2021","20:02:26.263","181.85"
"06/20/2021","20:02:32.971","182.15"
"06/20/2021","20:02:39.683","182.43"
"06/20/2021","20:02:46.362","182.73"
"06/20/2021","20:02:53.061","183"
"06/20/2021","20:02:59.763","183.28"
"06/20/2021","20:03:06.459","183.58"
"06/20/2021","20:03:13.180","183.86"
"06/20/2021","20:03:19.858","184.14"
"06/20/2021","20:03:26.559","184.44"
"06/20/2021","20:03:33.264","184.71"
"06/20/2021","20:03:39.957","185.01"
"06/20/2021","20:03:46.673","185.28"
"06/20/2021","20:03:53.356","185.55"
"06/20/2021","20:04:00.056","185.84"
"06/20/2021","20:04:06.755","186.12"
"06/20/2021","20:04:13.454","186.41"
"06/20/2021","20:04:20.164","186.68"
"06/20/2021","20:04:26.864","186.95"
"06/20/2021","20:04:33.578","187.25"
"06/20/2021","20:04:40.253","187.52"
"06/20/2021","20:04:46.952","187.81"
"06/20/2021","20:04:53.652","188.08"
"06/20/2021","20:05:00.362","188.35"
"06/20/2021","20:05:07.061","188.65"
"06/20/2021","20:05:13.751","188.92"
"06/20/2021","20:05:20.450","189.21"
"06/20/2021","20:05:27.148","189.48"
"06/20/2021","20:05:33.861","189.75"
"06/20/2021","20:05:40.569","190.04"
"06/20/2021","20:05:47.270","190.31"
"06/20/2021","20:05:53.952","190.6"
"06/20/2021","20:06:00.648","190.87"
"06/20/2021","20:06:07.347","191.14"
"06/20/2021","20:06:14.055","191.43"
"06/20/2021","20:06:20.763","191.69"
"06/20/2021","20:06:27.446","191.99"
"06/20/2021","20:06:34.152","192.25"
"06/20/2021","20:06:40.845","192.52"
"06/20/2021","20:06:47.556","192.81"
"06/20/2021","20:06:54.262","193.08"
"06/20/2021","20:07:00.943","193.37"
"06/20/2021","20:07:07.642","193.64"
"06/20/2021","20:07:14.342","193.91"
"06/20/2021","20:07:21.042","194.2"
"06/20/2021","20:07:27.763","194.46"
"06/20/2021","20:07:34.458","194.75"
"06/20/2021","20:07:41.139","195.02"
"06/20/2021","20:07:47.840","195.29"
"06/20/2021","20:07:54.539","195.57"
"06/20/2021","20:08:01.255","195.84"
"06/20/2021","20:08:07.949","196.13"
"06/20/2021","20:08:14.637","196.4"
"06/20/2021","20:08:21.336","196.66"
"06/20/2021","20:08:28.036","196.95"
"06/20/2021","20:08:34.748","197.22"
"06/20/2021","20:08:41.453","197.5"
"06/20/2021","20:08:48.135","197.77"
"06/20/2021","20:08:54.835","198.04"
"06/20/2021","20:09:01.536","198.32"
"06/20/2021","20:09:08.235","198.59"
"06/20/2021","20:09:14.940","198.87"
"06/20/2021","20:09:21.656","199.13"
"06/20/2021","20:09:28.333","199.4"
"06/20/2021","20:09:35.040","199.68"
"06/20/2021","20:09:41.735","199.94"
"06/20/2021","20:09:48.435","200.22"
"06/20/2021","20:09:55.156","200.48"
"06/20/2021","20:10:01.831","200.75"
"06/20/2021","20:10:08.532","201.03"
"06/20/2021","20:10:15.230","201.29"
"06/20/2021","20:10:21.930","201.57"
"06/20/2021","20:10:28.649","201.83"
"06/20/2021","20:10:35.351","202.09"
"06/20/2021","20:10:42.030","202.38"
"06/20/2021","20:10:48.729","202.64"
"06/20/2021","20:10:55.428","202.92"
"06/20/2021","20:11:02.129","203.18"
"06/20/2021","20:11:08.839","203.44"
"06/20/2021","20:11:15.545","203.72"
"06/20/2021","20:11:22.227","203.98"
"06/20/2021","20:11:28.926","204.26"
"06/20/2021","20:11:35.632","204.52"
"06/20/2021","20:11:42.332","204.78"
"06/20/2021","20:11:49.034","205.06"
"06/20/2021","20:11:55.724","205.32"
"06/20/2021","20:12:02.423","205.6"
"06/20/2021","20:12:09.125","205.86"
"06/20/2021","20:12:15.822","206.12"
"06/20/2021","20:12:22.540","206.4"
"06/20/2021","20:12:29.243","206.66"
"06/20/2021","20:12:35.927","206.94"
"06/20/2021","20:12:42.622","207.19"
"06/20/2021","20:12:49.320","207.45"
"06/20/2021","20:12:56.029","207.73"
"06/20/2021","20:13:02.736","207.99"
"06/20/2021","20:13:09.418","208.27"
"06/20/2021","20:13:16.117","208.53"
"06/20/2021","20:13:22.817","208.79"
"06/20/2021","20:13:29.540","209.06"
"06/20/2021","20:13:36.242","209.32"
"06/20/2021","20:13:42.917","209.6"
"06/20/2021","20:13:49.615","209.86"
"06/20/2021","20:13:56.316","210.11"
"06/20/2021","20:14:03.017","210.39"
"06/20/2021","20:14:09.735","210.65"
"06/20/2021","20:14:16.415","210.93"
"06/20/2021","20:14:23.113","211.18"
"06/20/2021","20:14:29.814","211.44"
"06/20/2021","20:14:36.522","211.72"
"06/20/2021","20:14:43.229","211.97"
"06/20/2021","20:14:49.922","212.25"
"06/20/2021","20:14:56.612","212.51"
"06/20/2021","20:15:03.310","212.76"
"06/20/2021","20:15:10.010","213.04"
"06/20/2021","20:15:16.717","213.29"
"06/20/2021","20:15:23.429","213.56"
"06/20/2021","20:15:30.110","213.82"
"06/20/2021","20:15:36.816","214.07"
"06/20/2021","20:15:43.509","214.34"
"06/20/2021","20:15:50.215","214.6"
"06/20/2021","20:15:56.918","214.87"
"06/20/2021","20:16:03.608","215.12"
"06/20/2021","20:16:10.307","215.37"
"06/20/2021","20:16:17.007","215.64"
"06/20/2021","20:16:23.713","215.9"
"06/20/2021","20:16:30.429","216.17"
"06/20/2021","20:16:37.139","216.42"
"06/20/2021","20:16:43.806","216.67"
"06/20/2021","20:16:50.506","216.94"
"06/20/2021","20:16:57.205","217.2"
"06/20/2021","20:17:03.916","217.47"
"06/20/2021","20:17:10.604","217.72"
"06/20/2021","20:17:17.304","217.97"
"06/20/2021","20:17:24.004","218.24"
"06/20/2021","20:17:30.703","218.49"
"06/20/2021","20:17:37.424","218.76"
"06/20/2021","20:17:44.119","219.01"
"06/20/2021","20:17:50.800","219.26"
"06/20/2021","20:17:57.499","219.53"
"06/20/2021","20:18:04.201","219.78"
"06/20/2021","20:18:10.906","220.05"
"06/20/2021","20:18:17.623","220.3"
"06/20/2021","20:18:24.299","220.55"
"06/20/2021","20:18:30.998","220.82"
"06/20/2021","20:18:37.704","221.07"
"06/20/2021","20:18:44.399","221.34"
"06/20/2021","20:18:51.116","221.59"
"06/20/2021","20:18:57.811","221.84"
"06/20/2021","20:19:04.497","222.11"
"06/20/2021","20:19:11.198","222.36"
"06/20/2021","20:19:17.898","222.63"
"06/20/2021","20:19:24.607","222.88"
"06/20/2021","20:19:31.317","223.13"
"06/20/2021","20:19:38.001","223.4"
"06/20/2021","20:19:44.695","223.65"
"06/20/2021","20:19:51.395","223.91"
"06/20/2021","20:19:58.094","224.16"
"06/20/2021","20:20:04.804","224.41"
"06/20/2021","20:20:11.492","224.68"
"06/20/2021","20:20:18.193","224.93"
"06/20/2021","20:20:24.892","225.2"
"06/20/2021","20:20:31.593","225.44"
"06/20/2021","20:20:38.321","225.69"
"06/20/2021","20:20:44.990","225.96"
"06/20/2021","20:20:51.689","226.21"
"06/20/2021","20:20:58.389","226.47"
"06/20/2021","20:21:05.093","226.72"
"06/20/2021","20:21:11.799","226.97"
"06/20/2021","20:21:18.489","227.24"
"06/20/2021","20:21:25.188","227.49"
"06/20/2021","20:21:31.887","227.75"
"06/20/2021","20:21:38.593","228"
"06/20/2021","20:21:45.312","228.25"
"06/20/2021","20:21:51.987","228.51"
"06/20/2021","20:21:58.684","228.75"
"06/20/2021","20:22:05.393","229.02"
"06/20/2021","20:22:12.085","229.26"
"06/20/2021","20:22:18.797","229.51"
"06/20/2021","20:22:25.504","229.77"
"06/20/2021","20:22:32.184","230.01"
"06/20/2021","20:22:38.890","230.28"
"06/20/2021","20:22:45.583","230.52"
"06/20/2021","20:22:52.286","230.76"
"06/20/2021","20:22:59.001","231.03"
"06/20/2021","20:23:05.692","231.27"
"06/20/2021","20:23:12.381","231.53"
"06/20/2021","20:23:19.082","231.78"
"06/20/2021","20:23:25.780","232.02"
"06/20/2021","20:23:32.488","232.29"
"06/20/2021","20:23:39.208","232.53"
"06/20/2021","20:23:45.879","232.79"
"06/20/2021","20:23:52.579","233.04"
"06/20/2021","20:23:59.278","233.28"
"06/20/2021","20:24:05.978","233.54"
"06/20/2021","20:24:12.687","233.79"
"06/20/2021","20:24:19.377","234.05"
"06/20/2021","20:24:26.077","234.29"
"06/20/2021","20:24:32.776","234.54"
"06/20/2021","20:24:39.482","234.8"
"06/20/2021","20:24:46.193","235.04"
"06/20/2021","20:24:52.895","235.3"
"06/20/2021","20:24:59.575","235.54"
"06/20/2021","20:25:06.274","235.79"
"06/20/2021","20:25:12.974","236.05"
"06/20/2021","20:25:19.677","236.29"
"06/20/2021","20:25:26.391","236.56"
"06/20/2021","20:25:33.072","236.8"
"06/20/2021","20:25:39.773","237.04"
"06/20/2021","20:25:46.478","237.3"
"06/20/2021","20:25:53.179","237.55"
"06/20/2021","20:25:59.889","237.81"
"06/20/2021","20:26:06.570","238.05"
"06/20/2021","20:26:13.271","238.29"
"06/20/2021","20:26:19.971","238.55"
"06/20/2021","20:26:26.670","238.79"
"06/20/2021","20:26:33.382","239.05"
"06/20/2021","20:26:40.078","239.29"
"06/20/2021","20:26:46.769","239.53"
"06/20/2021","20:26:53.479","239.79"
"06/20/2021","20:27:00.166","240.04"
"06/20/2021","20:27:06.881","240.3"
"06/20/2021","20:27:13.575","240.54"
"06/20/2021","20:27:20.269","240.78"
"06/20/2021","20:27:26.965","241.04"
"06/20/2021","20:27:33.664","241.28"
"06/20/2021","20:27:40.368","241.54"
"06/20/2021","20:27:47.081","241.78"
"06/20/2021","20:27:53.763","242.03"
"06/20/2021","20:28:00.469","242.28"
"06/20/2021","20:28:07.162","242.53"
"06/20/2021","20:28:13.862","242.78"
"06/20/2021","20:28:20.566","243.03"
"06/20/2021","20:28:27.277","243.27"
"06/20/2021","20:28:33.960","243.53"
"06/20/2021","20:28:40.662","243.77"
"06/20/2021","20:28:47.363","244.03"
"06/20/2021","20:28:54.068","244.27"
"06/20/2021","20:29:00.779","244.5"
"06/20/2021","20:29:07.483","244.76"
"06/20/2021","20:29:14.158","245"
"06/20/2021","20:29:20.859","245.25"
"06/20/2021","20:29:27.557","245.49"
"06/20/2021","20:29:34.273","245.72"
"06/20/2021","20:29:40.980","245.98"
"06/20/2021","20:29:47.657","246.21"
"06/20/2021","20:29:54.357","246.47"
"06/20/2021","20:30:01.059","246.7"
"06/20/2021","20:30:07.766","246.93"
"06/20/2021","20:30:14.472","247.18"
"06/20/2021","20:30:21.154","247.41"
"06/20/2021","20:30:27.853","247.65"
"06/20/2021","20:30:34.553","247.87"
"06/20/2021","20:30:41.265","248.08"
"06/20/2021","20:30:47.961","248.3"
"06/20/2021","20:30:54.652","248.51"
"06/20/2021","20:31:01.351","248.72"
"06/20/2021","20:31:08.052","248.91"
"06/20/2021","20:31:14.765","249.1"
"06/20/2021","20:31:21.468","249.3"
"06/20/2021","20:31:28.151","249.48"
"06/20/2021","20:31:34.850","249.66"
"06/20/2021","20:31:41.554","249.83"
"06/20/2021","20:31:48.254","250"
"06/20/2021","20:31:54.967","250.17"
"06/20/2021","20:32:01.660","250.32"
"06/20/2021","20:32:08.349","250.49"
"06/20/2021","20:32:15.047","250.64"
"06/20/2021","20:32:21.749","250.78"
"06/20/2021","20:32:28.465","250.94"
"06/20/2021","20:32:35.169","251.07"
"06/20/2021","20:32:41.846","251.22"
"06/20/2021","20:32:48.545","251.35"
"06/20/2021","20:32:55.246","251.48"
"06/20/2021","20:33:01.961","251.62"
"06/20/2021","20:33:08.672","251.74"
"06/20/2021","20:33:15.344","251.88"
"06/20/2021","20:33:22.043","252"
"06/20/2021","20:33:28.743","252.12"
"06/20/2021","20:33:35.452","252.24"
"06/20/2021","20:33:42.161","252.36"
"06/20/2021","20:33:48.847","252.48"
"06/20/2021","20:33:55.540","252.59"
"06/20/2021","20:34:02.247","252.7"
"06/20/2021","20:34:08.948","252.82"
"06/20/2021","20:34:15.658","252.93"
"06/20/2021","20:34:22.339","253.05"
"06/20/2021","20:34:29.038","253.16"
"06/20/2021","20:34:42.441","253.37"
"06/20/2021","20:34:49.151","253.48"
"06/20/2021","20:34:55.848","253.59"
"06/20/2021","20:35:09.240","253.79"
"06/20/2021","20:35:15.937","253.9"
