"Import help:"
"Comma-delimited data"
"First column is date: MDY"
"Decimal separator: ."
"Thousand separator: ,"
"","System:","3889 (1156255) [Krios G4]","3889 (1156255) [Krios G4]"
"06/13/2021","08:20:04.722","96315.789",""
"06/13/2021","08:26:28.024","2845.928",""
"06/13/2021","08:26:45.830","96315.789",""
"06/13/2021","08:32:30.171","2845.928",""
"06/13/2021","08:32:50.868","96315.789",""
"06/13/2021","08:39:00.620","2845.928",""
"06/13/2021","08:40:07.549","96315.789",""
"06/13/2021","08:45:53.288","2845.928",""
"06/13/2021","08:46:14.324","96315.789",""
"06/13/2021","08:50:21.166","2845.928",""
"06/13/2021","08:50:42.112","96315.789",""
"06/13/2021","08:52:12.978","2845.928",""
"06/13/2021","08:52:33.423","96315.789",""
"06/13/2021","08:58:37.983","2845.928",""
"06/13/2021","08:58:54.677","96315.789",""
"06/13/2021","08:59:19.161","2845.928",""
"06/13/2021","08:59:39.351","96315.789",""
"06/13/2021","09:04:25.471","2845.928",""
"06/13/2021","09:04:45.876","96315.789",""
"06/13/2021","09:10:10.792","2845.928",""
"06/13/2021","09:11:16.532","96315.789",""
"06/13/2021","09:12:27.316","2845.928",""
"06/13/2021","09:12:44.148","96315.789",""
"06/13/2021","09:17:28.469","2845.928",""
"06/13/2021","10:39:11.764","","Open (2)"
"06/13/2021","11:49:15.002","","Unknown (0)"
"06/13/2021","11:49:15.943","","Close (1)"
"06/13/2021","11:54:34.291","","Unknown (0)"
"06/13/2021","11:54:34.948","","Open (2)"
"06/13/2021","11:54:39.520","1678.57",""
"06/13/2021","11:55:47.580","2845.928",""
"06/13/2021","11:56:46.601","64.396",""
"06/13/2021","12:02:33.974","196002.516",""
"06/13/2021","12:02:39.014","","Unknown (0)"
"06/13/2021","12:02:39.954","","Close (1)"
"06/13/2021","12:05:27.123","657.216",""
"06/13/2021","12:05:59.491","","Unknown (0)"
"06/13/2021","12:05:59.970","","Open (2)"
"06/13/2021","12:06:24.227","96315.789",""
"06/13/2021","12:06:48.593","-1",""
"06/13/2021","12:07:26.954","96315.789",""
"06/13/2021","12:07:35.848","-1",""
"06/13/2021","12:10:30.597","96315.789",""
"06/13/2021","12:13:32.877","657.216",""
"06/13/2021","12:32:07.986","1678.57",""
"06/13/2021","12:32:57.163","2845.928",""
"06/13/2021","12:33:33.680","657.216",""
"06/13/2021","12:33:47.859","2845.928",""
"06/13/2021","12:36:32.809","96315.789",""
"06/13/2021","12:38:42.266","2845.928",""
"06/13/2021","12:39:09.247","96315.789",""
"06/13/2021","12:44:34.951","2845.928",""
"06/13/2021","12:45:10.036","96315.789",""
"06/13/2021","12:50:15.609","2845.928",""
"06/13/2021","12:50:51.533","96315.789",""
"06/13/2021","12:57:01.377","2845.928",""
"06/13/2021","12:57:25.134","96315.789",""
"06/13/2021","13:03:29.378","2845.928",""
"06/13/2021","13:04:29.684","96315.789",""
"06/13/2021","13:09:33.957","2845.928",""
"06/13/2021","13:13:55.716","96315.789",""
"06/13/2021","13:19:59.621","2845.928",""
"06/13/2021","13:22:56.152","96315.789",""
"06/13/2021","13:25:45.280","2845.928",""
"06/13/2021","13:28:30.110","96315.789",""
"06/13/2021","13:31:18.934","2845.928",""
"06/13/2021","13:34:35.281","96315.789",""
"06/13/2021","13:37:04.852","2845.928",""
"06/13/2021","13:37:36.566","96315.789",""
"06/13/2021","13:38:28.041","2845.928",""
"06/13/2021","13:39:04.217","96315.789",""
"06/13/2021","13:40:01.372","657.216",""
"06/13/2021","13:40:21.610","1678.57",""
"06/13/2021","13:41:10.511","2845.928",""
"06/13/2021","13:41:50.837","657.216",""
"06/13/2021","13:42:04.922","2845.928",""
"06/13/2021","13:42:21.898","96315.789",""
"06/13/2021","13:44:30.911","2845.928",""
"06/13/2021","13:45:39.714","96315.789",""
"06/13/2021","13:46:31.088","2845.928",""
"06/13/2021","13:46:51.588","96315.789",""
"06/13/2021","13:47:42.308","2845.928",""
"06/13/2021","13:48:27.327","96315.789",""
"06/13/2021","13:53:13.751","2845.928",""
"06/13/2021","13:53:30.461","96315.789",""
"06/13/2021","13:58:20.814","2845.928",""
"06/13/2021","13:58:38.334","96315.789",""
"06/13/2021","13:59:49.660","2845.928",""
"06/13/2021","14:00:06.623","96315.789",""
"06/13/2021","14:01:36.559","2845.928",""
"06/13/2021","14:02:08.593","96315.789",""
"06/13/2021","14:05:56.294","2845.928",""
"06/13/2021","14:06:13.675","96315.789",""
"06/13/2021","14:07:44.833","2845.928",""
"06/13/2021","14:08:30.507","96315.789",""
"06/13/2021","14:13:35.247","2845.928",""
"06/13/2021","14:13:51.220","96315.789",""
"06/13/2021","14:14:15.794","2845.928",""
"06/13/2021","14:14:36.785","657.216",""
"06/13/2021","14:14:53.326","1678.57",""
"06/13/2021","14:15:42.854","2845.928",""
"06/13/2021","14:16:22.933","657.216",""
"06/13/2021","14:16:36.178","2845.928",""
"06/13/2021","14:17:43.645","96315.789",""
"06/13/2021","14:22:09.033","2845.928",""
"06/13/2021","14:22:29.715","96315.789",""
"06/13/2021","14:23:40.096","2845.928",""
"06/13/2021","14:24:15.666","96315.789",""
"06/13/2021","14:26:05.217","2845.928",""
"06/13/2021","14:26:25.788","96315.789",""
"06/13/2021","14:27:36.908","2845.928",""
"06/13/2021","14:27:54.023","96315.789",""
"06/13/2021","14:29:43.264","2845.928",""
"06/13/2021","14:30:04.067","96315.789",""
"06/13/2021","14:31:53.991","2845.928",""
"06/13/2021","14:32:14.467","96315.789",""
"06/13/2021","14:33:05.828","2845.928",""
"06/13/2021","14:33:36.778","96315.789",""
"06/13/2021","14:34:28.084","2845.928",""
"06/13/2021","14:34:44.721","96315.789",""
"06/13/2021","14:35:55.388","2845.928",""
"06/13/2021","14:36:29.844","96315.789",""
"06/13/2021","14:36:54.737","2845.928",""
"06/13/2021","14:37:11.633","96315.789",""
"06/13/2021","14:38:03.070","2845.928",""
"06/13/2021","14:38:23.636","96315.789",""
"06/13/2021","14:40:52.553","2845.928",""
"06/13/2021","14:41:28.140","96315.789",""
"06/13/2021","14:44:16.636","2845.928",""
"06/13/2021","14:44:33.195","96315.789",""
"06/13/2021","14:45:24.170","2845.928",""
"06/13/2021","14:45:45.367","657.216",""
"06/13/2021","14:46:03.202","1678.57",""
"06/13/2021","14:46:52.867","2845.928",""
"06/13/2021","14:47:32.975","657.216",""
"06/13/2021","14:47:47.541","2845.928",""
"06/13/2021","14:48:52.785","96315.789",""
"06/13/2021","14:49:43.510","2845.928",""
"06/13/2021","14:50:00.873","96315.789",""
"06/13/2021","14:51:31.352","2845.928",""
"06/13/2021","14:51:48.869","96315.789",""
"06/13/2021","14:52:59.891","2845.928",""
"06/13/2021","14:53:31.684","96315.789",""
"06/13/2021","14:54:22.786","2845.928",""
"06/13/2021","14:54:43.916","96315.789",""
"06/13/2021","14:58:33.465","2845.928",""
"06/13/2021","14:58:53.489","96315.789",""
"06/13/2021","15:00:43.283","2845.928",""
"06/13/2021","15:02:03.235","96315.789",""
"06/13/2021","15:02:58.048","2845.928",""
"06/13/2021","15:03:18.544","96315.789",""
"06/13/2021","15:06:07.681","2845.928",""
"06/13/2021","15:06:24.924","96315.789",""
"06/13/2021","15:08:15.651","2845.928",""
"06/13/2021","15:08:36.045","96315.789",""
"06/13/2021","15:09:53.315","657.216",""
"06/13/2021","15:10:13.155","1678.57",""
"06/13/2021","15:11:03.019","2845.928",""
"06/13/2021","15:11:40.161","657.216",""
"06/13/2021","15:11:53.952","2845.928",""
"06/13/2021","15:12:11.130","96315.789",""
"06/13/2021","15:13:02.545","2845.928",""
"06/13/2021","15:13:23.508","96315.789",""
"06/13/2021","15:16:52.151","2845.928",""
"06/13/2021","15:17:12.622","96315.789",""
"06/13/2021","15:19:02.734","2845.928",""
"06/13/2021","15:20:12.684","96315.789",""
"06/13/2021","15:21:42.905","2845.928",""
"06/13/2021","15:22:00.506","96315.789",""
"06/13/2021","15:22:52.059","2845.928",""
"06/13/2021","15:23:08.846","96315.789",""
"06/13/2021","15:25:57.476","2845.928",""
"06/13/2021","15:26:29.580","96315.789",""
"06/13/2021","15:27:21.441","2845.928",""
"06/13/2021","15:28:22.362","96315.789",""
"06/13/2021","15:29:13.661","2845.928",""
"06/13/2021","15:29:30.879","96315.789",""
"06/13/2021","15:31:01.364","2845.928",""
"06/13/2021","15:31:25.931","657.216",""
"06/13/2021","15:31:43.493","1678.57",""
"06/13/2021","15:32:32.540","2845.928",""
"06/13/2021","15:33:12.539","657.216",""
"06/13/2021","15:33:26.429","2845.928",""
"06/13/2021","15:33:43.897","96315.789",""
"06/13/2021","15:36:51.367","2845.928",""
"06/13/2021","15:37:08.499","96315.789",""
"06/13/2021","15:38:19.973","2845.928",""
"06/13/2021","15:38:36.881","96315.789",""
"06/13/2021","15:40:26.937","2845.928",""
"06/13/2021","15:40:59.032","96315.789",""
"06/13/2021","15:41:49.711","2845.928",""
"06/13/2021","15:42:36.489","96315.789",""
"06/13/2021","15:46:03.871","2845.928",""
"06/13/2021","15:46:20.637","96315.789",""
"06/13/2021","15:47:31.797","2845.928",""
"06/13/2021","15:48:07.164","96315.789",""
"06/13/2021","15:51:14.377","2845.928",""
"06/13/2021","15:52:21.938","96315.789",""
"06/13/2021","15:54:03.769","2845.928",""
"06/13/2021","15:54:25.029","96315.789",""
"06/13/2021","15:55:16.219","2845.928",""
"06/13/2021","15:55:39.636","96315.789",""
"06/13/2021","15:58:53.282","657.216",""
"06/13/2021","15:59:14.806","1678.57",""
"06/13/2021","16:00:03.346","2845.928",""
"06/13/2021","16:00:37.465","657.216",""
"06/13/2021","16:00:51.172","2845.928",""
"06/13/2021","16:01:08.695","96315.789",""
"06/13/2021","16:02:38.886","2845.928",""
"06/13/2021","16:02:59.216","96315.789",""
"06/13/2021","16:04:09.726","2845.928",""
"06/13/2021","16:04:30.030","96315.789",""
"06/13/2021","16:06:58.363","2845.928",""
"06/13/2021","16:07:19.282","96315.789",""
"06/13/2021","16:09:28.285","2845.928",""
"06/13/2021","16:09:49.318","96315.789",""
"06/13/2021","16:10:40.558","2845.928",""
"06/13/2021","16:10:57.459","96315.789",""
"06/13/2021","16:14:45.197","2845.928",""
"06/13/2021","16:15:06.106","96315.789",""
"06/13/2021","16:16:56.186","2845.928",""
"06/13/2021","16:17:16.571","96315.789",""
"06/13/2021","16:20:25.073","2845.928",""
"06/13/2021","16:20:43.007","96315.789",""
"06/13/2021","16:21:34.410","2845.928",""
"06/13/2021","16:21:51.306","96315.789",""
"06/13/2021","16:26:17.099","2845.928",""
"06/13/2021","16:27:30.861","96315.789",""
"06/13/2021","16:28:48.068","657.216",""
"06/13/2021","16:29:08.560","1678.57",""
"06/13/2021","16:29:57.534","2845.928",""
"06/13/2021","16:30:31.258","657.216",""
"06/13/2021","16:30:45.423","2845.928",""
"06/13/2021","16:31:03.298","96315.789",""
"06/13/2021","16:32:13.815","2845.928",""
"06/13/2021","16:32:30.938","96315.789",""
"06/13/2021","16:34:20.820","2845.928",""
"06/13/2021","16:34:41.692","96315.789",""
"06/13/2021","16:35:32.494","2845.928",""
"06/13/2021","16:35:48.892","96315.789",""
"06/13/2021","16:36:13.848","2845.928",""
"06/13/2021","16:36:30.502","96315.789",""
"06/13/2021","16:37:40.977","2845.928",""
"06/13/2021","16:38:02.253","96315.789",""
"06/13/2021","16:39:31.976","2845.928",""
"06/13/2021","16:39:53.263","96315.789",""
"06/13/2021","16:44:00.280","2845.928",""
"06/13/2021","16:44:36.508","96315.789",""
"06/13/2021","16:45:47.941","2845.928",""
"06/13/2021","16:46:08.656","96315.789",""
"06/13/2021","16:47:39.001","2845.928",""
"06/13/2021","16:47:56.054","96315.789",""
"06/13/2021","16:49:07.118","2845.928",""
"06/13/2021","16:49:42.684","96315.789",""
"06/13/2021","16:50:34.192","2845.928",""
"06/13/2021","16:50:58.886","657.216",""
"06/13/2021","16:51:15.989","1678.57",""
"06/13/2021","16:52:04.706","2845.928",""
"06/13/2021","16:52:38.433","657.216",""
"06/13/2021","16:52:52.206","2845.928",""
"06/13/2021","16:53:10.148","96315.789",""
"06/13/2021","16:57:59.206","2845.928",""
"06/13/2021","16:59:11.916","96315.789",""
"06/13/2021","17:00:03.455","2845.928",""
"06/13/2021","17:00:39.268","96315.789",""
"06/13/2021","17:01:50.618","2845.928",""
"06/13/2021","17:02:25.396","96315.789",""
"06/13/2021","17:03:16.612","2845.928",""
"06/13/2021","17:03:33.537","96315.789",""
"06/13/2021","17:04:25.067","2845.928",""
"06/13/2021","17:05:10.764","96315.789",""
"06/13/2021","17:08:57.357","2845.928",""
"06/13/2021","17:09:18.181","96315.789",""
"06/13/2021","17:10:29.407","2845.928",""
"06/13/2021","17:10:46.463","96315.789",""
"06/13/2021","17:11:38.010","2845.928",""
"06/13/2021","17:11:58.315","96315.789",""
"06/13/2021","17:13:09.215","2845.928",""
"06/13/2021","17:13:45.160","96315.789",""
"06/13/2021","17:14:36.500","2845.928",""
"06/13/2021","17:14:53.098","96315.789",""
"06/13/2021","17:18:39.559","2845.928",""
"06/13/2021","17:19:00.147","96315.789",""
"06/13/2021","17:20:16.118","657.216",""
"06/13/2021","17:20:36.489","1678.57",""
"06/13/2021","17:21:24.964","2845.928",""
"06/13/2021","17:21:58.771","657.216",""
"06/13/2021","17:22:12.707","2845.928",""
"06/13/2021","17:22:59.674","96315.789",""
"06/13/2021","17:24:10.999","2845.928",""
"06/13/2021","17:24:32.003","96315.789",""
"06/13/2021","17:28:00.346","2845.928",""
"06/13/2021","17:28:36.528","96315.789",""
"06/13/2021","17:29:46.937","2845.928",""
"06/13/2021","17:31:15.870","96315.789",""
"06/13/2021","17:32:26.716","2845.928",""
"06/13/2021","17:32:43.873","96315.789",""
"06/13/2021","17:33:34.496","2845.928",""
"06/13/2021","17:34:38.908","96315.789",""
"06/13/2021","17:36:09.441","2845.928",""
"06/13/2021","17:36:27.069","96315.789",""
"06/13/2021","17:37:37.561","2845.928",""
"06/13/2021","17:38:28.578","96315.789",""
"06/13/2021","17:43:57.366","657.216",""
"06/13/2021","17:44:19.528","1678.57",""
"06/13/2021","17:45:09.223","2845.928",""
"06/13/2021","17:45:45.711","657.216",""
"06/13/2021","17:45:59.484","2845.928",""
"06/13/2021","17:46:17.407","96315.789",""
"06/13/2021","17:47:08.736","2845.928",""
"06/13/2021","17:47:29.592","96315.789",""
"06/13/2021","17:48:20.919","2845.928",""
"06/13/2021","17:48:41.103","96315.789",""
"06/13/2021","17:52:47.163","2845.928",""
"06/13/2021","17:53:08.173","96315.789",""
"06/13/2021","17:54:19.152","2845.928",""
"06/13/2021","17:54:51.089","96315.789",""
"06/13/2021","17:57:05.718","2845.928",""
"06/13/2021","17:57:22.097","96315.789",""
"06/13/2021","17:57:47.106","2845.928",""
"06/13/2021","17:58:07.602","96315.789",""
"06/13/2021","17:58:58.964","2845.928",""
"06/13/2021","17:59:20.122","96315.789",""
"06/13/2021","18:00:11.483","2845.928",""
"06/13/2021","18:00:28.601","96315.789",""
"06/13/2021","18:01:19.791","2845.928",""
"06/13/2021","18:02:14.934","96315.789",""
"06/13/2021","18:04:43.830","2845.928",""
"06/13/2021","18:05:04.513","96315.789",""
"06/13/2021","18:05:55.296","2845.928",""
"06/13/2021","18:06:15.657","96315.789",""
"06/13/2021","18:07:06.573","2845.928",""
"06/13/2021","18:07:27.080","96315.789",""
"06/13/2021","18:08:18.894","2845.928",""
"06/13/2021","18:08:39.234","96315.789",""
"06/13/2021","18:09:36.285","657.216",""
"06/13/2021","18:10:00.287","1678.57",""
"06/13/2021","18:10:49.590","2845.928",""
"06/13/2021","18:11:29.762","657.216",""
"06/13/2021","18:11:43.586","2845.928",""
"06/13/2021","18:12:01.593","96315.789",""
"06/13/2021","18:12:52.958","2845.928",""
"06/13/2021","18:13:09.237","96315.789",""
"06/13/2021","18:13:34.146","2845.928",""
"06/13/2021","18:13:54.963","96315.789",""
"06/13/2021","18:14:45.883","2845.928",""
"06/13/2021","18:15:06.924","96315.789",""
"06/13/2021","18:20:10.639","2845.928",""
"06/13/2021","18:20:31.007","96315.789",""
"06/13/2021","18:21:41.090","2845.928",""
"06/13/2021","18:21:58.519","96315.789",""
"06/13/2021","18:22:49.380","2845.928",""
"06/13/2021","18:23:06.119","96315.789",""
"06/13/2021","18:25:15.786","2845.928",""
"06/13/2021","18:25:47.483","96315.789",""
"06/13/2021","18:26:38.745","2845.928",""
"06/13/2021","18:26:56.028","96315.789",""
"06/13/2021","18:27:47.453","2845.928",""
"06/13/2021","18:28:23.054","96315.789",""
"06/13/2021","18:31:31.546","2845.928",""
"06/13/2021","18:31:52.283","96315.789",""
"06/13/2021","18:32:43.719","2845.928",""
"06/13/2021","18:33:53.916","96315.789",""
"06/13/2021","18:34:44.703","2845.928",""
"06/13/2021","18:35:05.093","96315.789",""
"06/13/2021","18:39:16.502","657.216",""
"06/13/2021","18:39:39.147","1678.57",""
"06/13/2021","18:40:27.281","2845.928",""
"06/13/2021","18:41:07.339","657.216",""
"06/13/2021","18:41:21.449","2845.928",""
"06/13/2021","18:41:54.438","96315.789",""
"06/13/2021","18:43:04.928","2845.928",""
"06/13/2021","18:43:25.465","96315.789",""
"06/13/2021","18:49:30.286","2845.928",""
"06/13/2021","18:49:47.398","96315.789",""
"06/13/2021","18:55:52.796","2845.928",""
"06/13/2021","18:56:16.228","96315.789",""
"06/13/2021","19:01:59.191","2845.928",""
"06/13/2021","19:02:20.551","96315.789",""
"06/13/2021","19:08:06.128","2845.928",""
"06/13/2021","19:09:22.195","96315.789",""
"06/13/2021","19:14:29.159","2845.928",""
"06/13/2021","19:14:50.126","96315.789",""
"06/13/2021","19:19:35.923","2845.928",""
"06/13/2021","19:19:56.382","96315.789",""
"06/13/2021","19:25:41.383","2845.928",""
"06/13/2021","19:25:58.202","96315.789",""
"06/13/2021","19:32:01.852","2845.928",""
"06/13/2021","19:32:18.651","96315.789",""
"06/13/2021","19:38:04.487","2845.928",""
"06/13/2021","19:38:24.791","96315.789",""
"06/13/2021","19:39:15.917","2845.928",""
"06/13/2021","19:40:33.891","96315.789",""
"06/13/2021","19:41:44.280","2845.928",""
"06/13/2021","19:42:04.950","96315.789",""
"06/13/2021","19:46:49.400","2845.928",""
"06/13/2021","19:47:10.194","96315.789",""
"06/13/2021","19:53:17.226","657.216",""
"06/13/2021","19:53:38.171","1678.57",""
"06/13/2021","19:54:26.636","2845.928",""
"06/13/2021","19:55:06.715","657.216",""
"06/13/2021","19:55:20.770","2845.928",""
"06/13/2021","19:55:38.474","96315.789",""
"06/13/2021","20:01:08.043","2845.928",""
"06/13/2021","20:01:24.224","96315.789",""
"06/13/2021","20:01:49.251","2845.928",""
"06/13/2021","20:02:10.244","96315.789",""
"06/13/2021","20:03:01.659","2845.928",""
"06/13/2021","20:03:22.092","96315.789",""
"06/13/2021","20:09:06.272","2845.928",""
"06/13/2021","20:09:23.232","96315.789",""
"06/13/2021","20:14:46.433","2845.928",""
"06/13/2021","20:16:10.042","96315.789",""
"06/13/2021","20:21:32.016","2845.928",""
"06/13/2021","20:21:48.808","96315.789",""
"06/13/2021","20:25:37.450","2845.928",""
"06/13/2021","20:26:09.492","96315.789",""
"06/13/2021","20:32:13.198","2845.928",""
"06/13/2021","20:32:33.994","96315.789",""
"06/13/2021","20:37:59.098","2845.928",""
"06/13/2021","20:38:20.470","96315.789",""
"06/13/2021","20:43:06.864","2845.928",""
"06/13/2021","20:53:22.881","96315.789",""
"06/13/2021","20:58:13.529","2845.928",""
"06/13/2021","20:59:34.044","96315.789",""
"06/13/2021","21:00:25.471","2845.928",""
"06/13/2021","21:00:46.197","96315.789",""
"06/13/2021","21:06:30.134","2845.928",""
"06/13/2021","21:06:51.302","96315.789",""
"06/13/2021","21:12:56.900","2845.928",""
"06/13/2021","21:13:13.936","96315.789",""
"06/13/2021","21:19:18.599","2845.928",""
"06/13/2021","21:19:39.915","96315.789",""
"06/13/2021","21:25:00.218","657.216",""
"06/13/2021","21:25:20.679","1678.57",""
"06/13/2021","21:26:09.422","2845.928",""
"06/13/2021","21:26:43.230","657.216",""
"06/13/2021","21:26:57.651","2845.928",""
"06/13/2021","21:27:15.853","96315.789",""
"06/13/2021","21:33:40.593","2845.928",""
"06/13/2021","21:35:01.105","96315.789",""
"06/13/2021","21:40:45.764","2845.928",""
"06/13/2021","21:41:03.037","96315.789",""
"06/13/2021","21:41:54.383","2845.928",""
"06/13/2021","21:42:11.455","96315.789",""
"06/13/2021","21:47:58.740","2845.928",""
"06/13/2021","21:48:16.106","96315.789",""
"06/13/2021","21:54:21.309","2845.928",""
"06/13/2021","21:54:52.696","96315.789",""
"06/13/2021","21:55:43.968","2845.928",""
"06/13/2021","21:56:04.472","96315.789",""
"06/13/2021","22:00:33.755","2845.928",""
"06/13/2021","22:00:54.524","96315.789",""
"06/13/2021","22:07:18.566","2845.928",""
"06/13/2021","22:08:35.137","96315.789",""
"06/13/2021","22:14:01.341","2845.928",""
"06/13/2021","22:14:22.038","96315.789",""
"06/13/2021","22:20:24.139","2845.928",""
"06/13/2021","22:20:41.904","96315.789",""
"06/13/2021","22:25:47.313","2845.928",""
"06/13/2021","22:26:04.187","96315.789",""
"06/13/2021","22:31:49.368","2845.928",""
"06/13/2021","22:32:06.280","96315.789",""
"06/13/2021","22:37:10.295","2845.928",""
"06/13/2021","22:37:31.720","96315.789",""
"06/13/2021","22:43:26.365","2845.928",""
"06/13/2021","22:44:41.138","96315.789",""
"06/13/2021","22:47:49.005","2845.928",""
"06/13/2021","22:48:09.840","96315.789",""
"06/13/2021","22:53:37.859","657.216",""
"06/13/2021","22:53:58.625","1678.57",""
"06/13/2021","22:54:47.206","2845.928",""
"06/13/2021","22:55:27.284","657.216",""
"06/13/2021","22:55:40.621","2845.928",""
"06/13/2021","22:55:57.283","96315.789",""
"06/13/2021","23:00:44.013","2845.928",""
"06/13/2021","23:01:01.077","96315.789",""
"06/13/2021","23:06:46.512","2845.928",""
"06/13/2021","23:07:04.094","96315.789",""
"06/13/2021","23:12:30.173","2845.928",""
"06/13/2021","23:12:47.003","96315.789",""
"06/13/2021","23:18:33.246","2845.928",""
"06/13/2021","23:19:57.172","96315.789",""
"06/13/2021","23:24:43.100","2845.928",""
"06/13/2021","23:25:03.658","96315.789",""
"06/13/2021","23:31:07.553","2845.928",""
"06/13/2021","23:31:24.893","96315.789",""
"06/13/2021","23:36:31.348","2845.928",""
"06/13/2021","23:36:52.108","96315.789",""
"06/13/2021","23:42:36.284","2845.928",""
"06/13/2021","23:42:57.318","96315.789",""
"06/13/2021","23:48:41.166","2845.928",""
"06/13/2021","23:49:01.686","96315.789",""
"06/13/2021","23:54:46.769","2845.928",""
"06/13/2021","23:56:14.256","96315.789",""
"06/13/2021","23:57:08.876","2845.928",""
"06/13/2021","23:57:25.902","96315.789",""
"06/14/2021","00:03:31.573","2845.928",""
"06/14/2021","00:03:52.246","96315.789",""
"06/14/2021","00:05:59.970","","Open (2)"
"06/14/2021","00:09:17.794","2845.928",""
"06/14/2021","00:09:35.512","96315.789",""
"06/14/2021","00:15:56.314","2845.928",""
"06/14/2021","00:16:13.482","96315.789",""
"06/14/2021","00:22:38.948","2845.928",""
"06/14/2021","00:22:59.896","96315.789",""
"06/14/2021","00:29:08.734","657.216",""
"06/14/2021","00:29:30.088","1678.57",""
"06/14/2021","00:30:19.285","2845.928",""
"06/14/2021","00:30:59.391","657.216",""
"06/14/2021","00:31:16.846","2845.928",""
"06/14/2021","00:32:44.190","96315.789",""
"06/14/2021","00:34:53.337","2845.928",""
"06/14/2021","00:35:10.425","96315.789",""
"06/14/2021","00:40:38.278","2845.928",""
"06/14/2021","00:40:55.701","96315.789",""
"06/14/2021","00:46:20.681","2845.928",""
"06/14/2021","00:46:37.730","96315.789",""
"06/14/2021","00:53:01.752","2845.928",""
"06/14/2021","00:53:19.098","96315.789",""
"06/14/2021","00:57:30.594","2845.928",""
"06/14/2021","00:57:51.119","96315.789",""
"06/14/2021","01:02:55.975","2845.928",""
"06/14/2021","01:04:19.223","96315.789",""
"06/14/2021","01:08:25.158","2845.928",""
"06/14/2021","01:08:42.612","96315.789",""
"06/14/2021","01:14:47.989","2845.928",""
"06/14/2021","01:15:08.572","96315.789",""
"06/14/2021","01:16:19.118","2845.928",""
"06/14/2021","01:16:36.399","96315.789",""
"06/14/2021","01:21:23.346","2845.928",""
"06/14/2021","01:21:44.569","96315.789",""
"06/14/2021","01:26:12.523","2845.928",""
"06/14/2021","01:26:33.147","96315.789",""
"06/14/2021","01:32:19.153","2845.928",""
"06/14/2021","01:32:40.287","96315.789",""
"06/14/2021","01:39:08.491","2845.928",""
"06/14/2021","01:40:33.680","96315.789",""
"06/14/2021","01:40:58.742","2845.928",""
"06/14/2021","01:41:20.142","96315.789",""
"06/14/2021","01:46:44.243","2845.928",""
"06/14/2021","01:47:05.727","96315.789",""
"06/14/2021","01:52:49.650","2845.928",""
"06/14/2021","01:53:07.214","96315.789",""
"06/14/2021","01:58:00.704","657.216",""
"06/14/2021","01:58:21.437","1678.57",""
"06/14/2021","01:59:10.343","2845.928",""
"06/14/2021","01:59:50.615","657.216",""
"06/14/2021","02:00:04.765","2845.928",""
"06/14/2021","02:00:22.675","96315.789",""
"06/14/2021","02:05:49.790","2845.928",""
"06/14/2021","02:06:07.167","96315.789",""
"06/14/2021","02:11:53.061","2845.928",""
"06/14/2021","02:13:18.280","96315.789",""
"06/14/2021","02:19:01.952","2845.928",""
"06/14/2021","02:19:23.188","96315.789",""
"06/14/2021","02:25:28.170","2845.928",""
"06/14/2021","02:25:49.504","96315.789",""
"06/14/2021","02:30:15.984","2845.928",""
"06/14/2021","02:30:36.708","96315.789",""
"06/14/2021","02:36:06.292","2845.928",""
